state,outcome,discovery_sign,discovery_worst_abs_effect,btc_2024_n,btc_2024_effect,eth_2024_n,eth_2024_effect,btcusdt_2025_n,btcusdt_2025_effect,ethusdt_2025_n,ethusdt_2025_effect,confirm_same_sign_both,confirm_worst_abs_effect,confirm_retains_25pct_effect,phase_b_survivor
atr_slope_3bar_pct=Q1 & price_change_15m_pct=Q5,move_ge_1atr_1h,-1,0.04079970533563726,2220,-0.04079970533563726,2358,-0.05183648455250023,1358,-0.029447276419462876,2569,-0.03585712198480451,True,0.029447276419462876,True,True
atr_slope_3bar_pct=Q1 & price_change_5m_pct=Q5,move_ge_1atr_1h,-1,0.038860289639105816,2108,-0.038860289639105816,2124,-0.04598191086897063,1183,-0.032083419023884674,2360,-0.030971952658218282,True,0.030971952658218282,True,True
atr_slope_3bar_pct=Q1 & price_change_1h_pct=Q5,move_ge_1atr_1h,-1,0.035377026888342766,3443,-0.04211442406249655,3754,-0.035377026888342766,2702,-0.024506301044215917,4183,-0.020656389665151043,True,0.020656389665151043,True,True
rsi14=Q1 & price_change_15m_pct=Q5,move_ge_1atr_1h,-1,0.0337019295937937,1062,-0.0337019295937937,1173,-0.041564005165790285,792,-0.01209592788254743,1345,-0.01740317942401748,True,0.01209592788254743,True,True
atr_slope_3bar_pct=Q1 & oi_change_1h_pct=Q1,move_ge_1atr_1h,-1,0.03201727050628411,3791,-0.03342721810295479,3928,-0.03201727050628411,3468,-0.021694508847910354,4415,-0.024686561944741503,True,0.021694508847910354,True,True
atr_slope_1bar_pct=Q1 & price_change_15m_pct=Q5,move_ge_1atr_1h,-1,0.030261396492243686,3068,-0.030261396492243686,3342,-0.031231279459787098,2198,-0.02445679772749365,3566,-0.018829496124286638,True,0.018829496124286638,True,True
price_change_15m_pct=Q5 & range_atr=Q1,move_ge_1atr_1h,-1,0.030261396492243686,3068,-0.030261396492243686,3342,-0.031231279459787098,2198,-0.02445679772749365,3566,-0.018829496124286638,True,0.018829496124286638,True,True
rsi14=Q2 & price_change_1h_pct=Q5,move_ge_1atr_1h,-1,0.028720923268999998,526,-0.045627917578298094,539,-0.028720923268999998,348,-0.020411845681223784,655,-0.01455973891776019,True,0.01455973891776019,True,True
price_change_15m_pct=Q5 & price_change_1h_pct=Q1,move_ge_1atr_1h,-1,0.027320841856773748,2405,-0.027320841856773748,2479,-0.03486081000590169,1635,-0.014248184392602004,2969,-0.01734783679429097,True,0.014248184392602004,True,True
atr_slope_1bar_pct=Q1 & price_change_1h_pct=Q5,move_ge_1atr_1h,-1,0.02641064969497542,3444,-0.031933522079210075,3727,-0.02641064969497542,2766,-0.017401149294059448,4189,-0.015347698659650577,True,0.015347698659650577,True,True
price_change_1h_pct=Q5 & range_atr=Q1,move_ge_1atr_1h,-1,0.02641064969497542,3444,-0.031933522079210075,3727,-0.02641064969497542,2766,-0.017401149294059448,4189,-0.015347698659650577,True,0.015347698659650577,True,True
rsi14=Q3 & price_change_1h_pct=Q5,move_ge_1atr_1h,-1,0.02449640395945596,1797,-0.04419650781424267,1823,-0.02449640395945596,1232,-0.02607500436162391,2196,-0.01922331877843686,True,0.01922331877843686,True,True
atr_slope_1bar_pct=Q1 & oi_change_1h_pct=Q1,move_ge_1atr_1h,-1,0.023794814894615768,3987,-0.03150835981404343,4147,-0.023794814894615768,3690,-0.019369886985774798,4725,-0.02160687329313893,True,0.019369886985774798,True,True
oi_change_1h_pct=Q1 & range_atr=Q1,move_ge_1atr_1h,-1,0.023794814894615768,3987,-0.03150835981404343,4147,-0.023794814894615768,3690,-0.019369886985774798,4725,-0.02160687329313893,True,0.019369886985774798,True,True
rsi14=Q4 & price_change_1h_pct=Q5,move_ge_1atr_1h,-1,0.02306545649128866,4883,-0.028442898395582228,4990,-0.02306545649128866,3609,-0.01963075243732204,5605,-0.009874718046264608,True,0.009874718046264608,True,True
atr_slope_3bar_pct=Q1 & oi_accel_5m_pctpt=Q5,move_ge_1atr_1h,-1,0.022599444005604874,2620,-0.022599444005604874,2900,-0.026772871320948077,2058,-0.01706912928432025,3581,-0.02062568066715431,True,0.01706912928432025,True,True
rsi14=Q4 & oi_change_1h_pct=Q1,move_ge_1atr_1h,-1,0.02215303668896862,3367,-0.02215303668896862,3027,-0.023684004456065333,3335,-0.011841131038545116,4326,-0.010329326675786454,True,0.010329326675786454,True,True
price_change_5m_pct=Q4 & body_atr=Q3,move_ge_1atr_1h,-1,0.021720060352377835,2158,-0.021720060352377835,1957,-0.023783602031218876,1206,-0.012906270110800033,2570,-0.00898751686055288,True,0.00898751686055288,True,True
atr_slope_3bar_pct=Q1 & oi_accel_15m_pctpt=Q5,move_ge_1atr_1h,-1,0.021544399992386443,3957,-0.021544399992386443,3941,-0.02904386852977825,3191,-0.018467620363609938,4669,-0.01588306852885435,True,0.01588306852885435,True,True
atr_slope_3bar_pct=Q1 & oi_change_5m_pct=Q1,move_ge_1atr_1h,-1,0.02134939435215155,2525,-0.023444429267489908,2692,-0.02134939435215155,2063,-0.01407830619793593,3133,-0.023423277267219156,True,0.01407830619793593,True,True
atr_slope_3bar_pct=Q1 & oi_change_5m_pct=Q5,move_ge_1atr_1h,-1,0.020957516506106666,3081,-0.020957516506106666,3256,-0.02806279761087427,2337,-0.016859546092892197,4040,-0.017358091272079657,True,0.016859546092892197,True,True
atr_slope_3bar_pct=Q1 & oi_change_15m_pct=Q1,move_ge_1atr_1h,-1,0.02055529824912483,2508,-0.02055529824912483,2803,-0.022794990478993027,2311,-0.022865130073212114,3308,-0.02027062254939116,True,0.02027062254939116,True,True
atr_slope_3bar_pct=Q1 & oi_accel_5m_pctpt=Q1,move_ge_1atr_1h,-1,0.02044002526721933,2781,-0.02044002526721933,2979,-0.026789655476704977,2081,-0.016212659834454746,3661,-0.02003231867843125,True,0.016212659834454746,True,True
atr_slope_1bar_pct=Q5 & atr_slope_3bar_pct=Q2,up_first_1atr_1h,-1,0.02519398299595932,589,-0.030493295772976214,570,-0.02519398299595932,650,0.007428564142068328,405,-0.061228036356206494,False,,False,False
atr_slope_3bar_pct=Q2 & range_atr=Q5,up_first_1atr_1h,-1,0.02519398299595932,589,-0.030493295772976214,570,-0.02519398299595932,650,0.007428564142068328,405,-0.061228036356206494,False,,False,False
price_change_1h_pct=Q5 & body_atr=Q1,up_first_1atr_1h,-1,0.02482966057061292,2360,-0.029165995839161407,2427,-0.02482966057061292,1834,0.03171176186038055,2580,0.009874461490477326,False,,False,False
rsi14=Q3 & atr_slope_3bar_pct=Q5,up_first_1atr_1h,1,0.022714167690350562,1990,0.022714167690350562,1918,0.02287875359003122,2225,0.0007907076165714066,1829,-0.010566877657869012,False,,False,False
price_change_15m_pct=Q5 & price_change_1h_pct=Q1,up_first_1atr_1h,1,0.020369035629344057,2281,0.020369035629344057,2333,0.02670516049070415,1578,0.016121164317558223,2854,0.007691478814184638,True,0.007691478814184638,True,True
atr_slope_3bar_pct=Q4 & price_change_1h_pct=Q5,up_first_1atr_1h,-1,0.02010705277685837,4107,-0.02721345924393126,4002,-0.02010705277685837,3238,0.002813179526683751,4592,0.021551999777488118,False,,False,False
price_change_5m_pct=Q4 & price_change_1h_pct=Q5,up_first_1atr_1h,-1,0.019079456515333937,3780,-0.019079456515333937,3821,-0.020624590396428555,3382,-0.011675288835232278,4007,-0.010119328446899667,True,0.010119328446899667,True,True
rsi14=Q2 & atr_slope_3bar_pct=Q5,up_first_1atr_1h,-1,0.018564972022948878,2715,-0.018564972022948878,2708,-0.02121875689525704,2912,-0.025002754539250327,2428,-0.012680229900657036,True,0.012680229900657036,True,True
atr_slope_3bar_pct=Q5 & price_change_15m_pct=Q3,up_first_1atr_1h,-1,0.018119218139473536,2074,-0.018119218139473536,1955,-0.03603438322927921,2636,-0.00287726053401427,1461,-0.016403334857993723,True,0.00287726053401427,False,False
price_change_1h_pct=Q5 & body_atr=Q4,up_first_1atr_1h,-1,0.017984723775031575,4345,-0.017984723775031575,4383,-0.01989600156050897,3488,-0.01782902230817862,5045,-0.003121366753005672,True,0.003121366753005672,False,False
oi_change_15m_pct=Q5 & oi_change_1h_pct=Q2,up_first_1atr_1h,-1,0.017805182989751478,1910,-0.017805182989751478,1704,-0.022951581216863692,1674,0.008189523612705252,2137,-0.015813037829368937,False,,False,False
oi_change_1h_pct=Q3 & oi_accel_5m_pctpt=Q5,up_first_1atr_1h,1,0.017583725058027244,2839,0.017583725058027244,2778,0.019749368904309672,2315,0.002165231362536879,2871,-0.009236860227099353,False,,False,False
rsi14=Q3 & body_atr=Q5,up_first_1atr_1h,1,0.01719583006842157,3566,0.01719583006842157,3545,0.025646093217140398,3619,0.012346199698001825,3495,0.0038808493535376076,True,0.0038808493535376076,False,False
