state,outcome,discovery_sign,discovery_worst_abs_effect,btc_2024_n,btc_2024_effect,eth_2024_n,eth_2024_effect,btcusdt_2025_n,btcusdt_2025_effect,ethusdt_2025_n,ethusdt_2025_effect,confirm_same_sign_both,confirm_worst_abs_effect,confirm_retains_25pct_effect,phase_b_survivor
price_change_15m_pct=Q5 & price_change_1h_pct=Q1,move_ge_1atr_1h,-1,0.027320841856773748,2405,-0.027320841856773748,2479,-0.03486081000590169,1635,-0.014248184392602004,2969,-0.01734783679429097,True,0.014248184392602004,True,True
atr_slope_3bar_pct=Q1 & oi_change_5m_pct=Q1,move_ge_1atr_1h,-1,0.02134939435215155,2525,-0.023444429267489908,2692,-0.02134939435215155,2063,-0.01407830619793593,3133,-0.023423277267219156,True,0.01407830619793593,True,True
rsi14=Q1 & price_change_15m_pct=Q5,move_ge_1atr_1h,-1,0.0337019295937937,1062,-0.0337019295937937,1173,-0.041564005165790285,792,-0.01209592788254743,1345,-0.01740317942401748,True,0.01209592788254743,True,True
rsi14=Q4 & oi_change_1h_pct=Q1,move_ge_1atr_1h,-1,0.02215303668896862,3367,-0.02215303668896862,3027,-0.023684004456065333,3335,-0.011841131038545116,4326,-0.010329326675786454,True,0.010329326675786454,True,True
rsi14=Q4 & price_change_1h_pct=Q5,move_ge_1atr_1h,-1,0.02306545649128866,4883,-0.028442898395582228,4990,-0.02306545649128866,3609,-0.01963075243732204,5605,-0.009874718046264608,True,0.009874718046264608,True,True
price_change_5m_pct=Q4 & body_atr=Q3,move_ge_1atr_1h,-1,0.021720060352377835,2158,-0.021720060352377835,1957,-0.023783602031218876,1206,-0.012906270110800033,2570,-0.00898751686055288,True,0.00898751686055288,True,True
rsi14=Q2 & atr_slope_3bar_pct=Q5,up_first_1atr_1h,-1,0.018564972022948878,2715,-0.018564972022948878,2708,-0.02121875689525704,2912,-0.025002754539250327,2428,-0.012680229900657036,True,0.012680229900657036,True,True
rsi14=Q3 & price_change_1h_pct=Q1,up_first_1atr_1h,1,0.016541241779459093,1436,0.016541241779459093,1360,0.023748225466373007,851,0.010451252382147891,1523,0.028327178740702563,True,0.010451252382147891,True,True
price_change_5m_pct=Q4 & price_change_1h_pct=Q5,up_first_1atr_1h,-1,0.019079456515333937,3780,-0.019079456515333937,3821,-0.020624590396428555,3382,-0.011675288835232278,4007,-0.010119328446899667,True,0.010119328446899667,True,True
oi_accel_5m_pctpt=Q2 & body_atr=Q5,up_first_1atr_1h,1,0.016186665911463505,4089,0.016186665911463505,4041,0.019849583604282905,4292,0.008870961446534598,3529,0.008394036836283258,True,0.008394036836283258,True,True
rsi14=Q2 & range_atr=Q5,up_first_1atr_1h,-1,0.016935705266214907,3018,-0.016935705266214907,3065,-0.021307431380378772,3166,-0.02150773013850893,2803,-0.007719229654392312,True,0.007719229654392312,True,True
rsi14=Q2 & atr_slope_1bar_pct=Q5,up_first_1atr_1h,-1,0.016935705266214907,3018,-0.016935705266214907,3065,-0.021307431380378772,3166,-0.02150773013850893,2803,-0.007719229654392312,True,0.007719229654392312,True,True
price_change_15m_pct=Q5 & price_change_1h_pct=Q1,up_first_1atr_1h,1,0.020369035629344057,2281,0.020369035629344057,2333,0.02670516049070415,1578,0.016121164317558223,2854,0.007691478814184638,True,0.007691478814184638,True,True
