run_stage,symbol,asset_class,commission_rule,day_key,broker_day_start,prior_20d_low,prior_low_age,prior_20d_high,prior_high_age,reentry_offset_ticks,side,signal_time,entry_time,exit_time,entry,initial_stop,exit,initial_risk_price,risk_money_1lot_usd,gross_r,commission_usd_1lot,commission_r,net_r,net_r_commission_x1_5,exit_reason,trade_id,mfe_r,mae_r,mfe_time,mae_time,time_to_mfe_minutes,time_to_mae_minutes,max_retracement_from_mfe_r,reached_0_5r,first_touch_0_5r_time,time_to_0_5r_minutes,mae_before_0_5r,reached_1r,first_touch_1r_time,time_to_1r_minutes,mae_before_1r,reached_2r,first_touch_2r_time,time_to_2r_minutes,mae_before_2r,reached_3r,first_touch_3r_time,time_to_3r_minutes,mae_before_3r,reached_5r,first_touch_5r_time,time_to_5r_minutes,mae_before_5r,min_r_after_first_1r_before_exit,max_r_after_first_1r_before_exit,min_r_after_first_2r_before_exit,max_r_after_first_2r_before_exit,min_r_after_first_3r_before_exit,max_r_after_first_3r_before_exit,path_ambiguous,path_ambiguity_reason,duration_minutes
RUN,USDJPY,FOREX,USD5_PER_LOT_PER_SIDE,20240205,2024.02.05 00:00,143.412,19,148.798,11,5,SHORT,2024.02.05 01:37,2024.02.05 01:38,2024.02.05 16:53,148.792,148.836,148.836,0.044,29.56000000,-1.00000000,10.00000000,0.33829499,-1.33829499,-1.50744249,STOP,USDJPY_20240205_SHORT,11.81833559,1.00000000,2024.02.05 07:45:40,2024.02.05 16:53:36,367.184500,915.115917,12.81833559,1,2024.02.05 01:39:28,0.990150,0.43200271,1,2024.02.05 01:43:30,5.029917,0.47733424,1,2024.02.05 01:47:41,9.213400,0.47733424,1,2024.02.05 01:57:21,18.866300,0.47733424,1,2024.02.05 02:07:39,29.174667,0.47733424,-1.00000000,11.81833559,-1.00000000,11.81833559,-1.00000000,11.81833559,0,,915.000000
RUN,GBPUSD,FOREX,USD5_PER_LOT_PER_SIDE,20240205,2024.02.05 00:00,1.25954,13,1.27847,16,5,LONG,2024.02.05 11:01,2024.02.05 12:00,2024.02.05 12:34,1.25961,1.25802,1.25799,0.00159,159.00000000,-1.01886792,10.00000000,0.06289308,-1.08176101,-1.11320755,STOP,GBPUSD_20240205_LONG,0.00000000,1.01886792,,2024.02.05 12:34:34,,34.497300,1.01886792,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,0,,34.000000
RUN,BTCUSD,CRYPTO,0.04PCT_NOTIONAL_PER_SIDE,20240209,2024.02.09 00:00,38518.82,13,46517.45,20,5,SHORT,2024.02.09 09:57,2024.02.09 10:16,2024.02.09 11:56,46517.06,46740.36,46744.67,223.30,223.30000000,-1.01930139,37.30469200,0.16706087,-1.18636226,-1.26989269,STOP,BTCUSD_20240209_SHORT,0.12942230,1.01930139,2024.02.09 10:17:39,2024.02.09 11:56:20,1.144983,99.827167,1.14872369,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,0,,100.000000
RUN,ETHUSD,CRYPTO,0.04PCT_NOTIONAL_PER_SIDE,20240212,2024.02.12 00:00,2167.72,14,2613.53,19,5,SHORT,2024.02.12 18:33,2024.02.12 18:34,2024.02.12 19:24,2613.39,2620.03,2620.04,6.64,6.64000000,-1.00150602,2.09337200,0.31526687,-1.31677289,-1.47440633,STOP,ETHUSD_20240212_SHORT,2.99849398,1.00150602,2024.02.12 18:41:41,2024.02.12 19:24:22,6.821667,49.501433,4.00000000,1,2024.02.12 18:35:36,0.730883,0.24246988,1,2024.02.12 18:36:03,1.185700,0.24246988,1,2024.02.12 18:40:30,5.622650,0.24246988,0,,,,0,,,,-1.00150602,2.99849398,-1.00150602,2.99849398,,,0,,50.000000
RUN,EURUSD,FOREX,USD5_PER_LOT_PER_SIDE,20240213,2024.02.13 00:00,1.07223,5,1.09506,20,5,LONG,2024.02.13 14:40,2024.02.13 14:40,2024.02.13 14:42,1.07230,1.07207,1.07204,0.00023,23.00000000,-1.13043478,10.00000000,0.43478261,-1.56521739,-1.78260870,STOP,EURUSD_20240213_LONG,1.91304348,1.13043478,2024.02.13 14:41:00,2024.02.13 14:42:17,0.262150,1.542367,3.04347826,1,2024.02.13 14:40:46,0.029700,0.17391304,1,2024.02.13 14:40:47,0.049500,0.17391304,0,,,,0,,,,0,,,,-1.13043478,1.91304348,,,,,0,,2.000000
RUN,XAUUSD,METAL,0.0016PCT_NOTIONAL_PER_SIDE,20240213,2024.02.13 00:00,2001.81,19,2065.35,8,5,LONG,2024.02.13 16:08,2024.02.13 16:09,2024.02.13 16:10,2001.87,2001.08,2001.07,0.79,79.00000000,-1.01265823,6.40470400,0.08107220,-1.09373043,-1.13426653,STOP,XAUUSD_20240213_LONG,0.12658228,1.01265823,2024.02.13 16:10:05,2024.02.13 16:10:29,0.452683,0.845900,1.13924051,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,0,,1.000000
RUN,XAUUSD,METAL,0.0016PCT_NOTIONAL_PER_SIDE,20240301,2024.03.01 00:00,1984.18,12,2057.58,20,5,SHORT,2024.03.01 13:42,2024.03.01 17:18,2024.03.01 17:21,2057.52,2059.98,2059.99,2.46,246.00000000,-1.00406504,6.58801600,0.02678055,-1.03084559,-1.04423587,STOP,XAUUSD_20240301_SHORT,0.00000000,1.00406504,,2024.03.01 17:21:30,,3.282233,1.00406504,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,0,,3.000000
RUN,GBPUSD,FOREX,USD5_PER_LOT_PER_SIDE,20240306,2024.03.06 00:00,1.25343,15,1.27335,1,5,SHORT,2024.03.05 16:00,2024.03.05 17:44,2024.03.06 16:51,1.27074,1.27361,1.27362,0.00287,287.00000000,-1.00348432,10.00000000,0.03484321,-1.03832753,-1.05574913,STOP,GBPUSD_20240305_SHORT,0.60278746,1.00348432,2024.03.06 02:50:00,2024.03.06 16:51:38,545.915100,1387.558567,1.60627178,1,2024.03.06 02:30:03,525.965100,0.45644599,0,,,,0,,,,0,,,,0,,,,,,,,,,0,,1387.000000
RUN,EURUSD,FOREX,USD5_PER_LOT_PER_SIDE,20240306,2024.03.06 00:00,1.06946,15,1.08878,9,5,SHORT,2024.03.06 15:01,2024.03.06 15:01,2024.03.06 15:04,1.08873,1.08880,1.08880,0.00007,7.00000000,-1.00000000,10.00000000,1.42857143,-2.42857143,-3.14285714,STOP,EURUSD_20240306_SHORT,1.42857143,1.00000000,2024.03.06 15:02:38,2024.03.06 15:04:05,0.937600,2.384483,2.42857143,1,2024.03.06 15:02:28,0.774333,0.57142857,1,2024.03.06 15:02:38,0.937600,0.57142857,0,,,,0,,,,0,,,,-1.00000000,1.42857143,,,,,0,,3.000000
RUN,USDJPY,FOREX,USD5_PER_LOT_PER_SIDE,20240307,2024.03.07 00:00,147.921,20,150.876,17,5,LONG,2024.03.07 09:02,2024.03.07 09:03,2024.03.07 09:26,147.927,147.899,147.897,0.028,18.93000000,-1.07131537,10.00000000,0.52826202,-1.59957739,-1.86370840,STOP,USDJPY_20240307_LONG,5.95721078,1.07131537,2024.03.07 09:17:15,2024.03.07 09:26:37,13.933683,23.312467,7.02852615,1,2024.03.07 09:04:14,0.926400,0.67881669,1,2024.03.07 09:04:25,1.110867,0.67881669,1,2024.03.07 09:05:00,1.683683,0.67881669,1,2024.03.07 09:05:12,1.896917,0.67881669,1,2024.03.07 09:05:39,2.338083,0.67881669,-1.07131537,5.95721078,-1.07131537,5.95721078,-1.07131537,5.95721078,0,,23.000000
RUN,USDJPY,FOREX,USD5_PER_LOT_PER_SIDE,20240319,2024.03.19 00:00,146.470,7,150.837,14,5,SHORT,2024.03.19 17:37,2024.03.19 17:38,2024.03.19 17:39,150.832,150.856,150.857,0.024,15.91000000,-1.04148334,10.00000000,0.62853551,-1.67001886,-1.98428661,STOP,USDJPY_20240319_SHORT,0.00000000,1.04148334,,2024.03.19 17:39:40,,1.064483,1.04148334,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,0,,1.000000
RUN,XAUUSD,METAL,0.0016PCT_NOTIONAL_PER_SIDE,20240322,2024.03.22 00:00,2015.98,20,2222.72,1,5,SHORT,2024.03.21 01:15,2024.03.21 01:45,2024.03.22 01:45,2195.00,2222.97,2181.26,27.97,2797.00000000,0.49124061,7.00201600,0.00250340,0.48873721,0.48748551,H24_REFERENCE,XAUUSD_20240321_SHORT,1.01501609,0.62996067,2024.03.21 18:27:39,2024.03.21 04:12:17,1002.162167,146.793033,0.71540937,1,2024.03.21 17:24:15,938.763167,0.62996067,1,2024.03.21 18:27:37,1002.121633,0.62996067,0,,,,0,,,,0,,,,0.38827315,1.01501609,,,,,0,,1440.000000
RUN,GBPUSD,FOREX,USD5_PER_LOT_PER_SIDE,20240322,2024.03.22 00:00,1.25985,15,1.28925,10,5,LONG,2024.03.22 09:53,2024.03.22 10:09,2024.03.22 10:10,1.25991,1.25951,1.25950,0.00040,40.00000000,-1.02500000,10.00000000,0.25000000,-1.27500000,-1.40000000,STOP,GBPUSD_20240322_LONG,0.00000000,1.02500000,,2024.03.22 10:10:39,,1.055067,1.02500000,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,0,,1.000000
