dataset,feature,operator,quantile,cutpoint,horizon_bars,direction,hour_start,hour_width,confirmation_bh_q,neighbor_stress,y2024.n_selected,y2024.n_baseline,y2024.selected_mean_atr,y2024.baseline_mean_atr,y2024.edge_atr,y2024.p_fast,y2025_fast.n_selected,y2025_fast.n_baseline,y2025_fast.selected_mean_atr,y2025_fast.baseline_mean_atr,y2025_fast.edge_atr,y2025_fast.p_fast,y2025_h1_fast.n_selected,y2025_h1_fast.n_baseline,y2025_h1_fast.selected_mean_atr,y2025_h1_fast.baseline_mean_atr,y2025_h1_fast.edge_atr,y2025_h1_fast.p_fast,y2025_h2_fast.n_selected,y2025_h2_fast.n_baseline,y2025_h2_fast.selected_mean_atr,y2025_h2_fast.baseline_mean_atr,y2025_h2_fast.edge_atr,y2025_h2_fast.p_fast,y2025_hac.n_selected,y2025_hac.n_baseline,y2025_hac.edge_atr,y2025_hac.hac_lag,y2025_hac.hac_se,y2025_hac.hac_z,y2025_hac.p_hac
D:\MT5_Backtests\Research\PhenomenonDiscovery\phase_ib_v1\xauusd_m1_2024_2025_news_clean.csv,sma20,gt,0.7,0.8905276573432469,1,-1,0.0,2.0,3.289559613734122e-48,"[{'quantile': 0.8, 'cutpoint': 1.4102819766304895, 'y2025_edge': {'n_selected': 1433, 'n_baseline': 14255, 'selected_mean_atr': 0.6594181787345474, 'baseline_mean_atr': -0.042202299555716846, 'edge_atr': 0.7016204782902643, 'p_fast': 1.3790749166346285e-30}}]",2458,13310,0.3961420824894748,-0.05282945972015245,0.44897154220962726,7.696417339062753e-35,2852,12836,0.3478761883982105,-0.05054459483887764,0.3984207832370881,6.600752660885196e-35,1451,6253,0.344814485461188,-0.05618154742982779,0.40099603289101576,1.0302929722082388e-18,1401,6583,0.3510471598197805,-0.04519021772339665,0.39623737754317717,7.744832470391678e-18,2852,12836,0.3984207832370881,48,0.026456474656463086,15.059481220025564,2.991250372081949e-51
D:\MT5_Backtests\Research\PhenomenonDiscovery\phase_ib_v1\xauusd_m5_2024_2025_raw.csv,sma5,gt,0.9,0.8420647337646116,6,-1,0.0,2.0,5.124807352242434e-48,"[{'quantile': 0.8, 'cutpoint': 0.5306360305283974, 'y2025_edge': {'n_selected': 510, 'n_baseline': 2842, 'selected_mean_atr': 1.4419217432706448, 'baseline_mean_atr': -0.1950568811735276, 'edge_atr': 1.6369786244441724, 'p_fast': 5.556365836761715e-39}}, {'quantile': 0.95, 'cutpoint': 1.118157366293079, 'y2025_edge': {'n_selected': 209, 'n_baseline': 3143, 'selected_mean_atr': 3.47502643837845, 'baseline_mean_atr': -0.173481416750949, 'edge_atr': 3.6485078551293992, 'p_fast': 9.684230307326994e-55}}]",353,3003,2.0582144954188877,-0.1883560639840263,2.246570559402914,1.930180467122999e-42,332,3020,2.217041304741527,-0.18378452993421315,2.4008258346757403,4.2403024371042565e-43,162,1487,2.2822552278195127,-0.1903822672388952,2.472637495058408,5.911845326883489e-21,170,1533,2.1548962721613294,-0.17738476778674925,2.3322810399480787,5.994599809384223e-24,332,3020,2.4008258346757403,48,0.15979536817258835,15.024376877324178,5.0837139974298753e-51
D:\MT5_Backtests\Research\PhenomenonDiscovery\phase_ib_v1\xauusd_m5_2024_2025_raw.csv,sma5,gt,0.8,0.5306360305283974,6,-1,0.0,2.0,2.379026508403773e-47,"[{'quantile': 0.7, 'cutpoint': 0.328200159080116, 'y2025_edge': {'n_selected': 707, 'n_baseline': 2645, 'selected_mean_atr': 1.0415597699735573, 'baseline_mean_atr': -0.20996382782549783, 'edge_atr': 1.251523597799055, 'p_fast': 7.935704532871391e-39}}, {'quantile': 0.9, 'cutpoint': 0.8420647337646116, 'y2025_edge': {'n_selected': 332, 'n_baseline': 3020, 'selected_mean_atr': 2.217041304741527, 'baseline_mean_atr': -0.18378452993421315, 'edge_atr': 2.4008258346757403, 'p_fast': 4.2403024371042565e-43}}]",499,2857,1.4692771588936353,-0.20029851086772404,1.6695756697613593,1.5531715064220347e-40,510,2842,1.4419217432706448,-0.1950568811735276,1.6369786244441724,5.556365836761715e-39,250,1399,1.4655017861850737,-0.19996321016707969,1.6654649963521533,7.674725133601895e-19,260,1443,1.4192486250836938,-0.19030015611325085,1.6095487811969447,5.8710350056659685e-22,510,2842,1.6369786244441724,48,0.10973943127899537,14.916959249427947,2.5566127642596552e-50
D:\MT5_Backtests\Research\PhenomenonDiscovery\phase_ib_v1\xauusd_m5_2024_2025_news_clean.csv,sma5,gt,0.95,1.120845614175086,24,-1,0.0,2.0,5.740165694450825e-47,"[{'quantile': 0.9, 'cutpoint': 0.8436067399314819, 'y2025_edge': {'n_selected': 331, 'n_baseline': 3019, 'selected_mean_atr': 2.220251020777501, 'baseline_mean_atr': -0.3212672706525781, 'edge_atr': 2.541518291430079, 'p_fast': 1.833924285181287e-48}}]",215,3141,3.2614879014695437,-0.22500407750577947,3.486491978975323,5.702019783219712e-51,208,3142,3.4671491915412846,-0.30431885234352885,3.7714680438848136,3.4721672037285827e-63,98,1551,3.6649389125791068,-0.2391607918046123,3.904099704383719,1.2072078813209912e-29,110,1591,3.290936530980317,-0.36783874668410693,3.658775277664424,1.3287732927810892e-35,208,3142,3.7714680438848136,48,0.25391802656995843,14.853092924640048,6.643161091370716e-50
D:\MT5_Backtests\Research\PhenomenonDiscovery\phase_ib_v1\xauusd_m1_2024_2025_raw.csv,ret48,gt,0.7,2.627073295680621,1,-1,0.0,2.0,1.0949827406173892e-46,"[{'quantile': 0.8, 'cutpoint': 4.095029216877312, 'y2025_edge': {'n_selected': 1855, 'n_baseline': 13839, 'selected_mean_atr': 0.46232121974231605, 'baseline_mean_atr': -0.03714660095672477, 'edge_atr': 0.49946782069904083, 'p_fast': 8.218579516899917e-26}}]",2948,12820,0.3156859185130447,-0.05148940615402395,0.3671753246670687,3.775814911299309e-32,3312,12382,0.29519593729616145,-0.05121586919261867,0.3464118064887801,2.6200575801118105e-34,1696,6008,0.2796600293839313,-0.054140804276770885,0.3338008336607022,4.1324039493624994e-17,1616,6374,0.31150094956048213,-0.04845888613871432,0.35995983569919643,7.046722253957517e-19,3312,12382,0.3464118064887801,48,0.02339813274073837,14.805104763152501,1.3577532536381614e-49
D:\MT5_Backtests\Research\PhenomenonDiscovery\phase_ib_v1\xauusd_m5_2024_2025_news_clean.csv,ret6,gt,0.8,1.2040923313226783,48,-1,0.0,2.0,6.068692547391365e-46,"[{'quantile': 0.7, 'cutpoint': 0.7458475193931176, 'y2025_edge': {'n_selected': 630, 'n_baseline': 2720, 'selected_mean_atr': 1.1501762463498395, 'baseline_mean_atr': -0.5151566620219028, 'edge_atr': 1.6653329083717423, 'p_fast': 4.86559981976514e-40}}, {'quantile': 0.9, 'cutpoint': 1.8861019991085053, 'y2025_edge': {'n_selected': 250, 'n_baseline': 3100, 'selected_mean_atr': 2.679229695560471, 'baseline_mean_atr': -0.43432984173848216, 'edge_atr': 3.113559537298953, 'p_fast': 1.9884471268659895e-54}}]",321,3035,2.1157410909233483,-0.3736968863573197,2.489437977280668,2.917369093065808e-42,395,2955,1.7659792855393144,-0.4650344850379716,2.231013770577286,1.685098197084481e-44,200,1449,1.550914635596325,-0.5636953703427091,2.114610005939034,7.920422746204954e-20,195,1506,1.9865584136859702,-0.3701077766670787,2.356666190353049,2.797713921940683e-27,395,2955,2.231013770577286,96,0.15196574191281048,14.681031017223065,8.528376730235034e-49
D:\MT5_Backtests\Research\PhenomenonDiscovery\phase_ib_v1\xauusd_m5_2024_2025_news_clean.csv,ret3,lt,0.3,-0.46213878382699275,6,1,0.0,2.0,6.068692547391365e-46,"[{'quantile': 0.2, 'cutpoint': -0.7937727801502006, 'y2025_edge': {'n_selected': 369, 'n_baseline': 2981, 'selected_mean_atr': 1.1910777311636846, 'baseline_mean_atr': -0.2074156146176468, 'edge_atr': 1.3984933457813313, 'p_fast': 3.096834933283396e-30}}]",470,2886,1.1251614970948811,-0.2390711206779663,1.3642326177728474,3.626323074442534e-32,570,2780,0.8206833132466089,-0.23258552263538582,1.0532688358819948,1.0890297420728738e-33,272,1377,0.868564299798714,-0.2342445468148689,1.1028088466135828,3.0249730754065333e-17,298,1403,0.7769798624339495,-0.23095724302373352,1.007937105457683,4.8208782114640906e-18,570,2780,1.0532688358819948,48,0.07174269812934628,14.681199109392796,8.50725999458379e-49
D:\MT5_Backtests\Research\PhenomenonDiscovery\phase_ib_v1\xauusd_m5_2024_2025_raw.csv,rsi7,gt,0.7,59.16207190649632,1,-1,0.0,4.0,1.473174194942213e-45,"[{'quantile': 0.8, 'cutpoint': 64.47305514759492, 'y2025_edge': {'n_selected': 1419, 'n_baseline': 8125, 'selected_mean_atr': 0.5055633957428057, 'baseline_mean_atr': -0.05977755952578857, 'edge_atr': 0.5653409552685943, 'p_fast': 3.98008159867317e-29}}]",1941,7631,0.3667921141866699,-0.0728867490127849,0.4396788631994548,3.8929740955881346e-30,2307,7237,0.30931847459600076,-0.06658780343802188,0.37590627803402266,5.104513786038761e-30,1096,3601,0.3230036486222258,-0.06967829425164888,0.3926819428738747,2.0754528809708374e-15,1211,3636,0.2969328835697888,-0.06352706157337096,0.36045994514315977,3.490975219728411e-16,2307,7237,0.37590627803402266,48,0.025717264160614657,14.616884427765596,2.1920422839513788e-48
D:\MT5_Backtests\Research\PhenomenonDiscovery\phase_ib_v1\xauusd_m5_2024_2025_news_clean.csv,rsi7,gt,0.9,71.66414641360659,48,-1,0.0,2.0,1.973287159139058e-45,"[{'quantile': 0.8, 'cutpoint': 64.46930080948137, 'y2025_edge': {'n_selected': 286, 'n_baseline': 3064, 'selected_mean_atr': 2.5576228129651075, 'baseline_mean_atr': -0.45956109987180066, 'edge_atr': 3.017183912836908, 'p_fast': 1.817072330855582e-58}}, {'quantile': 0.95, 'cutpoint': 77.4440670460028, 'y2025_edge': {'n_selected': 157, 'n_baseline': 3193, 'selected_mean_atr': 4.059381118193465, 'baseline_mean_atr': -0.4115057691999846, 'edge_atr': 4.4708868873934495, 'p_fast': 1.9047033107445285e-80}}]",174,3182,3.4002969304430777,-0.3289342632951497,3.729231193738227,2.3712576955788203e-44,191,3159,3.4800461146447677,-0.4245976237405279,3.9046437383852957,8.112846217152909e-68,99,1550,3.2029288725517553,-0.5314204018644803,3.7343492744162354,2.8127664019973715e-32,92,1609,3.778248364288334,-0.32169190211708093,4.099940266405415,4.091525346032364e-38,191,3159,3.9046437383852957,96,0.26768975683667867,14.586451810958065,3.425562564430869e-48
D:\MT5_Backtests\Research\PhenomenonDiscovery\phase_ib_v1\xauusd_m5_2024_2025_raw.csv,ret1,gt,0.95,1.02042580595641,24,-1,0.0,2.0,1.973287159139058e-45,"[{'quantile': 0.9, 'cutpoint': 0.7631998517047763, 'y2025_edge': {'n_selected': 275, 'n_baseline': 3077, 'selected_mean_atr': 2.585587103827305, 'baseline_mean_atr': -0.30668933158727796, 'edge_atr': 2.892276435414583, 'p_fast': 1.7030403766379739e-47}}]",236,3120,2.935131955274294,-0.22393010670147517,3.159062061975769,4.4064649323352434e-45,241,3111,2.9589640669909416,-0.3040041658265388,3.2629682328174803,7.940967011637307e-53,118,1531,3.092189598365884,-0.24560211742819732,3.337791715794081,2.2590559674499243e-26,123,1580,2.8311542076231113,-0.36059501145809625,3.1917492190812076,4.118472370153122e-28,241,3111,3.2629682328174803,48,0.2236762405498037,14.587907167953981,3.3532744082079e-48
