candidate_id,profile,time,equity,year
R6B-347,E1,2004-11-09T13:50:00+00:00,9986.776834854438,2004
R6B-347,E1,2004-11-16T15:50:00+00:00,10052.5057662424,2004
R6B-347,E1,2004-11-17T14:25:00+00:00,10106.592265798912,2004
R6B-347,E1,2004-11-22T14:15:00+00:00,10085.848907826017,2004
R6B-347,E1,2004-11-24T14:55:00+00:00,10095.099008675374,2004
R6B-347,E1,2004-11-26T08:20:00+00:00,10114.643062757039,2004
R6B-347,E1,2004-12-02T15:55:00+00:00,9982.1745954712,2004
R6B-347,E1,2004-12-13T09:30:00+00:00,10022.567501774714,2004
R6B-347,E1,2004-12-16T11:20:00+00:00,10000.146711723242,2004
R6B-347,E1,2004-12-22T15:50:00+00:00,9960.238839651574,2004
R6B-347,E1,2004-12-24T12:00:00+00:00,9946.183181424956,2004
R6B-347,E1,2004-12-27T12:55:00+00:00,9920.6972872818,2004
R6B-347,E1,2004-12-29T15:15:00+00:00,9799.098389617067,2004
R6B-347,E1,2004-12-31T15:10:00+00:00,9804.463436413575,2004
R6B-347,E1,2005-01-06T10:05:00+00:00,9767.172760703692,2005
R6B-347,E1,2005-01-10T08:05:00+00:00,9764.596582672311,2005
R6B-347,E1,2005-01-11T09:15:00+00:00,9795.005070251169,2005
R6B-347,E1,2005-01-12T14:35:00+00:00,9815.739646911754,2005
R6B-347,E1,2005-01-18T11:55:00+00:00,9801.829571998378,2005
R6B-347,E1,2005-01-19T15:45:00+00:00,9827.046338041153,2005
R6B-347,E1,2005-01-21T15:45:00+00:00,9834.592338303553,2005
R6B-347,E1,2005-01-27T14:15:00+00:00,9750.147263403815,2005
R6B-347,E1,2005-01-28T08:15:00+00:00,9732.294697964466,2005
R6B-347,E1,2005-02-09T15:50:00+00:00,9690.286918203044,2005
R6B-347,E1,2005-02-10T08:40:00+00:00,9689.038936834537,2005
R6B-347,E1,2005-02-11T11:35:00+00:00,9664.133004854319,2005
R6B-347,E1,2005-02-14T09:05:00+00:00,9689.793507567594,2005
R6B-347,E1,2005-02-18T15:00:00+00:00,9701.780231385892,2005
R6B-347,E1,2005-02-22T14:25:00+00:00,9806.506040094573,2005
R6B-347,E1,2005-02-28T08:40:00+00:00,9811.42734608137,2005
R6B-347,E1,2005-03-08T15:50:00+00:00,9864.123698876436,2005
R6B-347,E1,2005-03-09T15:50:00+00:00,9843.777902166776,2005
R6B-347,E1,2005-03-16T15:30:00+00:00,9890.712033879347,2005
R6B-347,E1,2005-03-23T15:00:00+00:00,9840.92732325094,2005
R6B-347,E1,2005-03-24T11:45:00+00:00,9831.389958543488,2005
R6B-347,E1,2005-03-28T08:30:00+00:00,9802.352465403339,2005
R6B-347,E1,2005-03-29T08:55:00+00:00,9811.746671638692,2005
R6B-347,E1,2005-03-31T15:55:00+00:00,9822.858467108083,2005
R6B-347,E1,2005-04-07T13:55:00+00:00,9842.4801845274,2005
R6B-347,E1,2005-04-12T10:40:00+00:00,9816.981017131224,2005
R6B-347,E1,2005-04-18T15:35:00+00:00,9856.668553926518,2005
R6B-347,E1,2005-04-19T14:35:00+00:00,9960.88456849431,2005
R6B-347,E1,2005-04-21T13:00:00+00:00,9928.772633360919,2005
R6B-347,E1,2005-04-28T14:50:00+00:00,9860.086480424008,2005
R6B-347,E1,2005-05-02T14:25:00+00:00,9704.984914264047,2005
R6B-347,E1,2005-05-06T08:20:00+00:00,9681.024453148795,2005
R6B-347,E1,2005-05-17T08:05:00+00:00,9662.69669169045,2005
R6B-347,E1,2005-05-24T15:00:00+00:00,9672.19080640093,2005
R6B-347,E1,2005-06-06T12:40:00+00:00,9701.222445705509,2005
R6B-347,E1,2005-06-07T14:25:00+00:00,9650.311230035666,2005
R6B-347,E1,2005-06-20T14:55:00+00:00,9623.8122225014,2005
R6B-347,E1,2005-06-22T11:45:00+00:00,9573.523656889854,2005
R6B-347,E1,2005-06-24T15:20:00+00:00,9498.752089122654,2005
R6B-347,E1,2005-06-30T11:00:00+00:00,9460.467643065165,2005
R6B-347,E1,2005-07-04T08:05:00+00:00,9434.472910961304,2005
R6B-347,E1,2005-07-06T08:05:00+00:00,9447.85165088094,2005
R6B-347,E1,2005-07-07T15:25:00+00:00,9460.396698748875,2005
R6B-347,E1,2005-07-11T14:55:00+00:00,9455.432685420312,2005
R6B-347,E1,2005-08-01T15:45:00+00:00,9451.013697104647,2005
R6B-347,E1,2005-08-05T14:25:00+00:00,9452.39330842004,2005
R6B-347,E1,2005-08-12T14:55:00+00:00,9430.610500843492,2005
R6B-347,E1,2005-08-23T15:00:00+00:00,9391.407349531586,2005
R6B-347,E1,2005-08-25T15:00:00+00:00,9373.628428386297,2005
R6B-347,E1,2005-08-26T15:25:00+00:00,9380.47742230606,2005
R6B-347,E1,2005-08-29T08:10:00+00:00,9385.432013459245,2005
R6B-347,E1,2005-09-02T14:55:00+00:00,9353.942530151618,2005
R6B-347,E1,2005-09-05T11:55:00+00:00,9343.77158717573,2005
R6B-347,E1,2005-09-07T15:00:00+00:00,9358.873726879485,2005
R6B-347,E1,2005-09-12T08:05:00+00:00,9313.321999801716,2005
R6B-347,E1,2005-09-14T08:05:00+00:00,9330.02492443296,2005
R6B-347,E1,2005-09-16T12:35:00+00:00,9388.89456083692,2005
R6B-347,E1,2005-09-20T15:25:00+00:00,9340.85503483047,2005
R6B-347,E1,2005-09-21T08:05:00+00:00,9363.406340864018,2005
R6B-347,E1,2005-09-22T12:15:00+00:00,9356.286097567447,2005
R6B-347,E1,2005-10-04T13:45:00+00:00,9374.53239072794,2005
R6B-347,E1,2005-10-10T15:20:00+00:00,9319.649418794266,2005
R6B-347,E1,2005-10-11T11:55:00+00:00,9299.90357513732,2005
R6B-347,E1,2005-10-12T12:00:00+00:00,9347.988372441578,2005
R6B-347,E1,2005-10-17T08:15:00+00:00,9394.396855178733,2005
R6B-347,E1,2005-10-26T14:15:00+00:00,9376.342328714116,2005
R6B-347,E1,2005-11-03T11:45:00+00:00,9392.399776125145,2005
R6B-347,E1,2005-11-04T08:15:00+00:00,9384.231957431954,2005
R6B-347,E1,2005-11-09T14:25:00+00:00,9380.67142260562,2005
R6B-347,E1,2005-11-14T14:25:00+00:00,9312.344970810258,2005
R6B-347,E1,2005-11-16T12:00:00+00:00,9332.463117477502,2005
R6B-347,E1,2005-11-17T09:00:00+00:00,9274.857824408593,2005
R6B-347,E1,2005-11-18T14:25:00+00:00,9280.188362660625,2005
R6B-347,E1,2005-11-21T13:05:00+00:00,9316.930619854162,2005
R6B-347,E1,2005-11-22T08:20:00+00:00,9327.494179723117,2005
R6B-347,E1,2005-11-24T12:05:00+00:00,9305.551186086572,2005
R6B-347,E1,2005-11-25T08:05:00+00:00,9322.17754712954,2005
R6B-347,E1,2005-11-28T08:05:00+00:00,9327.127402616845,2005
R6B-347,E1,2005-11-29T08:55:00+00:00,9270.83849912441,2005
R6B-347,E1,2005-12-05T08:15:00+00:00,9281.584355395667,2005
R6B-347,E1,2005-12-06T08:05:00+00:00,9228.994404463865,2005
R6B-347,E1,2005-12-07T14:35:00+00:00,9235.970731575277,2005
R6B-347,E1,2005-12-08T08:40:00+00:00,9216.799573379001,2005
R6B-347,E1,2005-12-09T08:10:00+00:00,9223.686939214878,2005
R6B-347,E1,2005-12-12T08:15:00+00:00,9361.141878133041,2005
R6B-347,E1,2005-12-19T11:50:00+00:00,9438.37290407643,2005
R6B-347,E1,2005-12-21T15:25:00+00:00,9421.164617870383,2005
R6B-347,E1,2005-12-22T08:15:00+00:00,9384.191238013169,2005
R6B-347,E1,2005-12-27T08:10:00+00:00,9418.130242666617,2005
R6B-347,E1,2005-12-28T08:10:00+00:00,9435.808111597307,2005
R6B-347,E1,2006-01-03T08:05:00+00:00,9469.077336671777,2006
R6B-347,E1,2006-01-06T12:10:00+00:00,9517.18457141938,2006
R6B-347,E1,2006-01-09T08:45:00+00:00,9522.601412353504,2006
R6B-347,E1,2006-01-16T16:00:00+00:00,9577.097060103966,2006
R6B-347,E1,2006-01-17T08:30:00+00:00,9488.225618820677,2006
R6B-347,E1,2006-01-19T10:00:00+00:00,9488.467523117062,2006
R6B-347,E1,2006-01-20T08:05:00+00:00,9423.46916543662,2006
R6B-347,E1,2006-01-30T08:30:00+00:00,9437.746239884835,2006
R6B-347,E1,2006-01-31T08:30:00+00:00,9429.746098091158,2006
R6B-347,E1,2006-02-07T12:45:00+00:00,9374.669403424767,2006
R6B-347,E1,2006-02-09T08:10:00+00:00,9414.162034645424,2006
R6B-347,E1,2006-02-10T08:05:00+00:00,9229.218041132033,2006
R6B-347,E1,2006-02-16T15:25:00+00:00,9196.506088602498,2006
R6B-347,E1,2006-02-20T15:30:00+00:00,9218.75504125896,2006
R6B-347,E1,2006-02-21T08:15:00+00:00,9136.539520445913,2006
R6B-347,E1,2006-02-24T13:55:00+00:00,9181.881713798617,2006
R6B-347,E1,2006-02-28T12:05:00+00:00,9198.378559800367,2006
R6B-347,E1,2006-03-07T09:45:00+00:00,9132.47593082298,2006
R6B-347,E1,2006-03-09T15:50:00+00:00,9168.297907849352,2006
R6B-347,E1,2006-03-13T09:00:00+00:00,9167.087873105067,2006
R6B-347,E1,2006-03-27T15:40:00+00:00,9252.612975421696,2006
R6B-347,E1,2006-03-30T14:25:00+00:00,9371.52407825002,2006
R6B-347,E1,2006-04-03T12:00:00+00:00,9381.957995833322,2006
R6B-347,E1,2006-04-06T13:25:00+00:00,9409.199332276627,2006
R6B-347,E1,2006-04-10T08:05:00+00:00,9512.305641978353,2006
R6B-347,E1,2006-04-11T10:20:00+00:00,9485.599333952085,2006
R6B-347,E1,2006-04-12T09:10:00+00:00,9450.539745865975,2006
R6B-347,E1,2006-04-14T08:30:00+00:00,9479.323145705941,2006
R6B-347,E1,2006-04-17T08:05:00+00:00,9564.133843434554,2006
R6B-347,E1,2006-04-18T10:35:00+00:00,9565.575437655034,2006
R6B-347,E1,2006-04-20T15:20:00+00:00,9129.082576902965,2006
R6B-347,E1,2006-04-21T15:40:00+00:00,9292.669843171769,2006
R6B-347,E1,2006-04-24T08:05:00+00:00,9204.342300130718,2006
R6B-347,E1,2006-04-25T15:45:00+00:00,9264.011290373779,2006
R6B-347,E1,2006-04-26T14:10:00+00:00,9336.963916959965,2006
R6B-347,E1,2006-04-27T08:05:00+00:00,9308.28447963134,2006
R6B-347,E1,2006-05-01T10:50:00+00:00,9361.015671398452,2006
R6B-347,E1,2006-05-03T14:40:00+00:00,9250.966537133041,2006
R6B-347,E1,2006-05-05T14:20:00+00:00,9171.638004025592,2006
R6B-347,E1,2006-05-08T08:05:00+00:00,9124.639998716737,2006
R6B-347,E1,2006-05-09T08:05:00+00:00,9075.169070208327,2006
R6B-347,E1,2006-05-10T14:50:00+00:00,9032.47632980953,2006
R6B-347,E1,2006-05-11T12:40:00+00:00,9065.580624556193,2006
R6B-347,E1,2006-05-12T15:10:00+00:00,9038.49227399562,2006
R6B-347,E1,2006-05-15T08:30:00+00:00,8695.92095547178,2006
R6B-347,E1,2006-05-16T09:05:00+00:00,8631.296139704216,2006
R6B-347,E1,2006-05-17T08:10:00+00:00,8881.27639992855,2006
R6B-347,E1,2006-05-22T08:20:00+00:00,8595.956865888329,2006
R6B-347,E1,2006-05-23T08:05:00+00:00,8582.591802295055,2006
R6B-347,E1,2006-05-24T14:55:00+00:00,8264.200477429535,2006
R6B-347,E1,2006-05-25T15:20:00+00:00,8246.811871970642,2006
R6B-347,E1,2006-05-26T08:05:00+00:00,8281.462717049486,2006
R6B-347,E1,2006-05-30T15:05:00+00:00,8360.12900023781,2006
R6B-347,E1,2006-05-31T15:00:00+00:00,8263.720497070793,2006
R6B-347,E1,2006-06-05T08:05:00+00:00,8273.515290611023,2006
R6B-347,E1,2006-06-14T16:00:00+00:00,8238.232471360983,2006
R6B-347,E1,2006-06-15T13:10:00+00:00,8351.786677606922,2006
R6B-347,E1,2006-06-16T08:10:00+00:00,8384.561547205029,2006
R6B-347,E1,2006-06-20T13:50:00+00:00,8368.54195124635,2006
R6B-347,E1,2006-06-22T09:40:00+00:00,8390.436703973062,2006
R6B-347,E1,2006-06-23T09:25:00+00:00,8350.674754906686,2006
R6B-347,E1,2006-06-27T08:25:00+00:00,8383.668696968909,2006
R6B-347,E1,2006-06-29T08:20:00+00:00,8389.850440642957,2006
R6B-347,E1,2006-07-03T08:15:00+00:00,8419.889043606776,2006
R6B-347,E1,2006-07-05T08:05:00+00:00,8367.85775638032,2006
R6B-347,E1,2006-07-10T11:10:00+00:00,8241.412717658224,2006
R6B-347,E1,2006-07-13T15:35:00+00:00,8170.117015206399,2006
R6B-347,E1,2006-07-17T08:05:00+00:00,8231.635007342065,2006
R6B-347,E1,2006-07-18T09:55:00+00:00,8181.574680926912,2006
R6B-347,E1,2006-07-25T08:05:00+00:00,8211.983415160694,2006
R6B-347,E1,2006-07-27T14:55:00+00:00,8280.45944581222,2006
R6B-347,E1,2006-07-28T08:05:00+00:00,8199.733521619279,2006
R6B-347,E1,2006-07-31T08:05:00+00:00,8152.706081523532,2006
R6B-347,E1,2006-08-01T08:10:00+00:00,8082.704316775791,2006
R6B-347,E1,2006-08-02T09:20:00+00:00,8079.058792206694,2006
R6B-347,E1,2006-08-07T11:50:00+00:00,8039.95827010376,2006
R6B-347,E1,2006-08-09T15:45:00+00:00,8189.020515119146,2006
R6B-347,E1,2006-08-10T14:35:00+00:00,8033.448277404236,2006
R6B-347,E1,2006-08-11T08:15:00+00:00,8064.5803244099625,2006
R6B-347,E1,2006-08-16T15:55:00+00:00,8103.661276164083,2006
R6B-347,E1,2006-08-17T11:55:00+00:00,8109.182557295133,2006
R6B-347,E1,2006-08-18T15:50:00+00:00,8022.994378457821,2006
R6B-347,E1,2006-08-21T09:00:00+00:00,8092.184255962055,2006
R6B-347,E1,2006-08-24T13:20:00+00:00,8105.589284107728,2006
R6B-347,E1,2006-08-29T08:10:00+00:00,8102.6812309519255,2006
R6B-347,E1,2006-08-31T12:25:00+00:00,8154.193459111942,2006
R6B-347,E1,2006-09-05T12:05:00+00:00,8179.559557275501,2006
R6B-347,E1,2006-09-07T15:10:00+00:00,7953.3372115790935,2006
R6B-347,E1,2006-09-08T11:10:00+00:00,7859.638418993603,2006
R6B-347,E1,2006-09-12T11:35:00+00:00,7865.930035217275,2006
R6B-347,E1,2006-09-14T13:20:00+00:00,7847.923672820136,2006
R6B-347,E1,2006-09-15T12:15:00+00:00,7796.517420760257,2006
R6B-347,E1,2006-09-20T15:10:00+00:00,7936.71371852141,2006
R6B-347,E1,2006-09-21T11:50:00+00:00,7982.514397488965,2006
R6B-347,E1,2006-09-22T08:30:00+00:00,7993.8172498088625,2006
R6B-347,E1,2006-09-25T13:30:00+00:00,7939.330819609392,2006
R6B-347,E1,2006-09-26T08:20:00+00:00,7924.480308022979,2006
R6B-347,E1,2006-09-27T12:25:00+00:00,7944.294603932567,2006
R6B-347,E1,2006-09-29T12:00:00+00:00,7923.721523505519,2006
R6B-347,E1,2006-10-02T08:05:00+00:00,7928.95900120854,2006
R6B-347,E1,2006-10-03T11:45:00+00:00,7863.852556385114,2006
R6B-347,E1,2006-10-04T14:25:00+00:00,7811.64616439827,2006
R6B-347,E1,2006-10-05T08:30:00+00:00,7793.8961272972065,2006
R6B-347,E1,2006-10-09T08:05:00+00:00,7864.645492549656,2006
R6B-347,E1,2006-10-10T15:15:00+00:00,7757.679998830183,2006
R6B-347,E1,2006-10-12T15:15:00+00:00,7786.45618990685,2006
R6B-347,E1,2006-10-16T08:05:00+00:00,7780.361977231553,2006
R6B-347,E1,2006-10-18T09:50:00+00:00,7800.989181949057,2006
R6B-347,E1,2006-10-19T16:00:00+00:00,7903.172448797564,2006
R6B-347,E1,2006-10-20T15:10:00+00:00,7802.379074575675,2006
R6B-347,E1,2006-10-26T08:30:00+00:00,7784.586578719838,2006
R6B-347,E1,2006-10-30T08:45:00+00:00,7830.44374932942,2006
R6B-347,E1,2006-11-01T09:40:00+00:00,7819.595836331009,2006
R6B-347,E1,2006-11-06T08:20:00+00:00,7781.6886983330705,2006
R6B-347,E1,2006-11-07T12:35:00+00:00,7762.69206498401,2006
R6B-347,E1,2006-11-08T11:50:00+00:00,7738.362595984276,2006
R6B-347,E1,2006-11-13T08:50:00+00:00,7713.374032548553,2006
R6B-347,E1,2006-11-24T08:55:00+00:00,7738.309279038335,2006
R6B-347,E1,2006-11-27T08:05:00+00:00,7724.670374121051,2006
R6B-347,E1,2006-12-05T08:35:00+00:00,7672.480004435098,2006
