family,feature,quintile,hour_block,horizon_bars,outcome,n_state,n_comp,effect,state_mean,comp_mean,p,q
wick_rejection,upper_wick_atr,1,,6,move_ge_1atr,12103,55033,0.08438107048564836,0.8459059737255226,0.7615249032398742,1.3886536575314817e-90,5.033869508551621e-90
wick_rejection,upper_wick_atr,1,0.0,6,move_ge_1atr,1236,65900,0.0691973717164871,0.8446601941747572,0.7754628224582701,7.128730972218131e-09,7.253796427871081e-09
wick_rejection,upper_wick_atr,1,1.0,6,move_ge_1atr,2395,64741,0.055298570610841535,0.830062630480167,0.7747640598693255,1.751879636925325e-10,1.9171513007862047e-10
wick_rejection,upper_wick_atr,1,2.0,6,move_ge_1atr,2369,64767,0.16142014617022837,0.932460953989025,0.7710408078187966,1.1656674043038883e-76,3.07312315680116e-76
wick_rejection,upper_wick_atr,1,3.0,6,move_ge_1atr,2160,64976,0.15319194779610934,0.925,0.7718080522038907,1.7529573945627598e-63,3.3890509628213354e-63
wick_rejection,upper_wick_atr,2,,6,move_ge_1atr,12138,54998,0.08517830073612342,0.8465150766188828,0.7613367758827594,1.8012625165739797e-92,6.964881730752721e-92
wick_rejection,upper_wick_atr,2,0.0,6,move_ge_1atr,1194,65942,0.07041163070719425,0.8458961474036851,0.7754845166964909,7.024244081145744e-09,7.253796427871081e-09
wick_rejection,upper_wick_atr,2,1.0,6,move_ge_1atr,2484,64652,0.06922215935622833,0.8433977455716586,0.7741755862154303,4.2941561542831877e-16,5.414370803226629e-16
wick_rejection,upper_wick_atr,2,2.0,6,move_ge_1atr,2202,64934,0.15758725963541764,0.9291553133514986,0.771568053716081,2.695977666446091e-68,6.0141040251489726e-68
wick_rejection,upper_wick_atr,2,3.0,6,move_ge_1atr,2159,64977,0.15506796743548612,0.9268179712830014,0.7717500038475152,5.662252545748206e-65,1.1324505091496412e-64
wick_rejection,upper_wick_atr,3,,6,move_ge_1atr,12112,55024,0.09380234895938766,0.853616248348745,0.7598138993893574,1.5091828959672826e-111,7.294383997175199e-111
wick_rejection,upper_wick_atr,3,0.0,6,move_ge_1atr,1137,65999,0.11438243987146046,0.8891820580474934,0.7747996181760329,4.1921085467957104e-20,6.078557392853781e-20
wick_rejection,upper_wick_atr,3,1.0,6,move_ge_1atr,2529,64607,0.07915112122108636,0.8529062870699882,0.7737551658489018,6.809786866175075e-21,1.0393885216793535e-20
wick_rejection,upper_wick_atr,3,2.0,6,move_ge_1atr,2291,64845,0.16923926204982842,0.9402007856831078,0.7709615236332794,1.8093019993333387e-81,5.246975798066682e-81
wick_rejection,upper_wick_atr,3,3.0,6,move_ge_1atr,2182,64954,0.15449911432773966,0.9262144821264895,0.7717153677987498,3.716405830634235e-65,7.698269220599486e-65
