candidate_id,scope,profile,total_trades,state_available_trades,active_bottom10_trades,availability_fraction,active_fraction,interaction_difference,active_expectancy,normal_expectancy,original_expectancy,veto_expectancy,original_net,veto_net,original_pf,veto_pf
R6B-347,2024,E1,95,80,33,0.8421052631578947,0.4125,-0.014630952246012185,4.474191837091826,4.4888227893378385,4.608267400367088,4.679630200174889,437.78540303487335,290.1370724108431,5.214045354604957,6.074290102197643
R6B-347,2024,STRESS,95,80,33,0.8421052631578947,0.4125,-0.08797310001663927,3.2024850722162204,3.2904581722328596,3.3763324361254563,3.4688640975610174,320.75158143191834,215.06957404878307,3.3327412615434127,3.79413992971177
R6B-347,2025,E1,106,88,35,0.8301886792452831,0.3977272727272727,-3.44534194084334,9.252144472346526,12.697486413189866,11.475247662017761,12.571143600588087,1216.3762521738827,892.5511956417541,5.068455112682391,6.848392479377425
R6B-347,2025,STRESS,106,88,35,0.8301886792452831,0.3977272727272727,-3.3990997553311963,7.509548167702384,10.90864792303358,9.710334605023364,10.795229327646382,1029.2954681324766,766.4612822628932,3.9390002692519213,5.160782382493937
R6B-347,pooled,E1,201,168,68,0.835820895522388,0.40476190476190477,-1.9059823459182557,6.933432164061157,8.839414509979413,8.229659976162965,8.89239299287667,1654.161655208756,1182.6882680525973,5.105998650261412,6.637415022643812
R6B-347,pooled,STRESS,201,168,68,0.835820895522388,0.40476190476190477,-1.908742957029025,5.419355783128217,7.328098740157242,6.716651987882562,7.379931250463731,1350.047049564395,981.5308563116762,3.7680812586007666,4.758026734891486
R6B-307,2024,E1,95,80,33,0.8421052631578947,0.4125,1.6897421550987328,3.0396403638709266,1.3498982087721938,2.0380626971890994,1.504964906858449,193.61595623296444,93.30782422522384,2.833918931622563,2.285243986720525
R6B-307,2024,STRESS,95,80,33,0.8421052631578947,0.4125,1.6159619011035713,1.7683023480251694,0.15234044692159815,0.8067883997192782,0.2950148465887232,76.64489797333142,18.290920488500838,1.4814132338046326,1.16805469587626
R6B-307,2025,E1,106,88,35,0.8301886792452831,0.3977272727272727,-2.9770669255299307,5.440362240723186,8.417429166253116,7.5689809494723645,8.61830003125013,802.3119806440707,611.8993022187592,3.4831193137185745,3.835018342860139
R6B-307,2025,STRESS,106,88,35,0.8301886792452831,0.3977272727272727,-2.930945109318455,3.698745748254585,6.62969085757304,5.805071991729525,6.843401830062241,615.3376311233296,485.8815299344191,2.596887607193209,2.9264433555554317
R6B-307,pooled,E1,201,168,68,0.835820895522388,0.40476190476190477,-0.8203835804569053,4.2753060357801775,5.095689616237083,4.95486535759719,5.302309221383331,995.9279368770351,705.207126443983,3.323235293424929,3.4449395144716366
R6B-307,pooled,STRESS,201,168,68,0.835820895522388,0.40476190476190477,-0.823423242894199,2.7619129216726632,3.585336164566862,3.4426991497346324,3.7907703039317293,691.9825290966611,504.17245042292,2.2707566144779294,2.39638308633681
