candidate_id,year,profile,gross,spread,slippage,commission,net,trades,expectancy,expectancy_bps,PF,win_rate,max_drawdown_realized,best_trade,worst_trade,ex_best_positive_net
R6B-347,2004,E1,-0.6270000000000095,0.6168569,0.6168569,0.0431799838778,-1.9038937838778098,7,-0.27198482626825854,-6.164382059613272,0.5801453842162586,0.2857142857142857,2.7467868110771794,1.756854319711812,-1.2158569534476489,-3.660748103589622
R6B-347,2004,STRESS,-0.6270000000000095,1.5421422500000002,1.2337138,0.08635996995010001,-3.48921601995011,7,-0.4984594314214443,-11.30386169562881,0.3839685456401196,0.2857142857142857,3.48921601995011,1.5331951962031116,-1.4416407105142488,-5.0224112161532215
R6B-307,2004,E1,0.21299999999996544,1.0581223,1.0581223,0.0740685607018,-1.9773131607018348,12,-0.1647760967251529,-3.705343294164583,0.5615092328615803,0.5833333333333334,2.895261136759862,0.9583840145945531,-1.1872078354056192,-2.935697175296388
R6B-307,2004,STRESS,0.21299999999996544,2.64530575,2.1162446,0.1481371206581,-4.6966874706581345,12,-0.3913906225548445,-8.845455021935656,0.2076320814782339,0.3333333333333333,4.929237527919161,0.7341409831756531,-1.4146687743252189,-5.430828453833787
R6B-347,2005,E1,10.429000000000258,4.9403093,4.9403093,0.3458216363994,0.2025597636008561,54,0.003751106733349187,-0.700553568083238,1.0056596863924656,0.4444444444444444,15.804924443172993,7.9008275493707565,-3.020633613939565,-7.6982677857699
R6B-347,2005,STRESS,10.429000000000258,12.35077325,9.8806186,0.6916432362973001,-12.494035086297043,54,-0.2313710201166119,-5.841437671971221,0.7073024135946402,0.42592592592592593,24.19282175394311,7.626231827168557,-3.2771787377281645,-20.1202669134656
R6B-307,2005,E1,19.900000000000375,7.975176200000001,7.975176200000001,0.5582623061399999,3.391385293860376,88,0.038538469248413365,0.11148160660535635,1.0867841203010573,0.4431818181818182,18.56158383352816,3.7156101904950116,-2.93799054186961,-0.3242248966346355
R6B-307,2005,STRESS,19.900000000000375,19.9379405,15.950352400000002,1.1165245426300001,-17.104817442629624,88,-0.19437292548442756,-5.029611229550836,0.6621583001446595,0.3977272727272727,30.67002238248105,3.455643144727511,-3.15400779341321,-20.560460587357134
R6B-347,2006,E1,-48.187999999999874,10.967000200000001,10.967000200000001,0.7676900814632,-70.88969048146308,90,-0.787663227571812,-12.037720450355614,0.6164809243762724,0.4666666666666667,77.79260809340676,20.054123835483026,-27.198522070669835,-90.9438143169461
R6B-347,2006,STRESS,-48.187999999999874,27.4175005,21.934000400000002,1.5353803315844001,-99.07488123158427,90,-1.1008320136842698,-17.17569035467174,0.5058824108157153,0.4444444444444444,104.84292363283127,19.69298779217353,-27.560460185514142,-118.7678690237578
R6B-307,2006,E1,18.000999999999976,14.088787900000002,14.088787900000002,0.9862151277986,-11.162790927798634,116,-0.09623095627412616,-1.1153660135297268,0.9080713115486624,0.4827586206896552,28.78998512041938,12.410706339779932,-8.782581995927984,-23.573497267578567
R6B-307,2006,STRESS,18.000999999999976,35.22196975,28.177575800000003,1.9724301925937,-47.37097574259373,116,-0.4083704805396011,-6.256143490580203,0.6649234633822346,0.39655172413793105,55.86476812051584,12.051535024009931,-9.108589621675982,-59.42251076660366
R6B-347,2007,E1,-33.18500000000017,14.1748969,14.1748969,0.992242829459,-62.527036629459175,100,-0.6252703662945918,-8.698406523053078,0.5799932725254978,0.36,71.99083398349943,11.332073656346331,-13.47363808139461,-73.85911028580551
R6B-347,2007,STRESS,-33.18500000000017,35.43724225,28.3497938,1.9844857750655,-98.95652182506568,100,-0.9895652182506568,-13.837234792366235,0.4251981262119786,0.34,106.8321304207466,10.905073353558732,-13.88910665877571,-109.86159517862441
R6B-307,2007,E1,2.8829999999999245,17.3918505,17.3918505,1.2174295309638,-33.118130530963874,123,-0.26925309374767376,-3.8291412109392398,0.6843944500439987,0.44715447154471544,42.93166524158876,7.7908068453875,-8.71462339473062,-40.908937376351375
R6B-307,2007,STRESS,2.8829999999999245,43.47962625,34.783701,2.4348590518371003,-77.81518630183717,123,-0.632643791071847,-8.969221116665196,0.4059028971431531,0.37398373983739835,82.24597760892493,7.364716819244101,-9.13131526878772,-85.17990312108127
R6B-347,2008,E1,-110.48899999999935,21.0531253,21.0531253,1.4737189256846,-154.06896952568394,120,-1.2839080793806994,-14.721910165947385,0.5974912326570906,0.4,216.49728997591995,15.89756162973188,-30.61103060343532,-169.96653115541582
R6B-347,2008,STRESS,-110.48899999999935,52.63281325,42.1062506,2.9474382380807,-208.17550208808007,120,-1.7347958507340004,-19.859190103837058,0.499564429293585,0.38333333333333336,265.4282157716415,15.47613336629318,-30.98353246295922,-223.65163545437323
R6B-307,2008,E1,-41.39199999999971,24.8918494,24.8918494,1.7424295159488,-92.91812831594851,142,-0.6543530163094965,-7.2285884161131255,0.6498632375906389,0.4507042253521127,130.07887481524637,12.657741017151032,-15.49483318323234,-105.57586933309955
R6B-307,2008,STRESS,-41.39199999999971,62.2296235,49.7836988,3.4848591767696,-156.89018147676933,142,-1.1048604329349954,-12.367794499684678,0.48279618703393395,0.38028169014084506,188.488487771108,12.276264929679531,-15.90309471954574,-169.16644640644887
R6B-347,2009,E1,-23.369000000000028,24.9123635,24.9123635,1.7438654777166,-74.93759247771663,126,-0.5947427974421955,-6.752652418706593,0.7515786127373844,0.42063492063492064,111.39980795448224,14.558003258932798,-13.400079773226606,-89.49559573664943
R6B-347,2009,STRESS,-23.369000000000028,62.28090875,49.824727,3.4877310372247003,-138.96236678722474,126,-1.102875926882736,-11.891980840821306,0.5902004207077257,0.3888888888888889,159.71184511266856,14.068838270197599,-13.873207842019704,-153.03120505742234
R6B-307,2009,E1,-72.5920000000001,30.2652448,30.2652448,2.1185672376288,-135.2410568376289,152,-0.8897437949844006,-9.263647873145718,0.5003165821670468,0.40131578947368424,142.06211578909196,7.399345550967661,-13.337997495165023,-142.64040238859656
R6B-307,2009,STRESS,-72.5920000000001,75.663112,60.5304896,4.2371347293296004,-213.02273632932972,152,-1.4014653705876956,-14.402330848125857,0.33545394014607177,0.3223684210526316,218.14667526091398,6.85970212935426,-13.788675585742523,-219.88243845868396
R6B-347,2010,E1,55.255000000001246,31.4974923,31.4974923,2.204824383643,-9.944808983641753,127,-0.07830558254836026,-0.3388576132255794,0.9609916026266853,0.4881889763779528,49.8844761203429,17.481828789177527,-21.08023136170138,-27.42663777281928
R6B-347,2010,STRESS,55.255000000001246,78.74373075,62.9949846,4.4096485738935005,-90.89336392389225,127,-0.7156957789282854,-5.479834690447001,0.6944192171883588,0.4566929133858268,110.66331710272954,16.858360241299124,-21.799373745156277,-107.75172416519138
R6B-307,2010,E1,7.364000000000942,38.0460654,38.0460654,2.6632245676904,-71.39135536768946,154,-0.46358022966032114,-3.6964947580533267,0.6638524883986887,0.461038961038961,89.83328000760598,7.823033798596329,-14.107674969937616,-79.21438916628578
R6B-307,2010,STRESS,7.364000000000942,95.11516350000001,76.0921308,5.3264491096068,-169.16974340960587,154,-1.098504827335103,-8.836608760325644,0.3693107062566905,0.35714285714285715,178.8423838528008,7.251964676183029,-14.828609637219916,-176.4217080857889
R6B-347,2011,E1,130.85999999999945,44.821247400000004,44.821247400000004,3.137487134796,38.080018065203454,142,0.2681691413042497,1.3362923996779448,1.0870634513675248,0.4788732394366197,71.04406797348419,32.461413406401604,-20.58712354580413,5.61860465880185
R6B-347,2011,STRESS,130.85999999999945,112.0531185,89.64249480000001,6.274973811582,-77.11058711158256,142,-0.543032303602694,-3.805115272021008,0.8458957753621443,0.4154929577464789,125.35138668065831,31.61395092880721,-21.489880861118127,-108.72453804038977
R6B-307,2011,E1,-57.667000000000826,50.908709900000005,50.908709900000005,3.5636097737337997,-163.04802957373462,161,-1.0127206805822027,-6.098773777543316,0.5650413083834612,0.42857142857142855,166.5361017293129,21.7500532544539,-29.0690221556422,-184.7980828281885
R6B-307,2011,STRESS,-57.667000000000826,127.27177475,101.81741980000001,7.127219749302101,-293.88341429930296,161,-1.825362821734801,-11.238270278056792,0.358212180220104,0.33540372670807456,296.00893560176866,20.8599310375422,-30.003933810390606,-314.74334533684515
R6B-347,2012,E1,-28.453000000000202,42.006972100000006,42.006972100000006,2.9404880868342,-115.4074322868344,125,-0.9232594582946753,-5.36359150602099,0.6831889475178342,0.4,178.79628358988828,21.05361425938968,-35.38559030957569,-136.46104654622408
R6B-347,2012,STRESS,-28.453000000000202,105.01743025,84.01394420000001,5.8809762732539,-223.36535072325412,125,-1.786922805786033,-10.503276983893903,0.48469618146543275,0.328,264.56109284152626,20.24240594475398,-36.24050689059099,-243.6077566680081
