dataset,feature,operator,quantile,cutpoint,horizon_bars,direction,hour_start,hour_width,confirmation_bh_q,neighbor_stress,y2024.n,y2024.mean_atr,y2024.sd_atr,y2024.p,y2025.n,y2025.mean_atr,y2025.sd_atr,y2025.p,y2025_h1.n,y2025_h1.mean_atr,y2025_h1.sd_atr,y2025_h1.p,y2025_h2.n,y2025_h2.mean_atr,y2025_h2.sd_atr,y2025_h2.p
D:\MT5_Backtests\Research\PhenomenonDiscovery\phase_ib_v1\xauusd_m5_2024_2025_raw.csv,range,lt,0.9,1.4762056778934152,48,1,,,6.681524522700611e-131,"[{'quantile': 0.8, 'cutpoint': 1.2196506907108242, 'y2025': {'n': 56967, 'mean_atr': 0.5146763009473537, 'sd_atr': 5.177477363682999, 'p': 1.936423812902105e-124}}, {'quantile': 0.95, 'cutpoint': 1.739521997985499, 'y2025': {'n': 67685, 'mean_atr': 0.5037363759995126, 'sd_atr': 5.215797674760944, 'p': 2.5656189299081005e-139}}]",64250,0.35893438921121,5.551993156348817,2.3637004447422696e-60,64176,0.5045727861090551,5.20707960150128,4.544188817033717e-133,31637,0.46571775316105507,5.10300082870689,2.9541379913970695e-59,32539,0.5423507349512406,5.306121925297281,6.555151024904999e-76
D:\MT5_Backtests\Research\PhenomenonDiscovery\phase_ib_v1\xauusd_m1_2024_2025_raw.csv,sma10,gt,0.05,-1.8604324023200889,48,1,,,6.781417442668982e-131,"[{'quantile': 0.1, 'cutpoint': -1.4215909901518908, 'y2025': {'n': 322275, 'mean_atr': 0.23303119466678038, 'sd_atr': 5.570029698068166, 'p': 1.0898460886753998e-124}}]",338078,0.21521944694679826,6.000782554373621,1.4122819191449546e-96,338457,0.23471958824195663,5.562883403700415,4.638633726028267e-133,166500,0.22738259315707088,5.639994579520283,8.28389574887938e-61,171957,0.24182374615139593,5.487193886002141,1.3077060453188735e-74
D:\MT5_Backtests\Research\PhenomenonDiscovery\phase_ib_v1\xauusd_m1_2024_2025_news_clean.csv,uwick,lt,0.9,0.5104297642382762,48,1,,,7.205037649396311e-131,"[{'quantile': 0.8, 'cutpoint': 0.36833277992696245, 'y2025': {'n': 279413, 'mean_atr': 0.24666608869535656, 'sd_atr': 5.600628799034523, 'p': 6.955637633698787e-120}}, {'quantile': 0.95, 'cutpoint': 0.6452649113249523, 'y2025': {'n': 334161, 'mean_atr': 0.24323403744638591, 'sd_atr': 5.613700581026324, 'p': 1.8897724458270152e-138}}]",317126,0.2165759827089824,6.064943654950259,6.103881157037247e-90,316380,0.24443762143373068,5.60169086992287,4.956561234731671e-133,155265,0.2394601978089139,5.666313722476286,2.920747977440264e-62,161115,0.24923431745276792,5.538714429619099,6.343178395141777e-73
D:\MT5_Backtests\Research\PhenomenonDiscovery\phase_ib_v1\xauusd_m1_2024_2025_raw.csv,sma100,lt,0.8,3.3859101182632028,48,1,,,7.641178253598654e-131,"[{'quantile': 0.7, 'cutpoint': 2.2083619748140135, 'y2025': {'n': 243961, 'mean_atr': 0.2695520978408038, 'sd_atr': 5.577624501279116, 'p': 6.268259294020504e-126}}, {'quantile': 0.9, 'cutpoint': 5.002901713963574, 'y2025': {'n': 316604, 'mean_atr': 0.2492044643268044, 'sd_atr': 5.5477144292208225, 'p': 5.939473534239243e-141}}]",284628,0.24160961412271856,6.014098520319029,6.5834268407716e-102,279457,0.2583098080308728,5.564054211658415,5.286462440927775e-133,137292,0.23962490514179413,5.624346592306408,3.861246465189569e-56,142165,0.27635424715053936,5.505161358431544,6.774583505261986e-80
D:\MT5_Backtests\Research\PhenomenonDiscovery\phase_ib_v1\xauusd_m5_2024_2025_news_clean.csv,sma10,gt,0.05,-1.664793649633537,48,1,,,8.658784714871321e-131,"[{'quantile': 0.1, 'cutpoint': -1.2186043634683141, 'y2025': {'n': 63155, 'mean_atr': 0.5060102420889603, 'sd_atr': 5.289478834810954, 'p': 1.0399482538454394e-127}}]",66910,0.34158574197084157,5.691791222984667,2.3967515916246347e-54,66729,0.5030332930053769,5.295915819389873,6.024326451090898e-133,32790,0.4743648065280695,5.164952084520561,4.159959145473394e-62,33939,0.5307312119655971,5.419372795823912,9.184075330048076e-73
D:\MT5_Backtests\Research\PhenomenonDiscovery\phase_ib_v1\xauusd_m1_2024_2025_raw.csv,sma20,lt,0.9,2.144559459473756,48,1,,,1.2621728213269175e-130,"[{'quantile': 0.8, 'cutpoint': 1.4066621016861285, 'y2025': {'n': 285685, 'mean_atr': 0.23868079217481075, 'sd_atr': 5.562529161214001, 'p': 2.1051147340842133e-116}}, {'quantile': 0.95, 'cutpoint': 2.7576520743474, 'y2025': {'n': 337893, 'mean_atr': 0.2436741446441869, 'sd_atr': 5.562225423471095, 'p': 4.767309073061332e-143}}]",320279,0.2261107990081904,5.986219927563767,2.2197448105116536e-101,321115,0.24062277144269167,5.560702508607236,8.830868316819819e-133,158241,0.2242807429844157,5.658152977686686,5.165399627998318e-56,162874,0.25649994597801384,5.464330416794637,4.930530650806855e-80
D:\MT5_Backtests\Research\PhenomenonDiscovery\phase_ib_v1\xauusd_m5_2024_2025_news_clean.csv,ret3,gt,0.05,-1.7536517938210519,48,1,,,1.5823422953031378e-130,"[{'quantile': 0.1, 'cutpoint': -1.2997301605620035, 'y2025': {'n': 63388, 'mean_atr': 0.5016581294629996, 'sd_atr': 5.275118254951981, 'p': 1.0920771681819606e-126}}]",66910,0.3522890308325989,5.686089858758477,8.383844640490976e-58,66695,0.501762935299052,5.286630458737397,1.1194651166739678e-132,32845,0.46792603966953505,5.156333218889381,8.900239469141007e-61,33850,0.5345952199948124,5.4099341831363645,7.328876254772713e-74
D:\MT5_Backtests\Research\PhenomenonDiscovery\phase_ib_v1\xauusd_m5_2024_2025_news_clean.csv,rsi14,gt,0.05,32.16912161365816,48,1,,,1.5823422953031378e-130,"[{'quantile': 0.1, 'cutpoint': 36.619998516756645, 'y2025': {'n': 63362, 'mean_atr': 0.5060233125410046, 'sd_atr': 5.296316807274483, 'p': 8.393239713560582e-128}}]",66909,0.3457044591946058,5.705777052589215,2.3399522297793808e-55,66813,0.5015865218301412,5.289397360209403,1.1134496468552068e-132,32781,0.47622747922937053,5.170822225187656,1.9919854705364486e-62,34032,0.5260133781858025,5.401116308687293,3.582375099271254e-72
D:\MT5_Backtests\Research\PhenomenonDiscovery\phase_ib_v1\xauusd_m1_2024_2025_news_clean.csv,ret1,lt,0.9,0.8566260646139736,48,1,,,1.946196546927676e-130,"[{'quantile': 0.8, 'cutpoint': 0.5505906127810603, 'y2025': {'n': 283399, 'mean_atr': 0.24935884042500697, 'sd_atr': 5.626639709610645, 'p': 4.5966632531388486e-123}}, {'quantile': 0.95, 'cutpoint': 1.127254529134252, 'y2025': {'n': 335066, 'mean_atr': 0.24115543354666127, 'sd_atr': 5.622265382419625, 'p': 4.412260322820446e-136}}]",317126,0.22306328248604612,6.07401624101247,5.15412367392659e-95,318241,0.24434378245417268,5.625569419395277,1.38448941346481e-132,156513,0.2360719926979468,5.678779445897696,8.934798609096048e-61,161728,0.2523488442252711,5.5735973941885755,4.472794065255535e-74
D:\MT5_Backtests\Research\PhenomenonDiscovery\phase_ib_v1\xauusd_m5_2024_2025_news_clean.csv,ret6,gt,0.05,-2.4592741164794134,48,1,,,1.9841110456208453e-130,"[{'quantile': 0.1, 'cutpoint': -1.8109192424756488, 'y2025': {'n': 63237, 'mean_atr': 0.49382894053435983, 'sd_atr': 5.291869575296428, 'p': 8.916534814156296e-122}}]",66910,0.34151453587445785,5.703407934089786,4.1235350609849976e-54,66843,0.5023683346796017,5.300968769980047,1.419216390512096e-132,32875,0.4696914116808406,5.167981385826517,5.214238386789896e-61,33968,0.5339938011063644,5.426463118487133,1.64049985761372e-73
