family,feature,quintile,hour_block,horizon_bars,outcome,n_state,n_comp,effect,state_mean,comp_mean,p,q
range_location,dist_high24_atr,1,,3,move_ge_1atr,11422,57310,0.10631140955255347,0.6685344072841884,0.562222997731635,4.305925766989871e-98,2.6313990798271435e-97
range_location,dist_high24_atr,1,0.0,3,move_ge_1atr,722,68010,0.23140506875109212,0.8088642659279779,0.5774591971768858,5.036898862744085e-36,8.394831437906808e-36
range_location,dist_high24_atr,1,1.0,3,move_ge_1atr,2244,66488,0.08417733322094667,0.661319073083779,0.5771417398628323,1.9274834947740482e-15,2.038684465626397e-15
range_location,dist_high24_atr,1,2.0,3,move_ge_1atr,2407,66325,0.20028562251919146,0.7731616119651018,0.5728759894459103,3.6268289579321827e-85,1.8134144789660915e-84
range_location,dist_high24_atr,1,3.0,3,move_ge_1atr,2451,66281,0.1513327488135756,0.7258261933904528,0.5744934445768772,3.0062219114300783e-50,7.873438339459729e-50
range_location,dist_high24_atr,1,5.0,3,move_ge_1atr,2163,66569,-0.09036199891370678,0.492371705963939,0.5827337048776458,5.3168776733728664e-17,5.733887686970739e-17
range_location,dist_high24_atr,2,,3,move_ge_1atr,11453,57279,0.06438432307027109,0.6335457958613464,0.5691614727910753,3.3694552060415696e-37,5.9780656881382685e-37
range_location,dist_high24_atr,2,0.0,3,move_ge_1atr,744,67988,0.18420067488190517,0.7620967741935484,0.5778960993116432,4.3156548378685276e-24,4.747220321655381e-24
range_location,dist_high24_atr,2,2.0,3,move_ge_1atr,2452,66280,0.1383405316906574,0.7132952691680261,0.5749547374773687,2.688830868818726e-42,5.6879114532703826e-42
range_location,dist_high24_atr,2,3.0,3,move_ge_1atr,2410,66322,0.1403851146944225,0.7153526970954357,0.5749675824010132,8.153856501914078e-43,1.793848430421097e-42
range_location,dist_high24_atr,2,5.0,3,move_ge_1atr,2228,66504,-0.13034504370196487,0.453770197486535,0.5841152411884999,1.4584793475829562e-34,2.2918961176303594e-34
range_location,dist_high24_atr,3,,3,move_ge_1atr,11452,57280,0.05512424216111156,0.6258295494236814,0.5707053072625698,1.0251010331492854e-27,1.3423942100764451e-27
range_location,dist_high24_atr,3,0.0,3,move_ge_1atr,712,68020,0.19175936357119028,0.7696629213483146,0.5779035577771243,6.16093381763394e-25,7.059403332705556e-25
