run_stage;symbol;asset_class;commission_rule;swap_mode;day_key;broker_day_start;side;signal_time;entry_time;exit_time;entry;entry_breakout_level;entry_channel_opposite;n20_entry;initial_stop;exit_channel_level;exit;initial_risk_price;risk_money_1lot_usd;gross_r;commission_usd_1lot;commission_r;net_r;net_r_commission_x1_5;exit_reason;trade_id;mfe_r;mae_r;mfe_time;mae_time;time_to_mfe_minutes;time_to_mae_minutes;max_retracement_from_mfe_r;reached_0_5r;first_touch_0_5r_time;time_to_0_5r_minutes;mae_before_0_5r;reached_1r;first_touch_1r_time;time_to_1r_minutes;mae_before_1r;reached_2r;first_touch_2r_time;time_to_2r_minutes;mae_before_2r;reached_3r;first_touch_3r_time;time_to_3r_minutes;mae_before_3r;reached_5r;first_touch_5r_time;time_to_5r_minutes;mae_before_5r;min_r_after_first_1r_before_exit;max_r_after_first_1r_before_exit;min_r_after_first_2r_before_exit;max_r_after_first_2r_before_exit;min_r_after_first_3r_before_exit;max_r_after_first_3r_before_exit;path_ambiguous;path_ambiguity_reason
RUN;XAUUSD;METAL;0.0016PCT_NOTIONAL_PER_SIDE;EXCLUDED_REQUIRE_SEPARATE_STRESS;20230828;2023.08.28 00:00;SHORT;2023.08.08 15:11;2023.08.08 15:11;2023.08.28 18:37;1924.29;1924.30;1987.41;18.82;1961.92;1923.30;1923.31;37.63;3763.10000000;0.02604236;6.15616000;0.00163593;0.02440643;0.02358847;DONCHIAN_EXIT;XAUUSD_20230808_SHORT;1.04621190;0.21631102;2023.08.21 05:03:14;2023.08.09 09:07:16;18111.639350;1075.660117;1.02309266;1;2023.08.14 16:30:03;8718.446067;0.21631102;1;2023.08.17 20:02:38;13251.031733;0.21631102;0;;;;0;;;;0;;;;0.02311924;1.04621190;;;;;0;
RUN;XAUUSD;METAL;0.0016PCT_NOTIONAL_PER_SIDE;EXCLUDED_REQUIRE_SEPARATE_STRESS;20230906;2023.09.06 00:00;LONG;2023.09.01 15:30;2023.09.01 15:30;2023.09.06 17:36;1948.99;1948.99;1884.79;15.68;1917.62;1897.27;1917.61;31.37;3136.80000000;-1.00038256;6.18656000;0.00197225;-1.00235481;-1.00334093;STOP;XAUUSD_20230901_LONG;0.12464932;1.00038256;2023.09.01 15:32:15;2023.09.06 17:36:20;1.983850;7326.060967;1.12503188;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;0;
RUN;XAUUSD;METAL;0.0016PCT_NOTIONAL_PER_SIDE;EXCLUDED_REQUIRE_SEPARATE_STRESS;20231012;2023.10.12 00:00;SHORT;2023.09.26 18:08;2023.09.26 18:08;2023.10.12 08:27;1900.91;1900.93;1952.90;13.68;1928.27;1879.77;1879.77;27.36;2736.20000000;0.77260434;6.04908800;0.00221076;0.77039358;0.76928820;DONCHIAN_EXIT;XAUUSD_20230926_SHORT;3.30202471;0.15240114;2023.10.06 15:47:15;2023.09.26 18:41:14;14259.165400;33.154517;2.52942036;1;2023.09.27 16:40:39;1352.554833;0.15240114;1;2023.09.27 20:29:16;1581.184533;0.15240114;1;2023.10.02 01:46:13;7658.121200;0.15240114;1;2023.10.03 05:18:34;9310.477567;0.15240114;0;;;;0.76529493;3.30202471;0.77260434;3.30202471;0.77260434;3.30202471;0;
RUN;XAUUSD;METAL;0.0016PCT_NOTIONAL_PER_SIDE;EXCLUDED_REQUIRE_SEPARATE_STRESS;20231030;2023.10.30 00:00;LONG;2023.10.18 14:33;2023.10.18 14:33;2023.10.30 23:59;1947.37;1947.37;1810.36;22.06;1903.26;1907.61;1995.88;44.11;4411.30000000;1.09967583;6.30920000;0.00143024;1.09824560;1.09753048;TEST_END;XAUUSD_20231018_LONG;1.40389454;0.20787523;2023.10.27 22:13:14;2023.10.18 18:10:41;13419.828883;217.268100;0.98791739;1;2023.10.19 20:22:00;1788.585833;0.20787523;1;2023.10.20 18:02:40;3089.253050;0.20787523;0;;;;0;;;;0;;;;0.13941469;1.40389454;;;;;0;

