run_stage,symbol,asset_class,day_key,side,entry_time,exit_time,duration_minutes,entry,initial_stop,exit,exit_reason,gross_r,commission_r,net_r,net_r_commission_x1_5
RUN,GBPUSD,FOREX,20240102,LONG,2024.01.02 00:00,2024.01.02 03:37,217.000000,1.27326,1.27164,1.27162,STOP,-1.01234568,0.06172840,-1.07407407,-1.10493827
RUN,EURUSD,FOREX,20240102,SHORT,2024.01.02 00:03,2024.01.02 23:59,1436.000000,1.10411,1.10451,1.09419,EOD,24.80000000,0.25000000,24.55000000,24.42500000
RUN,USDJPY,FOREX,20240102,LONG,2024.01.02 00:33,2024.01.02 23:59,1406.000000,140.964,140.799,142.024,EOD,6.36871747,0.08533151,6.28338595,6.24072020
RUN,ETHUSD,CRYPTO,20240108,SHORT,2024.01.08 00:28,2024.01.08 16:41,973.000000,2206.03,2276.22,2276.23,STOP,-1.00014247,0.02554358,-1.02568605,-1.03845784
RUN,EURUSD,FOREX,20240111,LONG,2024.01.11 00:00,2024.01.11 23:59,1439.000000,1.09728,1.09227,1.09716,EOD,-0.02395210,0.01996008,-0.04391218,-0.05389222
RUN,GBPUSD,FOREX,20240111,LONG,2024.01.11 00:27,2024.01.11 23:59,1412.000000,1.27433,1.26852,1.27565,EOD,0.22719449,0.01721170,0.20998279,0.20137694
RUN,GBPUSD,FOREX,20240116,SHORT,2024.01.16 01:13,2024.01.16 23:59,1366.000000,1.27121,1.27646,1.26399,EOD,1.37523810,0.01904762,1.35619048,1.34666667
RUN,EURUSD,FOREX,20240116,SHORT,2024.01.16 01:40,2024.01.16 23:59,1339.000000,1.09332,1.09673,1.08781,EOD,1.61583578,0.02932551,1.58651026,1.57184751
RUN,USDJPY,FOREX,20240116,LONG,2024.01.16 02:05,2024.01.16 23:59,1314.000000,145.935,144.924,147.092,EOD,1.12753544,0.01433466,1.11320079,1.10603346
RUN,XAUUSD,METAL,20240116,SHORT,2024.01.16 10:34,2024.01.16 23:59,805.000000,2045.76,2058.58,2028.50,EOD,1.34633385,0.00508488,1.34124897,1.33870653
RUN,BTCUSD,CRYPTO,20240116,LONG,2024.01.16 17:01,2024.01.16 23:59,418.000000,43335.63,41689.29,43202.53,EOD,-0.08084600,0.02102559,-0.10187158,-0.11238438
RUN,BTCUSD,CRYPTO,20240118,SHORT,2024.01.18 17:38,2024.01.18 23:59,381.000000,42182.00,43280.46,41330.10,EOD,0.77554030,0.03041061,0.74512969,0.72992439
RUN,USDJPY,FOREX,20240119,LONG,2024.01.19 02:26,2024.01.19 22:59,1233.000000,148.294,147.645,148.049,EOD,-0.37648156,0.02274951,-0.39923107,-0.41060582
RUN,EURUSD,FOREX,20240122,LONG,2024.01.22 00:00,2024.01.22 23:59,1439.000000,1.08975,1.08654,1.08817,EOD,-0.49221184,0.03115265,-0.52336449,-0.53894081
RUN,EURUSD,FOREX,20240123,SHORT,2024.01.23 00:00,2024.01.23 07:48,468.000000,1.08794,1.09093,1.09130,STOP,-1.12374582,0.03344482,-1.15719064,-1.17391304
RUN,GBPUSD,FOREX,20240123,LONG,2024.01.23 05:56,2024.01.23 15:30,574.000000,1.27321,1.26859,1.26858,STOP,-1.00216450,0.02164502,-1.02380952,-1.03463203
RUN,ETHUSD,CRYPTO,20240125,SHORT,2024.01.25 16:26,2024.01.25 23:59,453.000000,2195.70,2264.33,2221.72,EOD,-0.37913449,0.02574629,-0.40488078,-0.41775393
RUN,BTCUSD,CRYPTO,20240126,LONG,2024.01.26 10:44,2024.01.26 22:54,730.000000,40285.43,39533.47,41979.80,EOD,2.25327145,0.04376043,2.20951102,2.18763081
RUN,XAUUSD,METAL,20240129,LONG,2024.01.29 01:27,2024.01.29 23:59,1352.000000,2026.90,2015.87,2032.71,EOD,0.52674524,0.00588883,0.52085641,0.51791200
RUN,ETHUSD,CRYPTO,20240205,SHORT,2024.02.05 01:40,2024.02.05 09:55,495.000000,2281.92,2324.74,2324.86,STOP,-1.00280243,0.04303391,-1.04583634,-1.06735329
RUN,USDJPY,FOREX,20240206,SHORT,2024.02.06 16:12,2024.02.06 23:59,467.000000,148.257,148.885,147.910,EOD,0.55618777,0.02370792,0.53247985,0.52062589
RUN,EURUSD,FOREX,20240207,LONG,2024.02.07 01:53,2024.02.07 23:59,1326.000000,1.07626,1.07223,1.07715,EOD,0.22084367,0.02481390,0.19602978,0.18362283
RUN,XAUUSD,METAL,20240207,LONG,2024.02.07 16:43,2024.02.07 23:59,436.000000,2038.88,2022.85,2034.92,EOD,-0.24703681,0.00406618,-0.25110298,-0.25313607
