candidate_id,feature,tail,side,horizon,outcome_kind,expected_sign,discovery_eligible,discovery_worst_abs_effect,btcusdt_threshold,btcusdt_annual_n,btcusdt_annual_effect,btcusdt_h1_n,btcusdt_h1_effect,btcusdt_h2_n,btcusdt_h2_effect,ethusdt_threshold,ethusdt_annual_n,ethusdt_annual_effect,ethusdt_h1_n,ethusdt_h1_effect,ethusdt_h2_n,ethusdt_h2_effect,btcusdt_2025_n,btcusdt_2025_effect,btcusdt_2025_q1_n,btcusdt_2025_q1_effect,btcusdt_2025_q2_n,btcusdt_2025_q2_effect,btcusdt_2025_q3_n,btcusdt_2025_q3_effect,btcusdt_2025_q4_n,btcusdt_2025_q4_effect,btcusdt_block_p,ethusdt_2025_n,ethusdt_2025_effect,ethusdt_2025_q1_n,ethusdt_2025_q1_effect,ethusdt_2025_q2_n,ethusdt_2025_q2_effect,ethusdt_2025_q3_n,ethusdt_2025_q3_effect,ethusdt_2025_q4_n,ethusdt_2025_q4_effect,ethusdt_block_p,confirm_same_sign_both,confirm_worst_abs_effect,confirm_retains_effect,quarter_eligible,quarter_match,quarter_match_rate,quarter_stable,worst_symbol_p,worst_symbol_bh_q,phase_hb_screen_pass
atr_slope_3bar_pct|HIGH_2P|1h|excursion_bias_atr,atr_slope_3bar_pct,HIGH_2P,HIGH,1h,excursion_bias_atr,-1,True,0.15673766909183814,27.102616653059993,2108,-0.15673766909183814,1102,-0.21963059753137365,1006,-0.08650424776790888,25.971407122739965,2108,-0.2503923463073387,1050,-0.3221945277862406,1058,-0.17918158264953044,1953,-0.029166119311436204,460,-0.13060333287527187,501,0.0622943720063525,481,0.3475818893735185,511,-0.38469225768757953,0.4161946017994002,2014,-0.1737960312795861,466,-0.14945009759669348,555,-0.20402897129950442,421,-0.07631830947471281,572,-0.2305271820199464,0.04765078307230923,True,0.029166119311436204,False,8,6,0.75,True,0.4161946017994002,0.979740987238488,False
atr_slope_3bar_pct|HIGH_2P|2h|excursion_bias_atr,atr_slope_3bar_pct,HIGH_2P,HIGH,2h,excursion_bias_atr,-1,True,0.22741947130182974,27.102616653059993,2108,-0.22741947130182974,1102,-0.24439270127951915,1006,-0.20889404004586737,25.971407122739965,2108,-0.33340051801227133,1050,-0.3780325144696065,1058,-0.28924434116724684,1953,-0.02197057910510527,460,-0.06848023293134495,501,0.3684604458434978,481,0.222605406194139,511,-0.5973541627796253,0.4728423858713762,2014,-0.21237534624921206,466,-0.054809438628405927,555,-0.04797771565640371,421,-0.2950590165670871,572,-0.42177827973083626,0.11262912362545818,True,0.02197057910510527,False,8,6,0.75,True,0.4728423858713762,0.979740987238488,False
atr_slope_3bar_pct|HIGH_2P|4h|excursion_bias_atr,atr_slope_3bar_pct,HIGH_2P,HIGH,4h,excursion_bias_atr,-1,True,0.23923284139096543,27.102616653059993,2108,-0.23923284139096543,1102,-0.014643599415023217,1006,-0.4879425171260137,25.971407122739965,2108,-0.3524064437794017,1050,-0.272403254482065,1058,-0.43207419928339863,1953,-0.0002487073912320753,460,-0.3816655397809408,501,0.6065307547539414,481,0.1230801155758482,511,-0.37921190802549465,0.4815061646117961,2014,-0.44263908055188794,466,-0.18447555526839066,555,-0.6834627611422075,421,-0.2885151744089796,572,-0.49660517636404794,0.021992669110296566,True,0.0002487073912320753,False,8,6,0.75,True,0.4815061646117961,0.979740987238488,False
mark_index_bps_change_15m|HIGH_1P|1h|up_first_touch,mark_index_bps_change_15m,HIGH_1P,HIGH,1h,up_first_touch,-1,True,0.0216674957085507,2.974359710633312,1009,-0.0216674957085507,607,-0.031612145327374774,402,-0.0060280219684825664,2.8884264455159023,994,-0.02351837334040452,764,-0.013496723356062668,230,-0.056394271556581665,207,-0.09138971902404086,101,-0.1093010355246446,37,-0.09852052920141513,17,-0.26021810767018044,52,0.006109624112649814,0.008330556481172943,837,0.008306013823004998,223,-0.034721322405429356,120,0.011017501335731206,154,0.04205160655276663,340,0.024320448963350227,0.6717760746417861,False,0.008306013823004998,True,6,2,0.3333333333333333,False,0.6717760746417861,0.979740987238488,False
mark_index_bps_change_15m|HIGH_1P|2h|excursion_bias_atr,mark_index_bps_change_15m,HIGH_1P,HIGH,2h,excursion_bias_atr,-1,True,0.28995553135891117,2.974359710633312,1054,-0.28995553135891117,640,-0.43591848692269114,414,-0.06466641795484387,2.8884264455159023,1054,-0.3720795510552609,810,-0.41149762410637036,244,-0.34440924807878015,221,-0.08641542504198443,106,-0.36201040240268356,40,0.7618456717198058,18,-1.0444364262798744,57,0.3555330917942127,0.3818727090969677,881,-0.17133887139087484,236,-0.48771884260191467,125,0.10250354388244513,159,0.006720888515249213,361,-0.030982085482431976,0.1879373542152616,False,0.08641542504198443,True,6,3,0.5,False,0.3818727090969677,0.979740987238488,False
mark_index_bps_change_15m|HIGH_1P|2h|return_atr,mark_index_bps_change_15m,HIGH_1P,HIGH,2h,return_atr,-1,True,0.20129403751088598,2.974359710633312,1054,-0.20129403751088598,640,-0.24214451168635337,414,-0.15355798222647848,2.8884264455159023,1054,-0.26395383219016366,810,-0.29984148264834914,244,-0.2806472588300843,221,0.028472401688209675,106,-0.16728421674856325,40,0.9447479299987633,18,-0.21230018590537353,57,0.019890968812585334,0.5411529490169943,881,-0.03443385525615403,236,-0.19137107044268512,125,0.15054893724742857,159,0.05195400004004469,361,0.06090789134748973,0.3948683772075975,False,0.028472401688209675,False,6,2,0.3333333333333333,False,0.5411529490169943,0.979740987238488,False
mark_index_bps_change_15m|HIGH_1P|2h|up_first_touch,mark_index_bps_change_15m,HIGH_1P,HIGH,2h,up_first_touch,-1,True,0.02376442995927497,2.974359710633312,1032,-0.025058295285646903,628,-0.035470793652310706,404,-0.008140393209080499,2.8884264455159023,1031,-0.02376442995927497,793,-0.01637786173686462,238,-0.04708588479563952,212,-0.0912342114505098,103,-0.10737498792445538,38,-0.10890519743688043,18,-0.21709431036893007,53,-0.00282921903068184,0.00866377874041986,856,0.006956498377824805,230,-0.026900330506917702,121,0.01459543220906856,156,0.03401624970773909,349,0.018650805244368407,0.6384538487170943,False,0.006956498377824805,True,6,3,0.5,False,0.6384538487170943,0.979740987238488,False
mark_index_bps_change_15m|HIGH_1P|30m|up_first_touch,mark_index_bps_change_15m,HIGH_1P,HIGH,30m,up_first_touch,-1,True,0.026030642991813957,2.974359710633312,924,-0.03798264191522621,554,-0.05307709754852857,370,-0.014965245635593316,2.8884264455159023,898,-0.026030642991813957,692,-0.01857108450316547,206,-0.04830132883453875,180,-0.09201343050233801,84,-0.10180616849308277,33,-0.11065288073871771,16,-0.24353840938943266,47,-0.008140666316057588,0.013662112629123625,749,0.00550153464707176,197,-0.03571192678020074,103,6.78399012254971e-06,147,0.028774166758265274,302,0.02605713328500503,0.6291236254581806,False,0.00550153464707176,False,5,2,0.4,False,0.6291236254581806,0.979740987238488,False
mark_index_bps_change_15m|HIGH_1P|4h|excursion_bias_atr,mark_index_bps_change_15m,HIGH_1P,HIGH,4h,excursion_bias_atr,-1,True,0.34132639147512284,2.974359710633312,1054,-0.5011020934208765,640,-0.3592868424295345,414,-0.7344832088642788,2.8884264455159023,1054,-0.34132639147512284,810,-0.4930854388370754,244,-0.07220386116088251,221,-0.28671915266727555,106,-0.5304099043934938,40,0.7468854629468843,18,-1.2304129140496365,57,0.19375241897833867,0.2642452515828057,881,-0.11554128589170845,236,-0.17207379411385015,125,0.10696101920794886,159,-0.022488425594729716,361,0.018098748204085136,0.3462179273575475,False,0.11554128589170845,True,6,3,0.5,False,0.3462179273575475,0.979740987238488,False
mark_index_bps_change_15m|HIGH_1P|4h|up_first_touch,mark_index_bps_change_15m,HIGH_1P,HIGH,4h,up_first_touch,-1,True,0.025816494822227976,2.974359710633312,1038,-0.0258545262634563,629,-0.034543610284481774,409,-0.01174626760726033,2.8884264455159023,1037,-0.025816494822227976,797,-0.018858214949583896,240,-0.047154887902583376,215,-0.09687886546040331,104,-0.11111608608698248,38,-0.10909464928832147,18,-0.21708093194878175,55,-0.020426538317912135,0.006331222925691436,865,0.001697180687590616,230,-0.0269646075838485,121,0.014601945489281842,156,0.033811346759758054,358,0.005966391282241301,0.5634788403865378,False,0.001697180687590616,False,6,3,0.5,False,0.5634788403865378,0.979740987238488,False
