cell,year,profile,signals_total,ignored_overlap_signals,excluded_boundary_signals,missing_reference_trades,executable_trades,gross,spread,slippage,commission,net,trades,expectancy,expectancy_bps,PF,win_rate,max_drawdown_realized,best_trade,worst_trade,ex_best_positive_net,capital_initial,capital_ending,capital_return_pct,capital_max_dd_pct,capital_trades
FN_SIGNAL__FN_EXECUTION,2024,E1,95,0,0,0,95,526.3500000000031,45.496743,45.496743,3.18477127311,432.1717427268931,95,4.549176239230454,18.46163296743887,5.160009247007076,0.7368421052631579,16.12334034989405,30.89244410465964,-13.07452669696789,401.27929862223345,10000.0,11909.84198074384,19.098419807438404,0.6964246733935671,95
FN_SIGNAL__FN_EXECUTION,2024,STRESS,95,0,0,0,95,526.3500000000031,113.74185750000001,90.993486,6.369540703995,315.24511579600806,95,3.3183696399579796,13.315823255912083,3.292694196033043,0.6526315789473685,18.635457180039197,29.641517320969637,-14.259615436355892,285.60359847503844,10000.0,11342.505795726853,13.425057957268539,0.7986823760488725,95
FN_SIGNAL__FN_EXECUTION,2025,E1,107,0,0,0,107,1366.8599999999988,73.46185200000001,73.46185200000001,5.142327726396,1214.7939682736028,107,11.353214656762644,32.32297499280568,5.04177244510274,0.7383177570093458,62.37273994175962,76.38643170947982,-50.01544763819404,1138.407536564123,10000.0,14100.690227923611,41.006902279236115,1.950754225212761,107
FN_SIGNAL__FN_EXECUTION,2025,STRESS,107,0,0,0,107,1366.8599999999988,183.65463,146.92370400000001,10.284650668782001,1025.9970153312167,107,9.588757152628194,27.17360224675579,3.9022479541960466,0.7102803738317757,67.30507908791964,74.13480369265983,-51.63622094687304,951.8622116385569,10000.0,13346.951813187265,33.46951813187265,2.1023993650318147,107
FN_SIGNAL__DUKA_EXECUTION,2024,E1,95,0,0,0,95,560.2629999999983,45.4911377,45.4911377,3.1843788546318,466.09634574536653,95,4.906277323635437,20.04373024804823,5.81781833589717,0.7578947368421053,14.702996727905514,28.29197835102018,-12.134292785651835,437.80436739434634,10000.0,12089.831357996069,20.898313579960682,0.6354516762999854,95
FN_SIGNAL__DUKA_EXECUTION,2024,STRESS,95,0,0,0,95,560.2629999999983,113.72784425,90.9822754,6.3687557483431005,349.18412460165524,95,3.6756223642279497,14.89751386109136,3.709659177449813,0.6631578947368421,17.972511543868364,27.040473304590183,-13.319091110433837,322.14365129706505,10000.0,11513.96554320791,15.139655432079113,0.7377564321193012,95
FN_SIGNAL__DUKA_EXECUTION,2025,E1,107,0,0,0,107,1311.0629999999987,73.4623291,73.4623291,5.1423612015118,1158.995980598487,107,10.831738136434458,30.7548304081265,5.324586341366578,0.7289719626168224,78.42572076422988,62.34379657982386,-49.675230287717895,1096.652184018663,10000.0,13871.081921612096,38.71081921612096,2.4375773111945187,107
FN_SIGNAL__DUKA_EXECUTION,2025,STRESS,107,0,0,0,107,1311.0629999999987,183.65582275,146.9246582,10.2847178143031,970.1978012356956,107,9.067269170427062,25.605860750989812,4.014382606053044,0.7009345794392523,83.36176078903486,60.08889688420785,-51.29573374473089,910.1089043514877,10000.0,13129.562760697741,31.295627606977416,2.588594272403559,107
DUKA_SIGNAL__FN_EXECUTION,2024,E1,563,400,0,0,163,105.12999999999806,78.542941,78.542941,5.498005722818,-57.453887722819964,163,-0.35247783879030653,-1.1934972144451053,0.9136354341209066,0.5153374233128835,120.35370809548165,21.808827941766054,-48.37524568616422,-79.26271566458601,10000.0,9791.705383559587,-2.0829461644041314,4.391241251386968,163
DUKA_SIGNAL__FN_EXECUTION,2024,STRESS,563,400,0,0,163,105.12999999999806,196.35735250000002,157.085882,10.996011077681,-259.30924557768293,163,-1.590854267347748,-6.334254608002534,0.6625107039162719,0.4723926380368098,268.9338624656941,20.71481246294705,-49.75987453773822,-280.02405804063,10000.0,9004.360120744264,-9.956398792557353,10.351496346321976,163
DUKA_SIGNAL__FN_EXECUTION,2025,E1,732,564,0,0,168,488.67999999999665,115.482032,115.482032,8.083741555848,249.63219444414864,168,1.4859059193104085,4.219902092512456,1.2121553685004711,0.5595238095238095,240.1748049698583,63.67554598115413,-117.90952588270827,185.9566484629945,10000.0,10698.15687559752,6.981568755975198,5.794808554472073,168
DUKA_SIGNAL__FN_EXECUTION,2025,STRESS,732,564,0,0,168,488.67999999999665,288.70508,230.964064,16.167481401316,-47.15662540131937,168,-0.28069419881737717,-0.9222468061808217,0.9640971296736252,0.5178571428571429,287.6448868948054,61.89460569019313,-120.00715017218626,-109.0512310915125,10000.0,9812.880518763735,-1.871194812362642,7.927919697543735,168
DUKA_SIGNAL__DUKA_EXECUTION,2024,E1,563,400,0,0,163,103.81000000000518,78.5394706,78.5394706,5.497762796666,-58.76670399666082,163,-0.36053192635988235,-1.2272509304586163,0.9116804325469001,0.5214723926380368,120.71493969499014,21.825850090790137,-48.28817592704243,-80.59255408745096,10000.0,9786.33791782953,-2.1366208217046934,4.404765234806042,163
DUKA_SIGNAL__DUKA_EXECUTION,2024,STRESS,563,400,0,0,163,103.81000000000518,196.3486765,157.0789412,10.995525229997,-260.61314292999185,163,-1.598853637607312,-6.367999647680436,0.6610377318081075,0.4723926380368098,270.24107394602174,20.731862111054436,-49.672718169190134,-281.3450050410463,10000.0,8999.42298500068,-10.005770149993209,10.401774378045715,163
DUKA_SIGNAL__DUKA_EXECUTION,2025,E1,732,564,0,0,168,502.33900000000085,115.4731215,115.4731215,8.0831178017254,263.3096391982754,168,1.5673192809421157,4.452425614129257,1.2255883090962865,0.5654761904761905,239.99799891161194,63.76568260128027,-118.30923815326835,199.54395659699514,10000.0,10740.163912484702,7.401639124847015,5.791391145643053,168
DUKA_SIGNAL__DUKA_EXECUTION,2025,STRESS,732,564,0,0,168,502.33900000000085,288.68280375,230.946243,16.1662338452643,-33.45628059526344,168,-0.1991445273527586,-0.6897830543419692,0.9743386565889952,0.5178571428571429,277.32920882996166,61.98491193076027,-120.40650521470634,-95.44119252602371,10000.0,9851.421419688608,-1.485785803113926,7.654182921979573,168
