year,cell,signal_time,entry_time,exit_time,entry_open,exit_open,direction,profiles
2024,DUKA_SIGNAL__FN_EXECUTION,2024-06-21T03:00:00+00:00,2024-06-21T03:05:00+00:00,2024-06-21T11:05:00+00:00,2361.21,2363.66,1,"{'E1': {'gross': 2.449999999999818, 'spread': 0.472487, 'slippage': 0.472487, 'commission': 0.03307408657, 'net': 1.4719519134298178, 'entry_model': 2361.682242, 'exit_model': 2363.187268}, 'STRESS': {'gross': 2.449999999999818, 'spread': 1.1812175, 'slippage': 0.944974, 'commission': 0.066148164565, 'net': 0.2576603354348181, 'entry_model': 2362.2725445, 'exit_model': 2362.596353}}"
2024,DUKA_SIGNAL__FN_EXECUTION,2024-06-24T04:25:00+00:00,2024-06-24T04:30:00+00:00,2024-06-24T12:30:00+00:00,2324.48,2327.35,1,"{'E1': {'gross': 2.869999999999891, 'spread': 0.465183, 'slippage': 0.465183, 'commission': 0.032562805982, 'net': 1.9070711940178906, 'entry_model': 2324.944896, 'exit_model': 2326.88453}, 'STRESS': {'gross': 2.869999999999891, 'spread': 1.1629575, 'slippage': 0.930366, 'commission': 0.065125601919, 'net': 0.7115508980808908, 'entry_model': 2325.5260160000003, 'exit_model': 2326.3026925}}"
2024,DUKA_SIGNAL__FN_EXECUTION,2024-06-27T07:05:00+00:00,2024-06-27T07:10:00+00:00,2024-06-27T15:10:00+00:00,2300.78,2319.94,1,"{'E1': {'gross': 19.159999999999854, 'spread': 0.46207200000000004, 'slippage': 0.46207200000000004, 'commission': 0.032345013176000005, 'net': 18.203510986823858, 'entry_model': 2301.2401560000003, 'exit_model': 2319.476012}, 'STRESS': {'gross': 19.159999999999854, 'spread': 1.15518, 'slippage': 0.9241440000000001, 'commission': 0.064689959292, 'net': 17.015986040707855, 'entry_model': 2301.815351, 'exit_model': 2318.8960270000002}}"
2024,DUKA_SIGNAL__FN_EXECUTION,2024-07-02T03:00:00+00:00,2024-07-02T03:05:00+00:00,2024-07-02T11:05:00+00:00,2333.45,2330.5,1,"{'E1': {'gross': -2.949999999999818, 'spread': 0.466395, 'slippage': 0.466395, 'commission': 0.032647654129999995, 'net': -3.9154376541298177, 'entry_model': 2333.9166899999996, 'exit_model': 2330.0339}, 'STRESS': {'gross': -2.949999999999818, 'spread': 1.1659875, 'slippage': 0.93279, 'commission': 0.065295318585, 'net': -5.114072818584818, 'entry_model': 2334.5000525, 'exit_model': 2329.451275}}"
2024,DUKA_SIGNAL__FN_EXECUTION,2024-07-03T03:10:00+00:00,2024-07-03T03:15:00+00:00,2024-07-03T11:15:00+00:00,2331.55,2347.08,1,"{'E1': {'gross': 15.529999999999745, 'spread': 0.46786300000000003, 'slippage': 0.46786300000000003, 'commission': 0.032750388258, 'net': 14.561523611741746, 'entry_model': 2332.01631, 'exit_model': 2346.610584}, 'STRESS': {'gross': 15.529999999999745, 'spread': 1.1696575, 'slippage': 0.9357260000000001, 'commission': 0.065500722161, 'net': 13.359115777838745, 'entry_model': 2332.5991975, 'exit_model': 2346.023814}}"
2024,DUKA_SIGNAL__FN_EXECUTION,2024-07-04T04:25:00+00:00,2024-07-04T04:30:00+00:00,2024-07-04T12:30:00+00:00,2361.51,2357.16,1,"{'E1': {'gross': -4.350000000000364, 'spread': 0.47186700000000004, 'slippage': 0.47186700000000004, 'commission': 0.03303069609, 'net': -5.326764696090363, 'entry_model': 2361.9823020000003, 'exit_model': 2356.688568}, 'STRESS': {'gross': -4.350000000000364, 'spread': 1.1796675, 'slippage': 0.9437340000000001, 'commission': 0.06606140740500001, 'net': -6.539462907405364, 'entry_model': 2362.5726795000005, 'exit_model': 2356.099278}}"
2024,DUKA_SIGNAL__FN_EXECUTION,2024-07-05T03:30:00+00:00,2024-07-05T03:35:00+00:00,2024-07-05T11:35:00+00:00,2358.35,2366.32,1,"{'E1': {'gross': 7.970000000000255, 'spread': 0.472467, 'slippage': 0.472467, 'commission': 0.033072678842000006, 'net': 6.991993321158255, 'entry_model': 2358.82167, 'exit_model': 2365.8467360000004}, 'STRESS': {'gross': 7.970000000000255, 'spread': 1.1811675000000001, 'slippage': 0.944934, 'commission': 0.066145329789, 'net': 5.777753170211255, 'entry_model': 2359.4112575, 'exit_model': 2365.255156}}"
2024,DUKA_SIGNAL__FN_EXECUTION,2024-07-09T03:00:00+00:00,2024-07-09T03:05:00+00:00,2024-07-09T11:05:00+00:00,2362.43,2359.49,1,"{'E1': {'gross': -2.9400000000000546, 'spread': 0.47219200000000006, 'slippage': 0.47219200000000006, 'commission': 0.033053444116, 'net': -3.917437444116055, 'entry_model': 2362.902486, 'exit_model': 2359.018102}, 'STRESS': {'gross': -2.9400000000000546, 'spread': 1.18048, 'slippage': 0.9443840000000001, 'commission': 0.066106898522, 'net': -5.1309708985220555, 'entry_model': 2363.4930934999998, 'exit_model': 2358.4282295}}"
2024,DUKA_SIGNAL__FN_EXECUTION,2024-07-10T02:30:00+00:00,2024-07-10T02:35:00+00:00,2024-07-10T10:35:00+00:00,2365.93,2374.25,1,"{'E1': {'gross': 8.320000000000164, 'spread': 0.47401800000000005, 'slippage': 0.47401800000000005, 'commission': 0.033181248352, 'net': 7.338782751648163, 'entry_model': 2366.403186, 'exit_model': 2373.77515}, 'STRESS': {'gross': 8.320000000000164, 'spread': 1.1850450000000001, 'slippage': 0.9480360000000001, 'commission': 0.06636246758400001, 'net': 6.120556532416163, 'entry_model': 2366.9946685, 'exit_model': 2373.1815875}}"
2024,DUKA_SIGNAL__FN_EXECUTION,2024-07-11T05:40:00+00:00,2024-07-11T05:45:00+00:00,2024-07-11T13:45:00+00:00,2377.23,2380.71,1,"{'E1': {'gross': 3.480000000000018, 'spread': 0.47579400000000005, 'slippage': 0.47579400000000005, 'commission': 0.033305575127999996, 'net': 2.4951064248720183, 'entry_model': 2377.705446, 'exit_model': 2380.233858}, 'STRESS': {'gross': 3.480000000000018, 'spread': 1.1894850000000001, 'slippage': 0.9515880000000001, 'commission': 0.066611138076, 'net': 1.2723158619240178, 'entry_model': 2378.2997535, 'exit_model': 2379.6386805}}"
2024,DUKA_SIGNAL__FN_EXECUTION,2024-07-15T07:10:00+00:00,2024-07-15T07:15:00+00:00,2024-07-15T15:15:00+00:00,2412.58,2419.99,1,"{'E1': {'gross': 7.4099999999998545, 'spread': 0.483257, 'slippage': 0.483257, 'commission': 0.033827979626, 'net': 6.409658020373854, 'entry_model': 2413.062516, 'exit_model': 2419.5060019999996}, 'STRESS': {'gross': 7.4099999999998545, 'spread': 1.2081425, 'slippage': 0.966514, 'commission': 0.06765593331700001, 'net': 5.167687566682854, 'entry_model': 2413.665661, 'exit_model': 2418.9010045}}"
2024,DUKA_SIGNAL__FN_EXECUTION,2024-07-16T04:50:00+00:00,2024-07-16T04:55:00+00:00,2024-07-16T12:55:00+00:00,2427.13,2442.47,1,"{'E1': {'gross': 15.33999999999969, 'spread': 0.48696000000000006, 'slippage': 0.48696000000000006, 'commission': 0.034087178524, 'net': 14.33199282147569, 'entry_model': 2427.615426, 'exit_model': 2441.9815059999996}, 'STRESS': {'gross': 15.33999999999969, 'spread': 1.2174, 'slippage': 0.9739200000000001, 'commission': 0.06817430335800001, 'net': 13.08050569664169, 'entry_model': 2428.2222085000003, 'exit_model': 2441.3708885}}"
2024,DUKA_SIGNAL__FN_EXECUTION,2024-07-17T03:40:00+00:00,2024-07-17T03:45:00+00:00,2024-07-17T11:45:00+00:00,2472.63,2473.63,1,"{'E1': {'gross': 1.0, 'spread': 0.49462600000000007, 'slippage': 0.49462600000000007, 'commission': 0.034623818599999995, 'net': -0.02387581860000007, 'entry_model': 2473.124526, 'exit_model': 2473.135274}, 'STRESS': {'gross': 1.0, 'spread': 1.2365650000000001, 'slippage': 0.9892520000000001, 'commission': 0.0692476337, 'net': -1.2950646337000002, 'entry_model': 2473.7426835, 'exit_model': 2472.5168665}}"
2024,DUKA_SIGNAL__FN_EXECUTION,2024-07-18T04:10:00+00:00,2024-07-18T04:15:00+00:00,2024-07-18T12:15:00+00:00,2462.67,2466.46,1,"{'E1': {'gross': 3.7899999999999636, 'spread': 0.49291300000000005, 'slippage': 0.49291300000000005, 'commission': 0.034503904694, 'net': 2.769670095305963, 'entry_model': 2463.162534, 'exit_model': 2465.966708}, 'STRESS': {'gross': 3.7899999999999636, 'spread': 1.2322825, 'slippage': 0.9858260000000001, 'commission': 0.06900779612300001, 'net': 1.5028837038769634, 'entry_model': 2463.7782015000003, 'exit_model': 2465.350093}}"
2024,DUKA_SIGNAL__FN_EXECUTION,2024-07-22T03:00:00+00:00,2024-07-22T03:05:00+00:00,2024-07-22T11:05:00+00:00,2409.87,2403.97,1,"{'E1': {'gross': -5.900000000000091, 'spread': 0.48138400000000003, 'slippage': 0.48138400000000003, 'commission': 0.033696888259999995, 'net': -6.896464888260091, 'entry_model': 2410.3519739999997, 'exit_model': 2403.4892059999997}, 'STRESS': {'gross': -5.900000000000091, 'spread': 1.20346, 'slippage': 0.9627680000000001, 'commission': 0.06739379717, 'net': -8.133621797170091, 'entry_model': 2410.9544415, 'exit_model': 2402.8882135}}"
2024,DUKA_SIGNAL__FN_EXECUTION,2024-07-23T04:20:00+00:00,2024-07-23T04:25:00+00:00,2024-07-23T12:25:00+00:00,2402.82,2405.99,1,"{'E1': {'gross': 3.169999999999618, 'spread': 0.48088099999999995, 'slippage': 0.48088099999999995, 'commission': 0.033661665561999995, 'net': 2.1745763344376177, 'entry_model': 2403.300564, 'exit_model': 2405.508802}, 'STRESS': {'gross': 3.169999999999618, 'spread': 1.2022024999999998, 'slippage': 0.9617619999999999, 'commission': 0.067323320029, 'net': 0.9387121799706184, 'entry_model': 2403.9012690000004, 'exit_model': 2404.9073045}}"
