family,feature,quintile,hour_block,horizon_bars,outcome,n_state,n_comp,effect,state_mean,comp_mean,p,q
extension_reversion,ret3_atr,1,,3,move_ge_1atr,12364,56368,0.1575206598630453,0.7090747330960854,0.5515540732330401,1.3605744665548034e-226,1.0748538285782947e-225
extension_reversion,ret3_atr,1,0.0,3,move_ge_1atr,1105,67627,0.19703334105691672,0.7737556561085973,0.5767223150516806,1.4372899562054767e-39,2.7694123546398208e-39
extension_reversion,ret3_atr,1,1.0,3,move_ge_1atr,2444,66288,0.1225019732374486,0.6980360065466449,0.5755340333091963,1.9458507387085057e-33,3.341787138216781e-33
extension_reversion,ret3_atr,1,2.0,3,move_ge_1atr,2897,65835,0.19246093812160348,0.76423886779427,0.5717779296726665,9.355349534494479e-94,4.619203832656649e-93
extension_reversion,ret3_atr,1,3.0,3,move_ge_1atr,2516,66216,0.22030482500495085,0.7921303656597775,0.5718255406548266,5.0060449494420666e-107,3.0421350077378713e-106
extension_reversion,ret3_atr,1,4.0,3,move_ge_1atr,1633,67099,0.08157037009968915,0.6595223515003061,0.577951981400617,4.15146212500972e-11,5.124461060558873e-11
extension_reversion,ret3_atr,1,5.0,3,move_ge_1atr,1769,66963,-0.06024207980602536,0.5211984171848502,0.5814404969908755,4.0421819774810037e-07,4.6280054524782507e-07
extension_reversion,ret3_atr,2,,3,move_ge_1atr,12448,56284,0.05489050069067658,0.6248393316195373,0.5699488309288607,2.968459795032922e-29,4.3427467371777937e-29
extension_reversion,ret3_atr,2,0.0,3,move_ge_1atr,1239,67493,0.06371209248770693,0.642453591606134,0.5787414991184271,6.7160859792908915e-06,7.268093046081923e-06
extension_reversion,ret3_atr,2,2.0,3,move_ge_1atr,2297,66435,0.15718725531605438,0.7318241184153244,0.57463686309927,6.715815100957833e-51,1.8294806654333408e-50
extension_reversion,ret3_atr,2,3.0,3,move_ge_1atr,2203,66529,0.154991539599177,0.7299137539718565,0.5749222143726795,1.200396253324378e-47,2.8736758791704803e-47
extension_reversion,ret3_atr,2,5.0,3,move_ge_1atr,2439,66293,-0.1047213234113244,0.4788847888478885,0.5836061122592129,7.768400404319301e-25,1.058109710243491e-24
extension_reversion,ret3_atr,3,0.0,3,move_ge_1atr,1305,67427,0.054087124846868506,0.6329501915708812,0.5788630667240127,8.823045441713481e-05,9.052215453186557e-05
extension_reversion,ret3_atr,3,2.0,3,move_ge_1atr,2144,66588,0.15921838142142064,0.7341417910447762,0.5749234096233555,6.2791952004207695e-49,1.6535214027774694e-48
extension_reversion,ret3_atr,3,3.0,3,move_ge_1atr,2171,66561,0.1270241222711097,0.7029018885306311,0.5758777662595214,3.890259488030424e-32,6.272051011314357e-32
extension_reversion,ret3_atr,3,5.0,3,move_ge_1atr,2428,66304,-0.13917207963877037,0.4456342668863262,0.5848063465250966,2.1261173994085554e-42,4.665646515368775e-42
extension_reversion,ret3_atr,4,0.0,3,move_ge_1atr,1145,67587,0.060417796942036084,0.6393013100436681,0.578883513101632,4.001640414908694e-05,4.215061237037158e-05
extension_reversion,ret3_atr,4,2.0,3,move_ge_1atr,2255,66477,0.15467467250313838,0.729490022172949,0.5748153496698106,1.67838545887848e-48,4.2771758468193524e-48
extension_reversion,ret3_atr,4,3.0,3,move_ge_1atr,2258,66474,0.10101949727715753,0.6775907883082374,0.5765712910310798,1.1281721254674765e-21,1.4854266318655108e-21
extension_reversion,ret3_atr,4,5.0,3,move_ge_1atr,2472,66260,-0.13448411523887943,0.45024271844660196,0.5847268336854814,2.28127843541159e-40,4.50552490993789e-40
extension_reversion,ret3_atr,5,,3,move_ge_1atr,19103,49629,-0.19716649315126,0.4375229021619641,0.6346893953132241,0.0,0.0
extension_reversion,ret3_atr,5,0.0,3,move_ge_1atr,4530,64202,-0.41142102331128855,0.1955849889624724,0.6070060122737609,0.0,0.0
extension_reversion,ret3_atr,5,1.0,3,move_ge_1atr,2578,66154,0.05885757596944563,0.6365399534522886,0.577682377482843,2.8498334737919533e-09,3.4111643095388534e-09
extension_reversion,ret3_atr,5,2.0,3,move_ge_1atr,2839,65893,0.1835933464708951,0.7558999647763297,0.5723066183054346,6.930280875475507e-84,2.737460945812825e-83
extension_reversion,ret3_atr,5,3.0,3,move_ge_1atr,2821,65911,0.0854387441593748,0.6618220489188231,0.5763833047594483,2.190402932019615e-19,2.8367513381893374e-19
extension_reversion,ret3_atr,5,4.0,3,move_ge_1atr,4138,64594,-0.36503766029800766,0.23682938617689706,0.6018670464749047,0.0,0.0
extension_reversion,ret3_atr,5,5.0,3,move_ge_1atr,2197,66535,-0.20501400370419792,0.38142922166590804,0.586443225370106,8.73558222894031e-82,3.136868164028566e-81
extension_reversion,ret12_atr,1,,3,move_ge_1atr,12366,56366,0.141510506449527,0.6959404819666828,0.5544299755171558,2.676859749720056e-183,1.9224720020716766e-182
extension_reversion,ret12_atr,1,0.0,3,move_ge_1atr,1038,67694,0.17712014503893836,0.7543352601156069,0.5772151150766686,1.7860378972049134e-30,2.7666077231213364e-30
extension_reversion,ret12_atr,1,1.0,3,move_ge_1atr,2501,66231,0.09655420644926183,0.6729308276689324,0.5763766212196706,7.73519876963524e-22,1.0357300047477695e-21
extension_reversion,ret12_atr,1,2.0,3,move_ge_1atr,2836,65896,0.20096932671442092,0.7725669957686883,0.5715976690542673,4.898273398137823e-100,2.7640257032349146e-99
extension_reversion,ret12_atr,1,3.0,3,move_ge_1atr,2372,66360,0.21461607034856123,0.7870994940978078,0.5724834237492465,3.631684319757125e-96,1.9126870750720858e-95
extension_reversion,ret12_atr,1,4.0,3,move_ge_1atr,1798,66934,0.05046232350211133,0.6290322580645161,0.5785699345624048,1.884892061764611e-05,2.012249633505463e-05
extension_reversion,ret12_atr,1,5.0,3,move_ge_1atr,1821,66911,-0.059218425754617665,0.5222405271828665,0.5814589529374842,4.3818243372555334e-07,4.945201752045531e-07
