family,feature,quintile,hour_block,horizon_bars,outcome,n_state,n_comp,effect,state_mean,comp_mean,p,q,confirmation_n_state,confirmation_n_comp,confirmation_effect,confirmation_p,direction,confirmation_q,quarters_same_sign,quarter_details,abs_confirmation_effect
abnormal_activity,gap_atr,5,5.0,3,move_ge_1atr,2769,65963,-0.1948169483612422,0.392921632358252,0.5877385807194943,4.9158571173047646e-92,1.7772714193332608e-91,2969,65543,-0.1494387634122134,3.999081951180797e-58,-1,8.797980292597754e-58,4,"{""1"": {""effect"": -0.19940721081421064, ""n_state"": 739, ""ok"": true}, ""2"": {""effect"": -0.10738774151515373, ""n_state"": 877, ""ok"": true}, ""3"": {""effect"": -0.13279853570446842, ""n_state"": 877, ""ok"": true}, ""4"": {""effect"": -0.14964692444089162, ""n_state"": 476, ""ok"": true}}",0.1494387634122134
abnormal_activity,tickvol_z48,1,5.0,3,move_ge_1atr,4377,64355,-0.1457150298669419,0.4434544208361892,0.5891694507031311,1.1517202370308863e-79,3.1841677141442153e-79,3119,65393,-0.0837947427408919,2.798513697783868e-20,-1,4.2460207828444905e-20,4,"{""1"": {""effect"": -0.057348995249180246, ""n_state"": 610, ""ok"": true}, ""2"": {""effect"": -0.062300002116597586, ""n_state"": 871, ""ok"": true}, ""3"": {""effect"": -0.08471950332792666, ""n_state"": 760, ""ok"": true}, ""4"": {""effect"": -0.11253576212796967, ""n_state"": 878, ""ok"": true}}",0.0837947427408919
abnormal_activity,tickvol_z48,1,,3,move_ge_1atr,9167,59565,-0.0860800547249622,0.5052907167012108,0.5913707714261731,1.7325837520085575e-54,3.2572574537760884e-54,7309,61203,-0.053730975958752,1.925204769959913e-18,-1,2.823633662607872e-18,4,"{""1"": {""effect"": -0.04000528476365972, ""n_state"": 1524, ""ok"": true}, ""2"": {""effect"": -0.04029593678411281, ""n_state"": 1909, ""ok"": true}, ""3"": {""effect"": -0.06412731187049969, ""n_state"": 1864, ""ok"": true}, ""4"": {""effect"": -0.05128184277791892, ""n_state"": 2012, ""ok"": true}}",0.053730975958752
abnormal_activity,tickvol_z48,1,4.0,3,move_ge_1atr,1172,67560,-0.1029770023662445,0.4786689419795222,0.5816459443457668,1.4277359623268386e-12,1.6775897557340354e-12,774,67738,-0.1380009297107116,1.3196132766221106e-14,-1,1.7594843688294812e-14,4,"{""1"": {""effect"": -0.14074899200226787, ""n_state"": 190, ""ok"": true}, ""2"": {""effect"": -0.09098696658585592, ""n_state"": 187, ""ok"": true}, ""3"": {""effect"": -0.17633158149763312, ""n_state"": 220, ""ok"": true}, ""4"": {""effect"": -0.13198719006026727, ""n_state"": 177, ""ok"": true}}",0.1380009297107116
abnormal_activity,gap_atr,2,5.0,3,move_ge_1atr,4167,64565,-0.1260488631985101,0.4614830813534917,0.5875319445520019,1.826378058850904e-57,4.087608036475832e-57,3254,65258,-0.0683858912389785,1.5531876743922722e-14,-1,2.010007578625293e-14,4,"{""1"": {""effect"": -0.05719184442409997, ""n_state"": 835, ""ok"": true}, ""2"": {""effect"": -0.05444986378652017, ""n_state"": 704, ""ok"": true}, ""3"": {""effect"": -0.07179883865328185, ""n_state"": 680, ""ok"": true}, ""4"": {""effect"": -0.07701667392267275, ""n_state"": 1035, ""ok"": true}}",0.0683858912389785
abnormal_activity,gap_atr,4,5.0,3,move_ge_1atr,2119,66613,-0.1167601197869429,0.4667295894289759,0.5834897092159188,8.176486470889147e-27,1.2396608520380317e-26,2745,65767,-0.0662315433108597,6.841527348698368e-12,-1,8.600777238363662e-12,4,"{""1"": {""effect"": -0.055071704564605195, ""n_state"": 580, ""ok"": true}, ""2"": {""effect"": -0.07888768664120238, ""n_state"": 608, ""ok"": true}, ""3"": {""effect"": -0.09469624842775798, ""n_state"": 626, ""ok"": true}, ""4"": {""effect"": -0.039825734201505814, ""n_state"": 931, ""ok"": true}}",0.0662315433108597
abnormal_activity,tickvol_z48,2,1.0,3,move_ge_1atr,2599,66133,-0.0556375699750453,0.5263562908811081,0.5819938608561535,1.7305686865640946e-08,1.848562006102556e-08,2822,65690,-0.0580817121071752,1.0813385894953735e-09,-1,1.3216360538276786e-09,4,"{""1"": {""effect"": -0.014666789619190657, ""n_state"": 652, ""ok"": true}, ""2"": {""effect"": -0.0905735156683603, ""n_state"": 719, ""ok"": true}, ""3"": {""effect"": -0.08745951134754815, ""n_state"": 704, ""ok"": true}, ""4"": {""effect"": -0.03018969307960584, ""n_state"": 747, ""ok"": true}}",0.0580817121071752
abnormal_activity,tickvol_z48,1,1.0,3,move_ge_1atr,1699,67033,-0.0598871443911293,0.5214832254267217,0.581370369817851,7.851602852929936e-07,8.200562979726822e-07,1564,66948,-0.0701950301696152,3.0631728141012866e-08,-1,3.455887277447604e-08,4,"{""1"": {""effect"": -0.06539976403720726, ""n_state"": 317, ""ok"": true}, ""2"": {""effect"": -0.0873080626257241, ""n_state"": 423, ""ok"": true}, ""3"": {""effect"": -0.07859242084527146, ""n_state"": 438, ""ok"": true}, ""4"": {""effect"": -0.04099870416885265, ""n_state"": 386, ""ok"": true}}",0.0701950301696152
abnormal_activity,gap_atr,1,5.0,3,move_ge_1atr,2247,66485,-0.0828200973152508,0.4997774810858923,0.5825975784011431,5.1638428100696606e-15,6.386858212454581e-15,2166,66346,-0.0440600173259972,4.658077448539022e-05,-1,4.766404831063185e-05,3,"{""1"": {""effect"": -0.04408939416497726, ""n_state"": 545, ""ok"": true}, ""2"": {""effect"": 0.008037480310544742, ""n_state"": 623, ""ok"": false}, ""3"": {""effect"": -0.09923869552792736, ""n_state"": 730, ""ok"": true}, ""4"": {""effect"": -0.007000342056204034, ""n_state"": 268, ""ok"": true}}",0.0440600173259972
abnormal_activity,tickvol_z48,4,,3,move_ge_1atr,9412,59320,0.1618924235255548,0.7196132596685083,0.5577208361429534,4.600297686551272e-192,3.0887713038272824e-191,9241,59271,0.1491465898189606,1.61443220363061e-159,1,1.183916949329114e-158,4,"{""1"": {""effect"": 0.15614022704422637, ""n_state"": 2423, ""ok"": true}, ""2"": {""effect"": 0.11779816844662372, ""n_state"": 2118, ""ok"": true}, ""3"": {""effect"": 0.14564000879434602, ""n_state"": 2270, ""ok"": true}, ""4"": {""effect"": 0.11348225169302684, ""n_state"": 2430, ""ok"": true}}",0.1491465898189606
