family,feature,quintile,hour_block,horizon_bars,outcome,n_state,n_comp,effect,state_mean,comp_mean,p,q,confirmation_n_state,confirmation_n_comp,confirmation_effect,confirmation_p,direction,confirmation_q,quarters_same_sign,quarter_details,abs_confirmation_effect
abnormal_activity,gap_atr,5,0.0,6,move_ge_1atr,5013,62123,-0.5175567332542877,0.2978256533014163,0.815382386555704,0.0,0.0,4734,62197,-0.5436211143682027,0.0,-1,0.0,4,"{""1"": {""effect"": -0.5216329544614967, ""n_state"": 1146, ""ok"": true}, ""2"": {""effect"": -0.5108376094854472, ""n_state"": 1189, ""ok"": true}, ""3"": {""effect"": -0.43451538063316114, ""n_state"": 1357, ""ok"": true}, ""4"": {""effect"": -0.6138220625749075, ""n_state"": 1042, ""ok"": true}}",0.5436211143682027
range_location,dist_high24_atr,5,0.0,24,move_ge_1atr,6424,51665,-0.4715687018305375,0.4740037359900373,0.9455724378205748,0.0,0.0,6371,51640,-0.4773989657823301,0.0,-1,0.0,4,"{""1"": {""effect"": -0.43777934131141244, ""n_state"": 1572, ""ok"": true}, ""2"": {""effect"": -0.43539466034222846, ""n_state"": 1581, ""ok"": true}, ""3"": {""effect"": -0.4303824860683115, ""n_state"": 1645, ""ok"": true}, ""4"": {""effect"": -0.444628333468541, ""n_state"": 1573, ""ok"": true}}",0.4773989657823301
range_location,dist_high24_atr,5,0.0,12,move_ge_1atr,6429,57536,-0.4592790321672289,0.45870275314979,0.9179817853170188,0.0,0.0,6383,57421,-0.4634514413515837,0.0,-1,0.0,4,"{""1"": {""effect"": -0.4257838680966274, ""n_state"": 1572, ""ok"": true}, ""2"": {""effect"": -0.43564969127232617, ""n_state"": 1581, ""ok"": true}, ""3"": {""effect"": -0.4215345184726042, ""n_state"": 1645, ""ok"": true}, ""4"": {""effect"": -0.42842579606998243, ""n_state"": 1585, ""ok"": true}}",0.4634514413515837
range_location,dist_high24_atr,5,0.0,6,move_ge_1atr,6429,60707,-0.4189734374906759,0.3978845854720796,0.8168580229627556,0.0,0.0,6388,60543,-0.4212936636650585,0.0,-1,0.0,4,"{""1"": {""effect"": -0.37775457974583676, ""n_state"": 1572, ""ok"": true}, ""2"": {""effect"": -0.40540048307004517, ""n_state"": 1581, ""ok"": true}, ""3"": {""effect"": -0.37329270033456724, ""n_state"": 1645, ""ok"": true}, ""4"": {""effect"": -0.405683699612069, ""n_state"": 1590, ""ok"": true}}",0.4212936636650585
extension_reversion,body_atr,5,0.0,3,move_ge_1atr,4547,64185,-0.4094869715162311,0.1974928524301737,0.6069798239464049,0.0,0.0,4456,64056,-0.4138323536026265,0.0,-1,0.0,4,"{""1"": {""effect"": -0.37615437818346653, ""n_state"": 1094, ""ok"": true}, ""2"": {""effect"": -0.4118951471895205, ""n_state"": 1073, ""ok"": true}, ""3"": {""effect"": -0.3780627275005518, ""n_state"": 1149, ""ok"": true}, ""4"": {""effect"": -0.4076683426192984, ""n_state"": 1140, ""ok"": true}}",0.4138323536026265
wick_rejection,lower_wick_atr,5,0.0,3,move_ge_1atr,4551,64181,-0.4035802482919079,0.2030323005932762,0.6066125488851841,0.0,0.0,4537,63975,-0.404338818776586,0.0,-1,0.0,4,"{""1"": {""effect"": -0.358931513931375, ""n_state"": 1128, ""ok"": true}, ""2"": {""effect"": -0.382011453433439, ""n_state"": 1126, ""ok"": true}, ""3"": {""effect"": -0.38948413486094224, ""n_state"": 1159, ""ok"": true}, ""4"": {""effect"": -0.4051721934504955, ""n_state"": 1124, ""ok"": true}}",0.404338818776586
abnormal_activity,gap_atr,5,4.0,3,move_ge_1atr,3758,64974,-0.4028756465127501,0.1990420436402341,0.6019176901529842,0.0,0.0,3748,64764,-0.3903218562139118,0.0,-1,0.0,4,"{""1"": {""effect"": -0.4225418824455559, ""n_state"": 934, ""ok"": true}, ""2"": {""effect"": -0.3468642548747958, ""n_state"": 1044, ""ok"": true}, ""3"": {""effect"": -0.3580633719687739, ""n_state"": 1060, ""ok"": true}, ""4"": {""effect"": -0.37478374272062276, ""n_state"": 710, ""ok"": true}}",0.3903218562139118
compression_expansion,compression6_atr,5,0.0,3,move_ge_1atr,4492,64240,-0.3974981813524306,0.2083704363312555,0.6058686176836862,0.0,0.0,4630,63882,-0.3747191281333165,0.0,-1,0.0,4,"{""1"": {""effect"": -0.2897817952167908, ""n_state"": 1244, ""ok"": true}, ""2"": {""effect"": -0.37563164112166064, ""n_state"": 1106, ""ok"": true}, ""3"": {""effect"": -0.3816229037543887, ""n_state"": 1139, ""ok"": true}, ""4"": {""effect"": -0.3810841353302187, ""n_state"": 1141, ""ok"": true}}",0.3747191281333165
range_location,dist_high24_atr,5,0.0,3,move_ge_1atr,6429,62303,-0.323820597908025,0.2863586871986312,0.6101792851066562,0.0,0.0,6388,62124,-0.3242041579877795,0.0,-1,0.0,4,"{""1"": {""effect"": -0.2655147483105527, ""n_state"": 1572, ""ok"": true}, ""2"": {""effect"": -0.3256114931242595, ""n_state"": 1581, ""ok"": true}, ""3"": {""effect"": -0.29721495416910476, ""n_state"": 1645, ""ok"": true}, ""4"": {""effect"": -0.31550602701088787, ""n_state"": 1590, ""ok"": true}}",0.3242041579877795
abnormal_activity,gap_atr,2,,24,move_ge_1atr,21193,36896,0.1598470867972614,0.994951163119898,0.8351040763226366,0.0,0.0,16829,41182,0.1395857670556661,0.0,1,0.0,4,"{""1"": {""effect"": 0.10641916251959094, ""n_state"": 4215, ""ok"": true}, ""2"": {""effect"": 0.10601215473973558, ""n_state"": 3872, ""ok"": true}, ""3"": {""effect"": 0.10368640461861467, ""n_state"": 3413, ""ok"": true}, ""4"": {""effect"": 0.11065468356188113, ""n_state"": 5329, ""ok"": true}}",0.1395857670556661
