hypothesis,outcome,side,expected_sign,btcusdt_2024_n,btcusdt_2024_effect,btcusdt_2024_h1_n,btcusdt_2024_h1_effect,btcusdt_2024_h2_n,btcusdt_2024_h2_effect,ethusdt_2024_n,ethusdt_2024_effect,ethusdt_2024_h1_n,ethusdt_2024_h1_effect,ethusdt_2024_h2_n,ethusdt_2024_h2_effect,discovery_eligible,discovery_worst_abs_effect,btcusdt_2025_n,btcusdt_2025_effect,btcusdt_block_p,btcusdt_2025_q1_n,btcusdt_2025_q1_effect,btcusdt_2025_q2_n,btcusdt_2025_q2_effect,btcusdt_2025_q3_n,btcusdt_2025_q3_effect,btcusdt_2025_q4_n,btcusdt_2025_q4_effect,ethusdt_2025_n,ethusdt_2025_effect,ethusdt_2025_q1_n,ethusdt_2025_q1_effect,ethusdt_2025_q2_n,ethusdt_2025_q2_effect,ethusdt_2025_q3_n,ethusdt_2025_q3_effect,ethusdt_2025_q4_n,ethusdt_2025_q4_effect,confirm_same_sign_both,confirm_worst_abs_effect,confirm_retains_effect,quarter_eligible,quarter_match,quarter_match_rate,quarter_stable,worst_symbol_p,worst_symbol_bh_q,phase_g_screen_pass,ethusdt_block_p
direction_1h_atr|LOW,direction_1h_atr,LOW,-1,10892,-0.10930779684782005,5447,-0.1168938035435015,5445,-0.10188077439663418,10989,-0.10967309402735516,5720,-0.09355770194181445,5269,-0.12984164297673995,True,0.10930779684782005,8370,-0.015527305351556202,0.40253248917027656,2051,-0.06183060685213247,2456,0.003506374399196474,1954,-0.019009221822507277,1909,-0.0018006960895918314,12971,0.007554401197191935,2778,0.02163423337033643,3752,-0.011595326082880816,3534,0.020765482490259585,2907,-0.03229544910089145,False,,False,8,5,0.625,False,1.0,1.0,False,
direction_1h_atr|HIGH,direction_1h_atr,HIGH,1,18797,0.09642101717933174,8602,0.11987070240958837,10195,0.07867662332061715,18567,0.0953207172171622,8711,0.11312044455473971,9856,0.08249231006005628,True,0.0953207172171622,20454,0.041674563829891854,0.13195601466177942,5177,0.06402762553927956,4592,0.03812629530981139,4632,-0.017532719312901082,6053,0.08883968073086615,15961,0.027768013003445318,4094,0.0039054684880419632,3458,0.10921069349564427,3552,0.028810546298639633,4857,0.012999557533902861,True,0.027768013003445318,True,8,7,0.875,True,0.218593802065978,0.437187604131956,False,0.218593802065978
up_first_1atr_1h|LOW,up_first_1atr_1h,LOW,-1,11258,-0.018260379945679972,6218,-0.01951144178454356,5040,-0.016422811953126726,12844,-0.022853071545736126,7248,-0.02193812044123078,5596,-0.023977723169945897,True,0.018260379945679972,7492,-0.02281415629819611,0.0023325558147284237,1940,-0.03925408237572148,1713,-0.019979641553697358,2099,-0.028146813216238797,1740,-0.00021221496780993165,10563,-0.0006791603003721836,2599,-0.002834273747528815,2685,0.00794487563740709,2929,0.00018190234096615576,2350,-0.010310339522256795,True,0.0006791603003721836,False,8,6,0.75,True,0.437187604131956,0.5829168055092747,False,0.437187604131956
up_first_1atr_1h|HIGH,up_first_1atr_1h,HIGH,1,14103,0.02179398142255834,6254,0.02427485470265539,7849,0.01958950990771091,15698,0.02068357878976368,7123,0.01837554647553513,8575,0.022569539868834365,True,0.02068357878976368,17159,0.014614566553899755,0.0006664445184938354,4090,0.011161817606634317,4915,0.0030933939791407683,3561,0.037764944017217306,4593,0.011008383093707996,17726,0.0077712574202507545,4410,0.013270908866750641,4485,-0.014233334784670204,3916,0.008854466614053647,4915,0.022755611431185707,True,0.0077712574202507545,True,8,7,0.875,True,0.06297900699766744,0.25191602799066976,False,0.06297900699766744
