candidate_id,dataset,feature,operator,quantile,cutpoint,horizon_bars,direction,hour_start,hour_width,status,fail_reasons,signals_total,ignored_overlap_signals,executable_trades,2024_E1_trades,2024_E1_gross,2024_E1_net,2024_E1_expectancy,2024_E1_expectancy_bps,2024_E1_PF,2024_E1_win_rate,2024_E1_max_drawdown_realized,2024_E1_ex_best_positive_net,2024_STRESS_trades,2024_STRESS_gross,2024_STRESS_net,2024_STRESS_expectancy,2024_STRESS_expectancy_bps,2024_STRESS_PF,2024_STRESS_win_rate,2024_STRESS_max_drawdown_realized,2024_STRESS_ex_best_positive_net,2025_E1_trades,2025_E1_gross,2025_E1_net,2025_E1_expectancy,2025_E1_expectancy_bps,2025_E1_PF,2025_E1_win_rate,2025_E1_max_drawdown_realized,2025_E1_ex_best_positive_net,2025_STRESS_trades,2025_STRESS_gross,2025_STRESS_net,2025_STRESS_expectancy,2025_STRESS_expectancy_bps,2025_STRESS_PF,2025_STRESS_win_rate,2025_STRESS_max_drawdown_realized,2025_STRESS_ex_best_positive_net,2025_H1_E1_trades,2025_H1_E1_gross,2025_H1_E1_net,2025_H1_E1_expectancy,2025_H1_E1_expectancy_bps,2025_H1_E1_PF,2025_H1_E1_win_rate,2025_H1_E1_max_drawdown_realized,2025_H1_E1_ex_best_positive_net,2025_H1_STRESS_trades,2025_H1_STRESS_gross,2025_H1_STRESS_net,2025_H1_STRESS_expectancy,2025_H1_STRESS_expectancy_bps,2025_H1_STRESS_PF,2025_H1_STRESS_win_rate,2025_H1_STRESS_max_drawdown_realized,2025_H1_STRESS_ex_best_positive_net,2025_H2_E1_trades,2025_H2_E1_gross,2025_H2_E1_net,2025_H2_E1_expectancy,2025_H2_E1_expectancy_bps,2025_H2_E1_PF,2025_H2_E1_win_rate,2025_H2_E1_max_drawdown_realized,2025_H2_E1_ex_best_positive_net,2025_H2_STRESS_trades,2025_H2_STRESS_gross,2025_H2_STRESS_net,2025_H2_STRESS_expectancy,2025_H2_STRESS_expectancy_bps,2025_H2_STRESS_PF,2025_H2_STRESS_win_rate,2025_H2_STRESS_max_drawdown_realized,2025_H2_STRESS_ex_best_positive_net
R5E-001,xauusd_m1_2024_2025_news_clean.csv,sma5,lt,0.05,-1.2297444717301456,1,1,,,FAIL,E1_NET_NONPOSITIVE_2024;E1_NET_NONPOSITIVE_2025;E1_NET_NONPOSITIVE_2025_H1;E1_NET_NONPOSITIVE_2025_H2;STRESS_NET_NONPOSITIVE_2024;STRESS_NET_NONPOSITIVE_2025;STRESS_2025_EX_BEST_NONPOSITIVE,33830,21,33809,17606,337.9300000000021,-17085.195959936897,-0.9704189458103428,-4.05760974449848,0.03703495340377397,0.05691241622174259,17085.195959936893,-17105.391157976508,17606,337.9300000000021,-38716.80645019104,-2.1990688657384436,-9.197630922774307,0.003892614044765509,0.007724639327501988,38716.806450191136,-38735.81621784429,16203,1398.9499999999894,-21691.27291431148,-1.3387195528180882,-3.8936892857355603,0.09619002981175236,0.11670678269456274,21691.27291431152,-21712.206311293165,16203,1398.9499999999894,-50358.844354226625,-3.107995084504513,-9.033752599488063,0.012000573824082397,0.022588409553786336,50358.84435422655,-50377.722629563206,8021,572.8099999999959,-9666.98800366807,-1.2052098246687533,-3.9122214535716338,0.09013022555173102,0.11532227901757885,9666.98800366807,-9687.418096298421,8021,572.8099999999959,-22380.167165831303,-2.790196629576275,-9.052280003661739,0.010438562736515056,0.02094501932427378,22380.16716583127,-22399.045441167887,8182,826.1399999999935,-12024.284910643411,-1.4696021645860928,-3.8755217816762655,0.1010036212034091,0.11806404302126619,12024.284910643373,-12045.218307625093,8182,826.1399999999935,-27978.677188395326,-3.419540111023628,-9.015589765354957,0.013246482417866745,0.024199462234172575,27978.677188395228,-27997.504174937894
R5E-002,xauusd_m1_2024_2025_raw.csv,sma5,lt,0.05,-1.2275741429312652,1,1,,,FAIL,E1_NET_NONPOSITIVE_2024;E1_NET_NONPOSITIVE_2025;E1_NET_NONPOSITIVE_2025_H1;E1_NET_NONPOSITIVE_2025_H2;STRESS_NET_NONPOSITIVE_2024;STRESS_NET_NONPOSITIVE_2025;STRESS_2025_EX_BEST_NONPOSITIVE,34179,13,34166,17788,352.4799999999982,-17250.78652380653,-0.9697991074773179,-4.054804911647686,0.03672899690262421,0.05706093995952327,17250.78652380655,-17266.898090550472,17788,352.4799999999982,-39106.04979137938,-2.1984511913300753,-9.19482681090105,0.003555575224259024,0.007645603777827749,39106.0497913795,-39120.93417292711,16378,1447.6799999999835,-21892.321519753266,-1.3366907754153905,-3.8871085641322463,0.09550948811655059,0.11661985590426181,21892.321519753317,-21913.25491673495,16378,1447.6799999999835,-50870.00456143964,-3.105996126599074,-9.027173569448108,0.011730121851623717,0.02259128098668946,50870.004561439615,-50888.88283677622,8108,616.3599999999942,-9734.883270117101,-1.2006516120026025,-3.897526712296313,0.09103370787642187,0.11605821410952145,9734.883270117101,-9755.313362747453,8108,616.3599999999942,-22586.426845076938,-2.7856964535122026,-9.037589039644807,0.010525163039508878,0.02133695115934879,22586.426845076912,-22605.305120413523,8270,831.3199999999892,-12157.438249636163,-1.4700650845992942,-3.8768944957750215,0.0990617475731106,0.11717049576783554,12157.438249636118,-12178.371646617845,8270,831.3199999999892,-28283.577716362695,-3.420021489282067,-9.016962126599877,0.012690260730266002,0.023821039903264812,28283.577716362615,-28302.404702905264
R5E-003,xauusd_m1_2024_2025_raw.csv,ret1,lt,0.1,-0.8588557391454485,3,1,,,FAIL,E1_NET_NONPOSITIVE_2024;E1_NET_NONPOSITIVE_2025;E1_NET_NONPOSITIVE_2025_H1;E1_NET_NONPOSITIVE_2025_H2;STRESS_NET_NONPOSITIVE_2024;STRESS_NET_NONPOSITIVE_2025;STRESS_2025_EX_BEST_NONPOSITIVE,68287,12047,56238,29220,600.5899999999983,-28275.118155849177,-0.9676631812405605,-4.051248110618337,0.0817850244661755,0.11290212183436003,28275.11815584913,-28293.849180256784,29220,600.5899999999983,-64125.635043096285,-2.194580254726088,-9.19127092414139,0.009983463911879134,0.020088980150581793,64125.63504309615,-64143.13820898052,27018,1710.3499999999985,-36741.747325635515,-1.3598988572668411,-3.948351746115548,0.15426307611574117,0.17432822562735953,36741.74732563553,-36765.31902125088,27018,1710.3499999999985,-84481.7908597848,-3.1268706366046635,-9.088401008975064,0.024607385003230803,0.04367458731216226,84481.79085978551,-84503.26644810394,13308,868.9299999999894,-16110.03909795351,-1.2105529830142403,-3.9277210823485813,0.15764792099546523,0.17921550946798917,16110.039097953582,-16129.799329272922,13308,868.9299999999894,-37190.208458365756,-2.794575327499681,-9.067775648285323,0.024198945085413936,0.04561166215810039,37190.208458365676,-37208.41704457812,13710,841.4200000000092,-20631.708227682004,-1.5048656621212257,-3.9683774845116684,0.15160108482572054,0.16958424507658643,20631.708227681884,-20655.279923297367,13710,841.4200000000092,-47291.582401419044,-3.449422494633045,-9.108421599788999,0.024928342996693095,0.04179431072210066,47291.58240141867,-47313.05798973818
R5E-004,xauusd_m1_2024_2025_raw.csv,body,lt,0.3,-0.31832914321203437,3,1,,,FAIL,E1_NET_NONPOSITIVE_2024;E1_NET_NONPOSITIVE_2025;E1_NET_NONPOSITIVE_2025_H1;E1_NET_NONPOSITIVE_2025_H2;STRESS_NET_NONPOSITIVE_2024;STRESS_NET_NONPOSITIVE_2025;STRESS_2025_EX_BEST_NONPOSITIVE,211007,78918,132088,66621,974.3799999999844,-64858.27776861589,-0.9735410421431063,-4.076946468883764,0.07513576531530933,0.10817910268533945,64858.277768616004,-64876.143241962236,66621,974.3799999999844,-146592.54369082142,-2.200395426229288,-9.216962676687292,0.008353413524185957,0.018552708605394694,146592.54369082162,-146609.22407558,65467,1752.6899999999841,-91585.89337107625,-1.3989627349821474,-4.056594586694037,0.12987674714214162,0.1587059129026838,91586.58647256005,-91614.09901866807,65467,1752.6899999999841,-207470.02827551807,-3.1690779824265367,-9.196616025914459,0.01840395139030471,0.036919363954358686,207470.02827551845,-207496.16755330624,32088,831.4800000000478,-40036.60186509588,-1.2477125986379918,-4.053833136848727,0.1271087741867217,0.15934305659436548,40036.60186509574,-40059.24240022954,32088,831.4800000000478,-90776.20108628162,-2.828976598300973,-9.193855285895161,0.01702163340269679,0.03577661431064572,90776.20108628133,-90797.10412163308,33378,920.9099999999366,-51548.224076400795,-1.5443772567679548,-4.0592740199709265,0.13201682956287866,0.1580981484810354,51548.917177884265,-51576.429723992616,33378,920.9099999999366,-116691.06203307833,-3.4960471578008967,-9.199294770447557,0.019477024429671128,0.0380190544670142,116691.06203307898,-116717.20131086651
R5E-005,xauusd_m1_2024_2025_raw.csv,ret3,lt,0.05,-1.947485662303986,1,1,,,FAIL,E1_NET_NONPOSITIVE_2024;E1_NET_NONPOSITIVE_2025;E1_NET_NONPOSITIVE_2025_H1;E1_NET_NONPOSITIVE_2025_H2;STRESS_NET_NONPOSITIVE_2024;STRESS_NET_NONPOSITIVE_2025;STRESS_2025_EX_BEST_NONPOSITIVE,33784,15,33769,17787,382.74999999999295,-17209.155840054158,-0.9675131185727868,-4.048918743696022,0.036833954975115914,0.05650193961882274,17209.15584005412,-17225.2674067981,17787,382.74999999999295,-39050.314297268684,-2.195441294050075,-9.188942155978904,0.0036345553545864646,0.0075898127846179796,39050.31429726873,-39065.198678816414,15982,1316.020000000019,-21464.575160677556,-1.343046875277034,-3.9072253743461935,0.09485667287482677,0.11462895757727444,21464.575160677563,-21485.50855765924,15982,1316.020000000019,-49747.72953474906,-3.1127349227098646,-9.047285208670012,0.011980021580763146,0.022838192967087972,49747.72953474911,-49766.60781008564,7888,517.8700000000149,-9553.425718844968,-1.2111340921456604,-3.933517216474089,0.09033881095994734,0.11435091277890466,9553.425718844981,-9573.85581147532,7888,517.8700000000149,-22057.401561377406,-2.796323727355148,-9.073570292524357,0.010828689783171754,0.02231237322515213,22057.401561377425,-22076.27983671399,8094,798.1500000000042,-11911.149441832586,-1.4716023525861854,-3.8816026846124605,0.09844795519491809,0.11489992587101557,11911.149441832576,-11932.082838814267,8094,798.1500000000042,-27690.32797337165,-3.421093152133883,-9.021669105205339,0.012895226802919274,0.02335063009636768,27690.327973371608,-27709.15495991422
R5E-006,xauusd_m1_2024_2025_raw.csv,body,lt,0.1,-0.8504524443981683,3,1,,,FAIL,E1_NET_NONPOSITIVE_2024;E1_NET_NONPOSITIVE_2025;E1_NET_NONPOSITIVE_2025_H1;E1_NET_NONPOSITIVE_2025_H2;STRESS_NET_NONPOSITIVE_2024;STRESS_NET_NONPOSITIVE_2025;STRESS_2025_EX_BEST_NONPOSITIVE,68427,12117,56309,29230,602.6099999999908,-28296.199931306357,-0.9680533674754142,-4.051967737791521,0.0824703487277717,0.11382141635306192,28296.19993130632,-28314.930955713964,29230,602.6099999999908,-64175.39873300357,-2.195531944338131,-9.191990366335627,0.010134722589883977,0.020321587410195005,64175.39873300344,-64192.9018988878,27079,1544.0599999999977,-37016.96484309832,-1.3669989601941845,-3.967729251309481,0.15227427957436196,0.17334465822223863,37016.96484309834,-37040.536538713684,27079,1544.0599999999977,-84892.24688979243,-3.134984559614182,-9.10777353321406,0.0240302333956279,0.043096126149414674,84892.2468897932,-84913.72247811157,13317,742.8099999999808,-16249.512663990086,-1.2202082048501979,-3.9586295573596013,0.15232944668520626,0.17706690696102725,16249.512663990126,-16269.2728953095,13317,742.8099999999808,-37346.26108988032,-2.8044049778388764,-9.09867617832512,0.02279242235002051,0.04377862882030487,37346.26108988029,-37364.46967609268,13762,801.2500000000168,-20767.452179108233,-1.5090431753457516,-3.976534702866708,0.15223110900852654,0.16974276994622875,20767.452179108128,-20791.023874723596,13762,801.2500000000168,-47545.98579991211,-3.454874712971378,-9.116576721344858,0.02500030832071797,0.04243569248655719,47545.98579991173,-47567.46138823125
R5E-007,xauusd_m1_2024_2025_raw.csv,ret1,lt,0.05,-1.1350961867817468,3,1,,,FAIL,E1_NET_NONPOSITIVE_2024;E1_NET_NONPOSITIVE_2025;E1_NET_NONPOSITIVE_2025_H1;E1_NET_NONPOSITIVE_2025_H2;STRESS_NET_NONPOSITIVE_2024;STRESS_NET_NONPOSITIVE_2025;STRESS_2025_EX_BEST_NONPOSITIVE,33921,3725,30196,15903,425.8200000000013,-15290.21529828385,-0.9614673519640226,-4.021073011645939,0.09136288012875347,0.11677042067534428,15290.215298283829,-15308.94632269146,15903,425.8200000000013,-34802.39438707734,-2.1884169268111258,-9.161103581627145,0.012824140864804226,0.023517575300257814,34802.394387077235,-34819.89755296157,14293,1477.1299999999997,-18857.95449412202,-1.319383928784861,-3.836829207806926,0.17995026775431747,0.1909326243615756,18857.954494122005,-18881.526189737382,14293,1477.1299999999997,-44104.89514157408,-3.085768917762127,-8.976907137346288,0.0316985453336602,0.05009445182956692,44104.89514157377,-44126.37072989322,7000,632.8199999999911,-8295.639186674061,-1.1850913123820088,-3.8509830341187596,0.17620859777191247,0.19557142857142856,8295.639186674056,-8315.399417993474,7000,632.8199999999911,-19380.731025133242,-2.76867586073332,-8.991057325441007,0.02793553716519903,0.04985714285714286,19380.731025133242,-19398.939611345606,7293,844.3100000000086,-10562.315307447958,-1.448281270731929,-3.823244018696432,0.18286522804528632,0.1864801864801865,10562.315307447989,-10585.887003063322,7293,844.3100000000086,-24724.16411644084,-3.3901225992651636,-8.963325440285677,0.034627976784893634,0.05032222679281503,24724.164116440752,-24745.63970475998
R5E-008,xauusd_m1_2024_2025_raw.csv,body,lt,0.05,-1.1246840800657971,3,1,,,FAIL,E1_NET_NONPOSITIVE_2024;E1_NET_NONPOSITIVE_2025;E1_NET_NONPOSITIVE_2025_H1;E1_NET_NONPOSITIVE_2025_H2;STRESS_NET_NONPOSITIVE_2024;STRESS_NET_NONPOSITIVE_2025;STRESS_2025_EX_BEST_NONPOSITIVE,33927,3718,30208,15903,471.74999999999795,-15254.094508649552,-0.9591960327390777,-4.008552947974361,0.09217313640033771,0.11758787650128906,15254.094508649534,-15272.825533057161,15903,471.74999999999795,-34778.45218214798,-2.186911411818398,-9.14858673621676,0.013124712084029442,0.023328931648116707,34778.45218214792,-34795.955348032214,14305,1418.0100000000039,-18943.077308424785,-1.3242277041890798,-3.847641349851695,0.17778102138967117,0.19279972037749038,18943.077308424774,-18966.649004040148,14305,1418.0100000000039,-44222.301643386534,-3.0913877415859163,-8.987716500148233,0.030325828491289737,0.05005242922055225,44222.30164338632,-44243.77723170567,7009,647.2699999999886,-8296.835747403833,-1.1837402978176392,-3.8468409470455813,0.17661534385136077,0.19888714509915822,8296.835747403817,-8316.595978723246,7009,647.2699999999886,-19401.353509042212,-2.7680629917309476,-8.986916303084305,0.02708028535849269,0.05050649165358825,19401.353509042234,-19419.562095254576,7296,770.7400000000152,-10646.24156102095,-1.4591888104469504,-3.8484102675145313,0.17868717211179963,0.18695175438596492,10646.241561020975,-10669.813256636315,7296,770.7400000000152,-24820.948134344322,-3.401993987711667,-8.988485220162083,0.03284767658491398,0.04961622807017544,24820.948134344235,-24842.42372266346
R5E-009,xauusd_m1_2024_2025_news_clean.csv,ret3,lt,0.05,-1.9514620402302503,1,1,,,FAIL,E1_NET_NONPOSITIVE_2024;E1_NET_NONPOSITIVE_2025;E1_NET_NONPOSITIVE_2025_H1;E1_NET_NONPOSITIVE_2025_H2;STRESS_NET_NONPOSITIVE_2024;STRESS_NET_NONPOSITIVE_2025;STRESS_2025_EX_BEST_NONPOSITIVE,33450,20,33430,17608,373.2299999999907,-17040.65888710749,-0.9677793552423608,-4.049682034652918,0.03806023299368794,0.05662199000454339,17040.65888710744,-17060.8540851471,17608,373.2299999999907,-38660.80112740866,-2.1956384102344764,-9.18970525073315,0.004121828847994014,0.00817810086324398,38660.80112740871,-38679.810895061906,15822,1214.9600000000205,-21335.901017359036,-1.3484958296902436,-3.922281738652405,0.09475906080441263,0.11446087725951207,21335.90101735903,-21356.83441434072,15822,1214.9600000000205,-49333.829909465734,-3.1180527056924365,-9.062337702763246,0.011951814936596104,0.023005941094678295,49333.8299094658,-49352.708184802315,7802,476.80000000001246,-9484.053214212468,-1.21559256783036,-3.9468697548597933,0.09038920382627724,0.11368879774416817,9484.05321421247,-9504.48330684282,7802,476.80000000001246,-21850.909618756148,-2.8006805458544153,-9.086919398662655,0.011066715769216738,0.02230197385285824,21850.909618756177,-21869.787894092733,8020,738.160000000008,-11851.84780314657,-1.4777865091205198,-3.898362075005268,0.09822576953011088,0.11521197007481297,11851.84780314655,-11872.781200128251,8020,738.160000000008,-27482.920290709586,-3.4267980412356094,-9.038424187625191,0.012654403011749981,0.02369077306733167,27482.92029070952,-27501.747277252154
R5E-010,xauusd_m1_2024_2025_raw.csv,ret1,lt,0.3,-0.32149726575184057,3,1,,,FAIL,E1_NET_NONPOSITIVE_2024;E1_NET_NONPOSITIVE_2025;E1_NET_NONPOSITIVE_2025_H1;E1_NET_NONPOSITIVE_2025_H2;STRESS_NET_NONPOSITIVE_2024;STRESS_NET_NONPOSITIVE_2025;STRESS_2025_EX_BEST_NONPOSITIVE,211036,78776,132258,66697,983.6799999999716,-64918.40983694288,-0.9733332809113285,-4.076709589321061,0.07488543418348509,0.1078759164580116,64918.409836943174,-64936.27531028923,66697,983.6799999999716,-146738.87885844285,-2.2000821455004402,-9.216725858014078,0.00834469488200906,0.018366643177354303,146738.87885844332,-146755.55924320142,65561,1801.1599999999971,-91647.11182023838,-1.3978906944713836,-4.054430224503411,0.13061264089260977,0.15887494089473925,91647.80492172239,-91675.3174678302,65561,1801.1599999999971,-207667.4299681727,-3.167545186439693,-9.194452220069474,0.018743150713509998,0.037186742118027485,207667.42996817327,-207693.56924596088,32178,888.0400000000541,-40092.72853743669,-1.2459670749405398,-4.048347866586347,0.12845604609636083,0.1593946174404873,40092.728537436626,-40115.36907257035,32178,888.0400000000541,-90972.2334337653,-2.8271562382300113,-9.188371425612226,0.01757842535529341,0.03629809186400646,90972.23343376536,-90993.13646911675,33382,912.8199999999433,-51553.31585322211,-1.5443447322875237,-4.060317848671312,0.1322847914498958,0.15837876700017975,51554.00895470541,-51581.521500813935,33382,912.8199999999433,-116692.4313782493,-3.495669264221715,-9.20033833083354,0.019649679809629533,0.03804445509556048,116692.43137824995,-116718.57065603748
