interval_id,target_symbol,currency,research_profile,mask_start_server_epoch,mask_end_server_epoch,source_event_ids
183,XAUUSD,USD,PHASE_IF_USD_HIGH_IMPACT_PM5,1785776100,1785776700,283015;283021
184,XAUUSD,USD,PHASE_IF_USD_HIGH_IMPACT_PM5,1785862500,1785863100,289568
185,XAUUSD,USD,PHASE_IF_USD_HIGH_IMPACT_PM5,1785942600,1785943200,274876
186,XAUUSD,USD,PHASE_IF_USD_HIGH_IMPACT_PM5,1785948000,1785948600,310202
187,XAUUSD,USD,PHASE_IF_USD_HIGH_IMPACT_PM5,1785948900,1785949500,237162;237229
188,XAUUSD,USD,PHASE_IF_USD_HIGH_IMPACT_PM5,1785950700,1785951300,305757
189,XAUUSD,USD,PHASE_IF_USD_HIGH_IMPACT_PM5,1786029900,1786030500,309701
190,XAUUSD,USD,PHASE_IF_USD_HIGH_IMPACT_PM5,1786116300,1786116900,277610;277622;277646
191,XAUUSD,USD,PHASE_IF_USD_HIGH_IMPACT_PM5,1786467300,1786467900,287285
192,XAUUSD,USD,PHASE_IF_USD_HIGH_IMPACT_PM5,1786548300,1786548900,277490;277502;277514;277794;277806
193,XAUUSD,USD,PHASE_IF_USD_HIGH_IMPACT_PM5,1786555500,1786556100,306448
194,XAUUSD,USD,PHASE_IF_USD_HIGH_IMPACT_PM5,1786564500,1786565100,301598
195,XAUUSD,USD,PHASE_IF_USD_HIGH_IMPACT_PM5,1786634700,1786635300,277442;309702
196,XAUUSD,USD,PHASE_IF_USD_HIGH_IMPACT_PM5,1786650900,1786651500,301601
197,XAUUSD,USD,PHASE_IF_USD_HIGH_IMPACT_PM5,1786721100,1786721700,270282;270294
198,XAUUSD,USD,PHASE_IF_USD_HIGH_IMPACT_PM5,1787160300,1787160900,307859
199,XAUUSD,USD,PHASE_IF_USD_HIGH_IMPACT_PM5,1787239500,1787240100,287214;309703
200,XAUUSD,USD,PHASE_IF_USD_HIGH_IMPACT_PM5,1787676900,1787677500,270258;279669
201,XAUUSD,USD,PHASE_IF_USD_HIGH_IMPACT_PM5,1787757900,1787758500,282559;282571;287131;287202;270318
202,XAUUSD,USD,PHASE_IF_USD_HIGH_IMPACT_PM5,1787765100,1787765700,308722
203,XAUUSD,USD,PHASE_IF_USD_HIGH_IMPACT_PM5,1787844300,1787844900,309704
204,XAUUSD,USD,PHASE_IF_USD_HIGH_IMPACT_PM5,1788194400,1788195000,309605
