index,dataset,feature,operator,quantile,horizon_bars,direction,hour_start,hour_width,source_numerical_gate,raw_m1_numerical_gate,selected_return_reference_mismatch_n,selected_return_reference_evaluable_n,selected_return_reference_mismatch_share,edge_drift_2024_atr,edge_drift_2025_atr,material_semantic_change,original_confirmation_bh_q
79,xauusd_m1_2024_2025_news_clean.csv,ret3,lt,0.2,3,1,,,True,True,112,136511,0.0008204467039286212,0.00026329068262438693,0.000622249657233509,False,0.03225499241444116
80,xauusd_m1_2024_2025_raw.csv,sma5,lt,0.1,1,1,15.0,4.0,True,True,0,11918,0.0,0.0,0.0,False,0.03251035538833537
81,xauusd_m1_2024_2025_raw.csv,sma5,lt,0.2,3,1,10.0,6.0,True,True,0,37782,0.0,0.0,0.0,False,0.03318128768640843
82,xauusd_m1_2024_2025_raw.csv,ret3,lt,0.05,1,1,11.0,6.0,True,True,0,9342,0.0,0.0,0.0,False,0.03318128768640843
83,xauusd_m1_2024_2025_news_clean.csv,ret1,lt,0.1,3,1,20.0,6.0,True,True,6,12797,0.00046885988903649293,0.001805570310343986,0.00039692511443750744,False,0.03529096708121457
84,xauusd_m1_2024_2025_news_clean.csv,ret24,lt,0.05,12,1,21.0,4.0,True,True,2,4453,0.00044913541432741973,0.001106799616184595,3.4738209454154845e-05,False,0.03605022109168637
85,xauusd_m1_2024_2025_news_clean.csv,rsi14,lt,0.05,6,1,20.0,6.0,True,True,4,5640,0.0007092198581560284,0.0010747902111198637,0.004998436919630755,False,0.04193733547819581
86,xauusd_m1_2024_2025_news_clean.csv,ret3,lt,0.05,3,1,,,True,True,23,33450,0.000687593423019432,0.001342271928648081,0.00020088076293934415,False,0.04193733547819581
87,xauusd_m1_2024_2025_raw.csv,ret24,lt,0.1,12,1,21.0,4.0,True,True,0,8989,0.0,0.0,0.0,False,0.0459893419678844
88,xauusd_m1_2024_2025_news_clean.csv,sma20,lt,0.3,3,1,18.0,8.0,True,True,41,57558,0.0007123249591716182,0.0009988191607974428,2.3406430320234428e-05,False,0.04607520461748624
89,xauusd_m1_2024_2025_news_clean.csv,rsi14,lt,0.05,3,1,19.0,6.0,True,True,6,6762,0.0008873114463176575,0.0016805449498170089,0.003974753635353073,False,0.04750012513658223
90,xauusd_m1_2024_2025_news_clean.csv,rsi7,lt,0.3,6,1,18.0,4.0,True,True,41,35524,0.0011541493075104155,0.0005547123627250294,0.00021279306245823582,False,0.04872620021297614
91,xauusd_m1_2024_2025_news_clean.csv,sma100,lt,0.2,12,1,20.0,6.0,True,True,17,25396,0.0006693967553945504,0.0008233151366138503,0.0013390083393037822,False,0.04931481712950396
92,xauusd_m1_2024_2025_raw.csv,atr_regime,lt,0.05,24,1,,,True,True,0,35610,0.0,0.0,0.0,False,0.04931481712950396
93,xauusd_m1_2024_2025_news_clean.csv,ret3,lt,0.1,3,1,,,True,True,53,67351,0.0007869222431738207,0.000852025325278942,0.0001222576660994401,False,0.04931481712950396
94,xauusd_m1_2024_2025_raw.csv,body,lt,0.3,3,1,20.0,6.0,True,True,0,40881,0.0,0.0,0.0,False,0.04931481712950396
95,xauusd_m1_2024_2025_raw.csv,sma100,gt,0.95,48,-1,19.0,4.0,True,True,0,6176,0.0,0.0,0.0,False,0.04946244718931209
