candidate_id,dataset,timeframe,feature,horizon_bars,pass,failure_reasons,trades_2023,trades_2024,trades_2025,e1_2023,e1_2024,e1_2025,stress_2023,stress_2024,stress_2025,stress_2025_top1_removed
R7-7987DD917717,ETHUSDT_spot_5m_2017_2025.csv,M15,lwick,1,False,e1_positive_discovery_years_lt_4;stress_discovery_2018_2022_nonpositive;e1_2023_nonpositive;stress_2023_nonpositive;e1_2024_nonpositive;stress_2024_nonpositive;e1_2025_nonpositive;stress_2025_nonpositive;e1_2025_h1_nonpositive;e1_2025_h2_nonpositive;stress_2025_top1_removed_nonpositive,9651,10281,10159,-9.27900445133183,-9.474391619395533,-8.87693876998959,-18.930004451331833,-19.755391619395535,-19.03593876998959,-19.12701691271789
R7-6A4521D11958,BTCUSDT_spot_5m_2017_2025.csv,M15,lwick,1,False,e1_positive_discovery_years_lt_4;stress_discovery_2018_2022_nonpositive;e1_2023_nonpositive;stress_2023_nonpositive;e1_2024_nonpositive;stress_2024_nonpositive;e1_2025_nonpositive;stress_2025_nonpositive;e1_2025_h1_nonpositive;e1_2025_h2_nonpositive;stress_2025_top1_removed_nonpositive,6327,6215,5746,-6.120871856292677,-5.639518425184832,-5.044535444179361,-12.447871856292679,-11.854518425184832,-10.790535444179362,-10.822198143975529
R7-7C8A7AB9AB0A,BTCUSDT_spot_5m_2017_2025.csv,M15,ret1,3,False,e1_positive_discovery_years_lt_4;stress_discovery_2018_2022_nonpositive;e1_2023_nonpositive;stress_2023_nonpositive;e1_2024_nonpositive;stress_2024_nonpositive;e1_2025_nonpositive;stress_2025_nonpositive;e1_2025_h1_nonpositive;e1_2025_h2_nonpositive;stress_2025_top1_removed_nonpositive,2402,2397,2426,-1.8985421223722836,-1.895031352509371,-2.2403361997712317,-4.300542122372283,-4.292031352509371,-4.666336199771232,-4.699845824376183
R7-F25D15B771C6,ETHUSDT_spot_5m_2017_2025.csv,M15,lwick,1,False,e1_positive_discovery_years_lt_4;stress_discovery_2018_2022_nonpositive;e1_2023_nonpositive;stress_2023_nonpositive;e1_2024_nonpositive;stress_2024_nonpositive;e1_2025_nonpositive;stress_2025_nonpositive;e1_2025_h1_nonpositive;e1_2025_h2_nonpositive;stress_2025_top1_removed_nonpositive,6656,6853,6490,-6.399969362522812,-6.125120808390822,-5.585359408050782,-13.055969362522815,-12.978120808390823,-12.075359408050783,-12.116584943980339
R7-9F3538BA0EEB,BTCUSDT_spot_5m_2017_2025.csv,M15,lwick,1,False,e1_positive_discovery_years_lt_4;stress_discovery_2018_2022_nonpositive;e1_2023_nonpositive;stress_2023_nonpositive;e1_2024_nonpositive;stress_2024_nonpositive;e1_2025_nonpositive;stress_2025_nonpositive;e1_2025_h1_nonpositive;e1_2025_h2_nonpositive;stress_2025_top1_removed_nonpositive,9273,9463,8740,-8.992632824877028,-8.817534314221763,-8.18274898556972,-18.26563282487703,-18.280534314221768,-16.922748985569722,-16.95441168536589
R7-4EFF78CA350F,BTCUSDT_spot_5m_2017_2025.csv,M15,lwick,1,False,e1_positive_discovery_years_lt_4;stress_discovery_2018_2022_nonpositive;e1_2023_nonpositive;stress_2023_nonpositive;e1_2024_nonpositive;stress_2024_nonpositive;e1_2025_nonpositive;stress_2025_nonpositive;e1_2025_h1_nonpositive;e1_2025_h2_nonpositive;stress_2025_top1_removed_nonpositive,12685,12104,13139,-11.780901485846595,-10.851143253284581,-12.687943618581754,-24.4659014858466,-22.955143253284586,-25.82694361858176,-25.854451034329575
R7-060FF7D440C5,ETHUSDT_spot_5m_2017_2025.csv,H1,lwick,1,False,e1_positive_discovery_years_lt_4;stress_discovery_2018_2022_nonpositive;e1_2023_nonpositive;stress_2023_nonpositive;e1_2024_nonpositive;stress_2024_nonpositive;e1_2025_nonpositive;stress_2025_nonpositive;e1_2025_h1_nonpositive;e1_2025_h2_nonpositive;stress_2025_top1_removed_nonpositive,1995,1850,1785,-1.3458217326901831,-1.184144925642913,-1.117709130882812,-3.340821732690184,-3.034144925642914,-2.902709130882812,-2.996259274187843
R7-51FEF58DBADF,BTCUSDT_spot_5m_2017_2025.csv,M15,lwick,1,False,e1_positive_discovery_years_lt_4;stress_discovery_2018_2022_nonpositive;e1_2023_nonpositive;stress_2023_nonpositive;e1_2024_nonpositive;stress_2024_nonpositive;e1_2025_nonpositive;stress_2025_nonpositive;e1_2025_h1_nonpositive;e1_2025_h2_nonpositive;stress_2025_top1_removed_nonpositive,2636,2769,2529,-2.46801693482175,-2.629227612407865,-2.357815576670962,-5.10401693482175,-5.398227612407866,-4.886815576670962,-4.895640174309746
