state,outcome,btcusdt_2024_n,btcusdt_2024_effect,btcusdt_2024_h1_n,btcusdt_2024_h1_effect,btcusdt_2024_h2_n,btcusdt_2024_h2_effect,ethusdt_2024_n,ethusdt_2024_effect,ethusdt_2024_h1_n,ethusdt_2024_h1_effect,ethusdt_2024_h2_n,ethusdt_2024_h2_effect,discovery_same_sign_both,discovery_half_stable,discovery_sign,discovery_worst_abs_effect,discovery_eligible
mark_index_bps_change_1h|15m|Q5->Q2,direction_1h_atr,2346,0.06976010896578574,1163,0.12012546719041815,1183,0.020327429200939447,2306,0.03996992426930154,1239,0.05519079698366516,1067,0.01753184165535667,True,True,1,0.03996992426930154,True
mark_index_bps_change_1h|15m|Q5->Q2,up_first_1atr_1h,2279,0.009414893786826861,1125,0.030030175741634968,1154,-0.010697384867214388,2251,-0.001811003111775289,1211,0.006892293552640705,1040,-0.011910724764491454,False,False,,,False
mark_index_bps_change_1h|15m|Q5->Q3,direction_1h_atr,3181,0.0022344226801176495,1605,-0.04447400119405965,1576,0.04938690143409443,3219,0.0035592781186889917,1653,-0.01444899542271158,1566,0.02072459633954422,True,False,1,0.0022344226801176495,False
mark_index_bps_change_1h|15m|Q5->Q3,up_first_1atr_1h,3100,0.00035560066165873927,1569,-0.01308178516764913,1531,0.014171104254767308,3120,-0.022292498515527503,1602,-0.03699483762422223,1518,-0.006763516899892297,False,False,,,False
mark_index_bps_change_1h|15m|Q5->Q4,direction_1h_atr,4790,-0.0786463035130224,2436,-0.10112556111436766,2354,-0.0560305698656581,4723,-0.029124283995229303,2475,-0.04475900396640534,2248,-0.01500978373381538,True,True,-1,0.029124283995229303,True
mark_index_bps_change_1h|15m|Q5->Q4,up_first_1atr_1h,4638,-0.015713199850241555,2365,-0.013739615190946686,2273,-0.01770337257156679,4599,0.006696244856777556,2415,0.0066912380110473735,2184,0.006724806371039671,False,False,,,False
mark_index_bps_change_1h|15m|Q5->Q5,direction_1h_atr,9016,-0.2129257794191261,5224,-0.20926307373490743,3792,-0.2234399974729419,9034,-0.0861733235605792,5874,-0.12600539600965638,3160,-0.036179292152572526,True,True,-1,0.0861733235605792,True
mark_index_bps_change_1h|15m|Q5->Q5,up_first_1atr_1h,8748,-0.026650166555179766,5070,-0.026566799932263796,3678,-0.02629813239125306,8772,-0.02010722369003376,5714,-0.02334852484666078,3058,-0.013877193547506994,True,True,-1,0.02010722369003376,True
mark_index_bps_change_1h|1h|Q1->Q1,direction_1h_atr,2495,0.062093797798891265,1535,0.003072030316921104,960,0.1478857661192801,2506,0.21508463820335535,1771,0.2434709359067825,735,0.10741759569752649,True,True,1,0.062093797798891265,True
mark_index_bps_change_1h|1h|Q1->Q1,up_first_1atr_1h,2394,0.01932210293885711,1471,0.017064241758705745,923,0.02364451508603127,2427,0.02296597189745464,1709,0.027355678005377693,718,0.01279197504266516,True,True,1,0.01932210293885711,True
mark_index_bps_change_1h|1h|Q1->Q2,direction_1h_atr,2879,0.05624591005856641,1545,-0.009710388949048993,1334,0.13025318673526723,2668,0.16261791170799741,1538,0.23921788269732583,1130,0.04807243377188667,True,False,1,0.05624591005856641,False
mark_index_bps_change_1h|1h|Q1->Q2,up_first_1atr_1h,2781,-0.008713195663636153,1486,0.00044321596894164594,1295,-0.01902898955930432,2590,0.01891629269326367,1497,0.02787397615814896,1093,0.0067227117898051025,False,False,,,False
mark_index_bps_change_1h|1h|Q1->Q3,direction_1h_atr,3535,0.09169010565583993,1847,0.04732135022607137,1688,0.13875663140031488,3523,0.09578964534214043,1932,0.0913593546020488,1591,0.09493723415342517,True,True,1,0.09169010565583993,True
mark_index_bps_change_1h|1h|Q1->Q3,up_first_1atr_1h,3444,0.0014522249919573516,1792,0.006598132090841313,1652,-0.004013610984603733,3422,0.0014160839598580388,1874,0.0005589405372807832,1548,0.0024974445855383554,True,False,1,0.0014160839598580388,False
mark_index_bps_change_1h|1h|Q1->Q4,direction_1h_atr,4733,-0.10236753542304436,2440,-0.11208983224724023,2293,-0.09308029101837959,4600,0.04577904186805179,2391,0.05572850229472529,2209,0.032424668805157944,False,False,,,False
mark_index_bps_change_1h|1h|Q1->Q4,up_first_1atr_1h,4603,-0.007705691763337574,2372,-0.01516337868969353,2231,0.0003137571702644393,4473,0.007872250663306213,2328,0.012130289472062017,2145,0.0032699279161612083,False,False,,,False
mark_index_bps_change_1h|1h|Q1->Q5,direction_1h_atr,7427,-0.139255394989671,4116,-0.1845593962824411,3311,-0.08651306457982062,7779,-0.02934811691468049,4868,-0.023962314070476012,2911,-0.05724541739523903,True,True,-1,0.02934811691468049,True
mark_index_bps_change_1h|1h|Q1->Q5,up_first_1atr_1h,7149,-0.01326268116435797,3968,-0.02013357873865179,3181,-0.004381450296864098,7526,-0.009586801342649887,4731,0.0021857364362617426,2795,-0.029374946589178386,True,False,-1,0.009586801342649887,False
