run_stage,symbol,asset_class,commission_rule,swap_mode,day_key,broker_day_start,side,signal_time,entry_time,exit_time,entry,entry_breakout_level,entry_channel_opposite,n20_entry,initial_stop,exit_channel_level,exit,initial_risk_price,risk_money_1lot_usd,gross_r,commission_usd_1lot,commission_r,net_r,net_r_commission_x1_5,exit_reason,trade_id,mfe_r,mae_r,mfe_time,mae_time,time_to_mfe_minutes,time_to_mae_minutes,max_retracement_from_mfe_r,reached_0_5r,first_touch_0_5r_time,time_to_0_5r_minutes,mae_before_0_5r,reached_1r,first_touch_1r_time,time_to_1r_minutes,mae_before_1r,reached_2r,first_touch_2r_time,time_to_2r_minutes,mae_before_2r,reached_3r,first_touch_3r_time,time_to_3r_minutes,mae_before_3r,reached_5r,first_touch_5r_time,time_to_5r_minutes,mae_before_5r,min_r_after_first_1r_before_exit,max_r_after_first_1r_before_exit,min_r_after_first_2r_before_exit,max_r_after_first_2r_before_exit,min_r_after_first_3r_before_exit,max_r_after_first_3r_before_exit,path_ambiguous,path_ambiguity_reason,duration_minutes
RUN,GBPUSD,FOREX,USD5_PER_LOT_PER_SIDE,EXCLUDED_REQUIRE_SEPARATE_STRESS,20240222,2024.02.22 00:00,SHORT,2024.02.05 11:01,2024.02.05 11:01,2024.02.22 09:13,1.25952,1.25954,1.27847,0.00829,1.27610,1.26895,1.26895,0.01658,1658.20000000,-0.56868894,10.00000000,0.00603064,-0.57471958,-0.57773489,DONCHIAN_EXIT,GBPUSD_20240205_SHORT,0.46134363,0.58255940,2024.02.05 16:57:41,2024.02.13 14:30:16,356.474533,11729.045033,1.04390303,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,0,,24372.000000
RUN,BTCUSD,CRYPTO,0.04PCT_NOTIONAL_PER_SIDE,EXCLUDED_REQUIRE_SEPARATE_STRESS,20240320,2024.03.20 00:00,LONG,2024.02.09 09:57,2024.02.09 09:57,2024.03.20 01:03,46518.04,46517.45,38518.82,1570.76,43376.53,62380.32,62376.17,3141.51,3141.51000000,5.04793236,43.55768400,0.01386521,5.03406716,5.02713455,DONCHIAN_EXIT,BTCUSD_20240209_LONG,8.68043711,0.00964186,2024.03.14 09:05:40,2024.02.09 10:17:39,48908.150867,20.121167,3.63250475,1,2024.02.09 19:24:36,567.078350,0.00964186,1,2024.02.12 16:41:27,4723.932817,0.00964186,1,2024.02.15 15:34:39,8977.128350,0.00964186,1,2024.02.27 03:06:18,25508.778350,0.00964186,1,2024.02.28 17:57:25,27839.891500,0.00964186,0.57586638,8.68043711,1.30715166,8.68043711,2.88287161,8.68043711,0,,57066.000000
RUN,ETHUSD,CRYPTO,0.04PCT_NOTIONAL_PER_SIDE,EXCLUDED_REQUIRE_SEPARATE_STRESS,20240320,2024.03.20 00:00,LONG,2024.02.12 18:33,2024.02.12 18:33,2024.03.20 00:52,2613.88,2613.53,2167.72,96.73,2420.43,3201.11,3201.00,193.45,193.45000000,3.03499612,2.32595200,0.01202353,3.02297259,3.01696083,DONCHIAN_EXIT,ETHUSD_20240212_LONG,7.66120445,0.12778496,2024.03.12 02:22:15,2024.02.13 15:24:16,40788.787750,1250.810467,4.62620832,1,2024.02.14 09:58:37,2365.168000,0.12778496,1,2024.02.15 01:23:37,3290.158117,0.12778496,1,2024.02.20 14:45:16,11291.808333,0.12778496,1,2024.02.26 21:05:30,20312.042600,0.12778496,1,2024.03.04 18:28:03,30234.593917,0.12778496,0.64280176,7.66120445,1.31418971,7.66120445,2.83866632,7.66120445,0,,52219.000000
RUN,XAUUSD,METAL,0.0016PCT_NOTIONAL_PER_SIDE,EXCLUDED_REQUIRE_SEPARATE_STRESS,20240223,2024.02.23 00:00,SHORT,2024.02.13 16:08,2024.02.13 16:08,2024.02.23 18:33,2001.80,2001.81,2065.35,21.12,2044.05,2037.12,2037.14,42.25,4224.80000000,-0.83648930,6.46230400,0.00152961,-0.83801891,-0.83878372,DONCHIAN_EXIT,XAUUSD_20240213_SHORT,0.41280061,0.83648930,2024.02.14 17:11:41,2024.02.23 18:33:42,1503.443433,14545.462083,1.24928991,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,0,,14545.000000
RUN,XAUUSD,METAL,0.0016PCT_NOTIONAL_PER_SIDE,EXCLUDED_REQUIRE_SEPARATE_STRESS,20240423,2024.04.23 00:00,LONG,2024.03.01 13:42,2024.03.01 13:42,2024.04.23 04:37,2057.58,2057.58,1984.18,18.43,2020.71,2319.34,2319.32,36.87,3686.80000000,7.09938158,7.00304000,0.00189949,7.09748209,7.09653234,DONCHIAN_EXIT,XAUUSD_20240301_LONG,10.13968753,0.32548552,2024.04.12 18:04:42,2024.03.01 16:55:40,60742.071250,193.041683,3.04030596,1,2024.03.01 18:21:36,278.967283,0.32548552,1,2024.03.04 16:16:29,4473.850333,0.32548552,1,2024.03.05 15:28:39,5866.023683,0.32548552,1,2024.03.08 10:30:39,9888.022367,0.32548552,1,2024.04.01 01:00:27,43877.816783,0.32548552,0.97265922,10.13968753,1.75599436,10.13968753,2.39855701,10.13968753,0,,75775.000000
RUN,GBPUSD,FOREX,USD5_PER_LOT_PER_SIDE,EXCLUDED_REQUIRE_SEPARATE_STRESS,20240319,2024.03.19 00:00,LONG,2024.03.05 16:00,2024.03.05 16:00,2024.03.19 11:46,1.27083,1.27081,1.25315,0.00637,1.25809,1.26701,1.26701,0.01274,1273.70000000,-0.29991364,10.00000000,0.00785114,-0.30776478,-0.31169035,DONCHIAN_EXIT,GBPUSD_20240305_LONG,1.44618042,0.29991364,2024.03.08 14:43:15,2024.03.19 11:46:34,4243.036100,19906.356300,1.74609406,1,2024.03.07 16:15:00,2894.785750,0.15074193,1,2024.03.08 11:09:15,4029.028233,0.15074193,0,,,,0,,,,0,,,,-0.29991364,1.44618042,,,,,0,,19906.000000
RUN,EURUSD,FOREX,USD5_PER_LOT_PER_SIDE,EXCLUDED_REQUIRE_SEPARATE_STRESS,20240319,2024.03.19 00:00,LONG,2024.03.06 15:01,2024.03.06 15:01,2024.03.19 11:46,1.08879,1.08878,1.06946,0.00482,1.07916,1.08402,1.08402,0.00963,963.10000000,-0.49527567,10.00000000,0.01038314,-0.50565881,-0.51085038,DONCHIAN_EXIT,EURUSD_20240306_LONG,0.96563181,0.49527567,2024.03.08 14:43:16,2024.03.19 11:46:39,2861.614883,18525.011433,1.46090749,1,2024.03.07 17:28:38,1586.985167,0.21077770,0,,,,0,,,,0,,,,0,,,,,,,,,,0,,18525.000000
RUN,USDJPY,FOREX,USD5_PER_LOT_PER_SIDE,EXCLUDED_REQUIRE_SEPARATE_STRESS,20240319,2024.03.19 00:00,SHORT,2024.03.07 09:02,2024.03.07 09:02,2024.03.19 05:35,147.921,147.921,150.876,0.790,149.501,150.539,149.509,1.580,1056.72000000,-1.00512908,10.00000000,0.00946324,-1.01459232,-1.01932395,STOP,USDJPY_20240307_SHORT,0.92573246,1.00512908,2024.03.08 14:41:15,2024.03.19 05:35:31,1778.762667,17073.020533,1.93086153,1,2024.03.08 10:36:40,1534.170200,0.24693391,0,,,,0,,,,0,,,,0,,,,,,,,,,0,,17073.000000
RUN,USDJPY,FOREX,USD5_PER_LOT_PER_SIDE,EXCLUDED_REQUIRE_SEPARATE_STRESS,20240405,2024.04.05 00:00,LONG,2024.03.19 17:37,2024.03.19 17:37,2024.04.05 02:15,150.837,150.837,146.470,0.889,149.058,150.995,150.995,1.779,1193.29000000,0.08769034,10.00000000,0.00838019,0.07931014,0.07512005,DONCHIAN_EXIT,USDJPY_20240319_LONG,0.62149184,0.32459838,2024.03.27 04:43:15,2024.03.21 03:33:15,10745.750333,2035.758183,0.86116535,1,2024.03.20 11:49:45,1092.251100,0.09343915,0,,,,0,,,,0,,,,0,,,,,,,,,,0,,23558.000000
RUN,GBPUSD,FOREX,USD5_PER_LOT_PER_SIDE,EXCLUDED_REQUIRE_SEPARATE_STRESS,20240409,2024.04.09 00:00,SHORT,2024.03.22 09:52,2024.03.22 09:52,2024.04.09 12:02,1.25985,1.25985,1.28925,0.00684,1.27354,1.26828,1.26828,0.01369,1368.80000000,-0.61586791,10.00000000,0.00730567,-0.62317358,-0.62682642,DONCHIAN_EXIT,GBPUSD_20240322_SHORT,0.42592051,0.62755698,2024.04.02 06:00:38,2024.04.04 15:43:15,15608.033333,19070.663733,1.05347750,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,0,,26050.000000
