close,expected_epoch,high,low,open,present,relation,server_epoch,signal_epoch,timeframe,year
,1705017540,,,,False,previous,,1705017600,M1,2024
2048.48,1705017600,2062.2,2028.54,2028.56,True,signal,1705017600.0,1705017600,M1,2024
,1705017660,,,,False,next,,1705017600,M1,2024
2028.5,1705017300,2028.74,2028.5,2028.64,True,previous,1705017300.0,1705017600,M5,2024
2048.48,1705017600,2062.2,2028.54,2028.56,True,signal,1705017600.0,1705017600,M5,2024
,1705017900,,,,False,next,,1705017600,M5,2024
2022.81,1705622340,2022.94,2022.71,2022.84,True,previous,1705622340.0,1705622400,M1,2024
2029.54,1705622400,2039.36,2020.37,2023.62,True,signal,1705622400.0,1705622400,M1,2024
,1705622460,,,,False,next,,1705622400,M1,2024
2022.81,1705622100,2023.05,2022.71,2022.75,True,previous,1705622100.0,1705622400,M5,2024
2029.54,1705622400,2039.36,2020.37,2023.62,True,signal,1705622400.0,1705622400,M5,2024
,1705622700,,,,False,next,,1705622400,M5,2024
2021.64,1705967940,2021.66,2021.49,2021.51,True,previous,1705967940.0,1705968000,M1,2024
2029.0,1705968000,2037.83,2019.56,2021.78,True,signal,1705968000.0,1705968000,M1,2024
,1705968060,,,,False,next,,1705968000,M1,2024
2021.64,1705967700,2021.66,2021.01,2021.15,True,previous,1705967700.0,1705968000,M5,2024
2029.0,1705968000,2037.83,2019.56,2021.78,True,signal,1705968000.0,1705968000,M5,2024
,1705968300,,,,False,next,,1705968000,M5,2024
,1706486340,,,,False,previous,,1706486400,M1,2024
2032.71,1706486400,2037.54,2019.25,2026.1,True,signal,1706486400.0,1706486400,M1,2024
,1706486460,,,,False,next,,1706486400,M1,2024
,1706486100,,,,False,previous,,1706486400,M5,2024
2032.71,1706486400,2037.54,2019.25,2026.1,True,signal,1706486400.0,1706486400,M5,2024
,1706486700,,,,False,next,,1706486400,M5,2024
2024.66,1707177540,2025.2,2024.65,2024.96,True,previous,1707177540.0,1707177600,M1,2024
2035.83,1707177600,2038.86,2022.85,2025.01,True,signal,1707177600.0,1707177600,M1,2024
,1707177660,,,,False,next,,1707177600,M1,2024
2024.66,1707177300,2025.2,2024.57,2024.74,True,previous,1707177300.0,1707177600,M5,2024
2035.83,1707177600,2038.86,2022.85,2025.01,True,signal,1707177600.0,1707177600,M5,2024
,1707177900,,,,False,next,,1707177600,M5,2024
1992.08,1707955140,1992.12,1991.94,1992.05,True,previous,1707955140.0,1707955200,M1,2024
2004.06,1707955200,2008.24,1990.2,1992.34,True,signal,1707955200.0,1707955200,M1,2024
,1707955260,,,,False,next,,1707955200,M1,2024
1992.08,1707954900,1992.14,1991.84,1992.03,True,previous,1707954900.0,1707955200,M5,2024
2004.06,1707955200,2008.24,1990.2,1992.34,True,signal,1707955200.0,1707955200,M5,2024
,1707955500,,,,False,next,,1707955200,M5,2024
2004.06,1708041540,2004.11,2004.06,2004.11,True,previous,1708041540.0,1708041600,M1,2024
2013.4,1708041600,2015.13,1995.06,2004.2,True,signal,1708041600.0,1708041600,M1,2024
,1708041660,,,,False,next,,1708041600,M1,2024
2004.06,1708041300,2004.18,2003.97,2004.18,True,previous,1708041300.0,1708041600,M5,2024
2013.4,1708041600,2015.13,1995.06,2004.2,True,signal,1708041600.0,1708041600,M5,2024
,1708041900,,,,False,next,,1708041600,M5,2024
,1708300740,,,,False,previous,,1708300800,M1,2024
2017.9,1708300800,2022.95,2011.38,2015.12,True,signal,1708300800.0,1708300800,M1,2024
,1708300860,,,,False,next,,1708300800,M1,2024
,1708300500,,,,False,previous,,1708300800,M5,2024
2017.9,1708300800,2022.95,2011.38,2015.12,True,signal,1708300800.0,1708300800,M5,2024
,1708301100,,,,False,next,,1708300800,M5,2024
,1708387140,,,,False,previous,,1708387200,M1,2024
2024.1,1708387200,2030.86,2014.98,2017.72,True,signal,1708387200.0,1708387200,M1,2024
,1708387260,,,,False,next,,1708387200,M1,2024
,1708386900,,,,False,previous,,1708387200,M5,2024
2024.1,1708387200,2030.86,2014.98,2017.72,True,signal,1708387200.0,1708387200,M5,2024
,1708387500,,,,False,next,,1708387200,M5,2024
2024.18,1708646340,2024.31,2024.08,2024.18,True,previous,1708646340.0,1708646400,M1,2024
2035.98,1708646400,2041.29,2015.98,2024.39,True,signal,1708646400.0,1708646400,M1,2024
,1708646460,,,,False,next,,1708646400,M1,2024
2024.18,1708646100,2024.74,2024.04,2024.48,True,previous,1708646100.0,1708646400,M5,2024
2035.98,1708646400,2041.29,2015.98,2024.39,True,signal,1708646400.0,1708646400,M5,2024
,1708646700,,,,False,next,,1708646400,M5,2024
2034.3,1709164740,2034.34,2034.3,2034.31,True,previous,1709164740.0,1709164800,M1,2024
2044.04,1709164800,2050.72,2028.06,2035.0,True,signal,1709164800.0,1709164800,M1,2024
,1709164860,,,,False,next,,1709164800,M1,2024
2034.3,1709164500,2035.21,2033.33,2034.82,True,previous,1709164500.0,1709164800,M5,2024
2044.04,1709164800,2050.72,2028.06,2035.0,True,signal,1709164800.0,1709164800,M5,2024
,1709165100,,,,False,next,,1709164800,M5,2024
2044.04,1709251140,2044.13,2043.95,2044.09,True,previous,1709251140.0,1709251200,M1,2024
2083.41,1709251200,2088.26,2038.98,2043.82,True,signal,1709251200.0,1709251200,M1,2024
,1709251260,,,,False,next,,1709251200,M1,2024
2044.04,1709250900,2044.13,2043.45,2043.72,True,previous,1709250900.0,1709251200,M5,2024
2083.41,1709251200,2088.26,2038.98,2043.82,True,signal,1709251200.0,1709251200,M5,2024
,1709251500,,,,False,next,,1709251200,M5,2024
,1709510340,,,,False,previous,,1709510400,M1,2024
2114.27,1709510400,2119.84,2079.39,2082.62,True,signal,1709510400.0,1709510400,M1,2024
,1709510460,,,,False,next,,1709510400,M1,2024
,1709510100,,,,False,previous,,1709510400,M5,2024
2114.27,1709510400,2119.84,2079.39,2082.62,True,signal,1709510400.0,1709510400,M5,2024
,1709510700,,,,False,next,,1709510400,M5,2024
2114.27,1709596740,2114.29,2114.24,2114.24,True,previous,1709596740.0,1709596800,M1,2024
2127.94,1709596800,2141.74,2110.42,2114.9,True,signal,1709596800.0,1709596800,M1,2024
,1709596860,,,,False,next,,1709596800,M1,2024
2114.27,1709596500,2114.88,2114.18,2114.88,True,previous,1709596500.0,1709596800,M5,2024
2127.94,1709596800,2141.74,2110.42,2114.9,True,signal,1709596800.0,1709596800,M5,2024
,1709597100,,,,False,next,,1709596800,M5,2024
2127.94,1709683140,2127.97,2127.74,2127.83,True,previous,1709683140.0,1709683200,M1,2024
2147.92,1709683200,2152.14,2123.66,2127.92,True,signal,1709683200.0,1709683200,M1,2024
,1709683260,,,,False,next,,1709683200,M1,2024
2127.94,1709682900,2127.97,2127.5,2127.68,True,previous,1709682900.0,1709683200,M5,2024
2147.92,1709683200,2152.14,2123.66,2127.92,True,signal,1709683200.0,1709683200,M5,2024
,1709683500,,,,False,next,,1709683200,M5,2024
2147.92,1709769540,2148.11,2147.87,2147.96,True,previous,1709769540.0,1709769600,M1,2024
2159.83,1709769600,2164.6,2144.12,2148.98,True,signal,1709769600.0,1709769600,M1,2024
,1709769660,,,,False,next,,1709769600,M1,2024
2147.92,1709769300,2148.36,2147.82,2148.35,True,previous,1709769300.0,1709769600,M5,2024
