run_stage,symbol,asset_class,day_key,side,entry_time,exit_time,duration_minutes,entry,initial_stop,exit,exit_reason,gross_r,commission_r,net_r,net_r_commission_x1_5
DEV_2024_2025,EURUSD,FOREX,20240320,SHORT,2024.03.20 11:00,2024.03.20 19:45,525.000000,1.08444,1.08653,1.08653,STOP,-1.00000000,0.04773270,-1.04773270,-1.07159905
DEV_2024_2025,GBPUSD,FOREX,20240320,SHORT,2024.03.20 11:45,2024.03.20 19:45,480.000000,1.26875,1.27202,1.27202,STOP,-1.00000000,0.03062787,-1.03062787,-1.04594181
DEV_2024_2025,USDJPY,FOREX,20240320,LONG,2024.03.20 14:30,2024.03.20 20:45,375.000000,151.777,150.793,150.793,STOP,-1.00000000,0.01532450,-1.01532450,-1.02298674
DEV_2024_2025,XAUUSD,METAL,20240320,SHORT,2024.03.20 15:30,2024.03.20 16:45,75.000000,2149.81,2157.68,2157.68,STOP,-1.00000000,0.00876286,-1.00876286,-1.01314429
DEV_2024_2025,XAUUSD,METAL,20240321,LONG,2024.03.21 01:15,2024.03.21 17:00,945.000000,2206.47,2186.86,2186.86,STOP,-1.00000000,0.00358547,-1.00358547,-1.00537821
DEV_2024_2025,USDJPY,FOREX,20240321,SHORT,2024.03.21 02:00,2024.03.21 09:45,465.000000,150.650,151.200,151.200,STOP,-1.00000000,0.02749065,-1.02749065,-1.04123598
DEV_2024_2025,GBPUSD,FOREX,20240321,SHORT,2024.03.21 14:00,2024.03.21 23:45,585.000000,1.27304,1.27817,1.26586,EOD,1.39727361,0.01947420,1.37779942,1.36806232
DEV_2024_2025,EURUSD,FOREX,20240321,SHORT,2024.03.21 16:00,2024.03.21 23:45,465.000000,1.08763,1.09196,1.08614,EOD,0.34411085,0.02309469,0.32101617,0.30946882
DEV_2024_2025,EURUSD,FOREX,20240322,SHORT,2024.03.22 10:00,2024.03.22 22:45,765.000000,1.08179,1.08616,1.08073,EOD,0.24256293,0.02288330,0.21967963,0.20823799
DEV_2024_2025,GBPUSD,FOREX,20240322,SHORT,2024.03.22 12:00,2024.03.22 22:45,645.000000,1.25793,1.26559,1.25995,EOD,-0.26322665,0.01306336,-0.27629001,-0.28282169
DEV_2024_2025,ETHUSD,CRYPTO,20240322,SHORT,2024.03.22 13:45,2024.03.22 22:45,540.000000,3415.11,3502.97,3319.37,EOD,1.08980196,0.03066007,1.05914188,1.04381185
DEV_2024_2025,BTCUSD,CRYPTO,20240322,SHORT,2024.03.22 15:15,2024.03.22 22:45,450.000000,63799.49,65649.02,63494.56,EOD,0.16486891,0.02753003,0.13733888,0.12357386
DEV_2024_2025,GBPUSD,FOREX,20240325,LONG,2024.03.25 14:30,2024.03.25 23:45,555.000000,1.26460,1.25961,1.26354,EOD,-0.21242485,0.02004008,-0.23246493,-0.24248497
DEV_2024_2025,BTCUSD,CRYPTO,20240325,LONG,2024.03.25 16:00,2024.03.25 23:45,465.000000,68537.86,66516.84,69853.27,EOD,0.65086119,0.02739022,0.62347098,0.60977587
DEV_2024_2025,ETHUSD,CRYPTO,20240325,LONG,2024.03.25 16:15,2024.03.25 23:45,450.000000,3554.70,3424.17,3590.03,EOD,0.27064501,0.02189286,0.24875215,0.23780572
DEV_2024_2025,EURUSD,FOREX,20240325,LONG,2024.03.25 16:15,2024.03.25 23:45,450.000000,1.08408,1.08076,1.08362,EOD,-0.13855422,0.03012048,-0.16867470,-0.18373494
DEV_2024_2025,XAUUSD,METAL,20240325,LONG,2024.03.25 16:30,2024.03.25 23:45,435.000000,2180.49,2166.04,2171.63,EOD,-0.61328260,0.00481730,-0.61809990,-0.62050854
DEV_2024_2025,EURUSD,FOREX,20240326,LONG,2024.03.26 11:30,2024.03.26 17:30,360.000000,1.08560,1.08358,1.08358,STOP,-1.00000000,0.04962779,-1.04962779,-1.07444169
DEV_2024_2025,XAUUSD,METAL,20240326,LONG,2024.03.26 12:00,2024.03.26 18:30,390.000000,2180.61,2171.74,2171.74,STOP,-1.00000000,0.00785091,-1.00785091,-1.01177637
DEV_2024_2025,GBPUSD,FOREX,20240326,LONG,2024.03.26 12:15,2024.03.26 15:15,180.000000,1.26659,1.26353,1.26353,STOP,-1.00000000,0.03273322,-1.03273322,-1.04909984
DEV_2024_2025,USDJPY,FOREX,20240327,LONG,2024.03.27 03:15,2024.03.27 03:15,0.000000,151.709,151.512,151.512,STOP,-1.00000000,0.07710695,-1.07710695,-1.11566042
