status;source_name;source_version;run_stage;ticks_seen;days_initialized;inside_setup_days;non_inside_days;reference_unusable_days;ambiguous_days;entry_signals;trades_opened;trades_closed;stop_exits;eod_exits;test_end_exits;invalid_price;invalid_risk;risk_fallbacks;pnl_fallbacks;risk_calc_failures;pnl_calc_failures;path_calc_failures;csv_trade_rows;path_rows;symbol;timeframe;asset_class;commission_rule;fatal_status;trades_name;stats_name;trades_csv_fullpath;stats_csv_fullpath
INIT;MTL_V1_D039_InsideDay_TickPath_M15_v1_00.mq5;1.00-MTL1;RUN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SPX500;PERIOD_M15;INDEX;ZERO_EXPLICIT_COMMISSION;;D039_V100_RUN_SPX500_TRADES.csv;D039_V100_RUN_SPX500_STATS.csv;C:\Users\<REDACTED>\AppData\Roaming\MetaQuotes\Terminal\Common\Files\D039_V100_RUN_SPX500_TRADES.csv;C:\Users\<REDACTED>\AppData\Roaming\MetaQuotes\Terminal\Common\Files\D039_V100_RUN_SPX500_STATS.csv
READY;MTL_V1_D039_InsideDay_TickPath_M15_v1_00.mq5;1.00-MTL1;RUN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SPX500;PERIOD_M15;INDEX;ZERO_EXPLICIT_COMMISSION;;D039_V100_RUN_SPX500_TRADES.csv;D039_V100_RUN_SPX500_STATS.csv;C:\Users\<REDACTED>\AppData\Roaming\MetaQuotes\Terminal\Common\Files\D039_V100_RUN_SPX500_TRADES.csv;C:\Users\<REDACTED>\AppData\Roaming\MetaQuotes\Terminal\Common\Files\D039_V100_RUN_SPX500_STATS.csv
PROGRESS;MTL_V1_D039_InsideDay_TickPath_M15_v1_00.mq5;1.00-MTL1;RUN;250000;5;1;4;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;1;1;SPX500;PERIOD_M15;INDEX;ZERO_EXPLICIT_COMMISSION;;D039_V100_RUN_SPX500_TRADES.csv;D039_V100_RUN_SPX500_STATS.csv;C:\Users\<REDACTED>\AppData\Roaming\MetaQuotes\Terminal\Common\Files\D039_V100_RUN_SPX500_TRADES.csv;C:\Users\<REDACTED>\AppData\Roaming\MetaQuotes\Terminal\Common\Files\D039_V100_RUN_SPX500_STATS.csv
PROGRESS;MTL_V1_D039_InsideDay_TickPath_M15_v1_00.mq5;1.00-MTL1;RUN;500000;11;1;10;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;1;1;SPX500;PERIOD_M15;INDEX;ZERO_EXPLICIT_COMMISSION;;D039_V100_RUN_SPX500_TRADES.csv;D039_V100_RUN_SPX500_STATS.csv;C:\Users\<REDACTED>\AppData\Roaming\MetaQuotes\Terminal\Common\Files\D039_V100_RUN_SPX500_TRADES.csv;C:\Users\<REDACTED>\AppData\Roaming\MetaQuotes\Terminal\Common\Files\D039_V100_RUN_SPX500_STATS.csv
PROGRESS;MTL_V1_D039_InsideDay_TickPath_M15_v1_00.mq5;1.00-MTL1;RUN;750000;14;1;13;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;1;1;SPX500;PERIOD_M15;INDEX;ZERO_EXPLICIT_COMMISSION;;D039_V100_RUN_SPX500_TRADES.csv;D039_V100_RUN_SPX500_STATS.csv;C:\Users\<REDACTED>\AppData\Roaming\MetaQuotes\Terminal\Common\Files\D039_V100_RUN_SPX500_TRADES.csv;C:\Users\<REDACTED>\AppData\Roaming\MetaQuotes\Terminal\Common\Files\D039_V100_RUN_SPX500_STATS.csv
PROGRESS;MTL_V1_D039_InsideDay_TickPath_M15_v1_00.mq5;1.00-MTL1;RUN;1000000;17;1;16;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;1;1;SPX500;PERIOD_M15;INDEX;ZERO_EXPLICIT_COMMISSION;;D039_V100_RUN_SPX500_TRADES.csv;D039_V100_RUN_SPX500_STATS.csv;C:\Users\<REDACTED>\AppData\Roaming\MetaQuotes\Terminal\Common\Files\D039_V100_RUN_SPX500_TRADES.csv;C:\Users\<REDACTED>\AppData\Roaming\MetaQuotes\Terminal\Common\Files\D039_V100_RUN_SPX500_STATS.csv
PROGRESS;MTL_V1_D039_InsideDay_TickPath_M15_v1_00.mq5;1.00-MTL1;RUN;1250000;19;1;18;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;1;1;SPX500;PERIOD_M15;INDEX;ZERO_EXPLICIT_COMMISSION;;D039_V100_RUN_SPX500_TRADES.csv;D039_V100_RUN_SPX500_STATS.csv;C:\Users\<REDACTED>\AppData\Roaming\MetaQuotes\Terminal\Common\Files\D039_V100_RUN_SPX500_TRADES.csv;C:\Users\<REDACTED>\AppData\Roaming\MetaQuotes\Terminal\Common\Files\D039_V100_RUN_SPX500_STATS.csv
FINAL;MTL_V1_D039_InsideDay_TickPath_M15_v1_00.mq5;1.00-MTL1;RUN;1454598;21;1;20;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;1;1;SPX500;PERIOD_M15;INDEX;ZERO_EXPLICIT_COMMISSION;;D039_V100_RUN_SPX500_TRADES.csv;D039_V100_RUN_SPX500_STATS.csv;C:\Users\<REDACTED>\AppData\Roaming\MetaQuotes\Terminal\Common\Files\D039_V100_RUN_SPX500_TRADES.csv;C:\Users\<REDACTED>\AppData\Roaming\MetaQuotes\Terminal\Common\Files\D039_V100_RUN_SPX500_STATS.csv

