interval_id,target_symbol,currency,research_profile,mask_start_server_epoch,mask_end_server_epoch,source_event_ids
178,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1720727700,1720728300,195772
179,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1720797900,1720798500,191592
180,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1721071500,1721072100,211185
181,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1721143500,1721144100,195006;195018
182,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1721193900,1721194500,214494
183,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1721316300,1721316900,192005;206699
184,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1721753700,1721754300,189038
185,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1721798700,1721799300,214493
186,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1721840100,1721840700,194982
187,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1721921100,1721921700,195042;197685;197756;206700
188,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1722007500,1722008100,197625;197635
189,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1722358500,1722359100,191833;192218
190,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1722403500,1722404100,214492
191,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1722438600,1722439200,188892
192,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1722444000,1722444600,206675
193,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1722459300,1722459900,184739
194,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1722461100,1722461700,184747
195,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1722525900,1722526500,209914
196,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1722530400,1722531000,210014
197,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1722531300,1722531900,178989;179005
198,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1722612300,1722612900,191761;191773;191797
199,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1722876000,1722876600,210618
200,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1722876900,1722877500,188275;188319
201,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1723051500,1723052100,214561
202,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1723060500,1723061100,201563
203,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1723130700,1723131300,209915
204,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1723146900,1723147500,201566
205,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1723562700,1723563300,191593
206,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1723649100,1723649700,191641;191653;191665;191957;191969
207,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1723656300,1723656900,214562
208,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1723735500,1723736100,192006;195007;195019;209916
209,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1724261100,1724261700,214563
210,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1724340300,1724340900,209917
211,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1724345700,1724346300,189039
212,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1724432100,1724432700,194983;215718
213,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1724685900,1724686500,195043
214,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1724777700,1724778300,192219
215,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1724865900,1724866500,214564
216,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1724945100,1724945700,197686;197757;209918
