dataset,timeframe,feature,operator,quantile,cutpoint,horizon_bars,direction,hour_start,hour_width,execution,candidate_id,positive_full_discovery_years,confirmation_bh_q,neighbor_stress,pre_oos_2025_quarters,pre_oos_2025_bh_q,positive_2025_quarters,discovery_2017_2022.n_selected,discovery_2017_2022.n_baseline,discovery_2017_2022.selected_mean_atr,discovery_2017_2022.baseline_mean_atr,discovery_2017_2022.edge_atr,discovery_2017_2022.p_fast,discovery_years_2018_2022.2018.n_selected,discovery_years_2018_2022.2018.n_baseline,discovery_years_2018_2022.2018.selected_mean_atr,discovery_years_2018_2022.2018.baseline_mean_atr,discovery_years_2018_2022.2018.edge_atr,discovery_years_2018_2022.2018.p_fast,discovery_years_2018_2022.2019.n_selected,discovery_years_2018_2022.2019.n_baseline,discovery_years_2018_2022.2019.selected_mean_atr,discovery_years_2018_2022.2019.baseline_mean_atr,discovery_years_2018_2022.2019.edge_atr,discovery_years_2018_2022.2019.p_fast,discovery_years_2018_2022.2020.n_selected,discovery_years_2018_2022.2020.n_baseline,discovery_years_2018_2022.2020.selected_mean_atr,discovery_years_2018_2022.2020.baseline_mean_atr,discovery_years_2018_2022.2020.edge_atr,discovery_years_2018_2022.2020.p_fast,discovery_years_2018_2022.2021.n_selected,discovery_years_2018_2022.2021.n_baseline,discovery_years_2018_2022.2021.selected_mean_atr,discovery_years_2018_2022.2021.baseline_mean_atr,discovery_years_2018_2022.2021.edge_atr,discovery_years_2018_2022.2021.p_fast,discovery_years_2018_2022.2022.n_selected,discovery_years_2018_2022.2022.n_baseline,discovery_years_2018_2022.2022.selected_mean_atr,discovery_years_2018_2022.2022.baseline_mean_atr,discovery_years_2018_2022.2022.edge_atr,discovery_years_2018_2022.2022.p_fast,confirm_2023.n_selected,confirm_2023.n_baseline,confirm_2023.selected_mean_atr,confirm_2023.baseline_mean_atr,confirm_2023.edge_atr,confirm_2023.p_fast,confirm_2024.n_selected,confirm_2024.n_baseline,confirm_2024.selected_mean_atr,confirm_2024.baseline_mean_atr,confirm_2024.edge_atr,confirm_2024.p_fast,confirm_2023_2024_hac.n_selected,confirm_2023_2024_hac.n_baseline,confirm_2023_2024_hac.edge_atr,confirm_2023_2024_hac.hac_lag,confirm_2023_2024_hac.hac_se,confirm_2023_2024_hac.hac_z,confirm_2023_2024_hac.p_hac,pre_oos_2025_hac.n_selected,pre_oos_2025_hac.n_baseline,pre_oos_2025_hac.edge_atr,pre_oos_2025_hac.hac_lag,pre_oos_2025_hac.hac_se,pre_oos_2025_hac.hac_z,pre_oos_2025_hac.p_hac,pre_oos_2025_h1.n_selected,pre_oos_2025_h1.n_baseline,pre_oos_2025_h1.selected_mean_atr,pre_oos_2025_h1.baseline_mean_atr,pre_oos_2025_h1.edge_atr,pre_oos_2025_h1.p_fast,pre_oos_2025_h2.n_selected,pre_oos_2025_h2.n_baseline,pre_oos_2025_h2.selected_mean_atr,pre_oos_2025_h2.baseline_mean_atr,pre_oos_2025_h2.edge_atr,pre_oos_2025_h2.p_fast
ETHUSDT_spot_5m_2017_2025.csv,M15,lwick,gt,0.7,0.3276639980857878,1,-1,,,signal_after_bar_close_entry_next_open_exit_open_after_h_bars,R7-7987DD917717,5,0.002891078018530488,"[{'quantile': 0.8, 'cutpoint': 0.41797518252197924, 'confirm_2023_2024': {'n_selected': 13509, 'n_baseline': 56642, 'selected_mean_atr': 0.02219817780440273, 'baseline_mean_atr': -0.009149867310779313, 'edge_atr': 0.03134804511518204, 'p_fast': 7.077711442456153e-05}}]","[{'n_selected': 2604, 'n_baseline': 6036, 'selected_mean_atr': 0.03584311914750785, 'baseline_mean_atr': 0.0017889875257357279, 'edge_atr': 0.03405413162177213, 'p_fast': 0.04168015311901182}, {'n_selected': 2486, 'n_baseline': 6250, 'selected_mean_atr': 0.03880368514349589, 'baseline_mean_atr': -0.022940771407800795, 'edge_atr': 0.06174445655129669, 'p_fast': 0.0003386842499792267}, {'n_selected': 2631, 'n_baseline': 6201, 'selected_mean_atr': 0.009152404852367181, 'baseline_mean_atr': -0.023203954236187804, 'edge_atr': 0.032356359088554984, 'p_fast': 0.06362423158252345}, {'n_selected': 2438, 'n_baseline': 6392, 'selected_mean_atr': 0.01130416098146958, 'baseline_mean_atr': 0.0009372244505900372, 'edge_atr': 0.010366936530879542, 'p_fast': 0.5945793598077354}]",0.0020789369884212866,4,56216,131148,0.01238094598953323,-0.006525968334141677,0.018906914323674907,3.2099616720420905e-07,10839,23797,0.009057775242169101,0.007898822772237912,0.001158952469931189,0.8894468703284296,10278,24552,0.009891634793076953,-0.0022047744347253808,0.012096409227802333,0.19689848344646038,10446,24483,-0.005758457877090762,-0.014191919069568331,0.008433461192477568,0.3286699226734389,10894,23988,0.002906385936935882,-0.00925128134068256,0.012157667277618443,0.1205120179717833,9967,25071,0.05017807925453858,-0.013565407487173315,0.06374348674171189,6.484241108185625e-13,9651,25366,0.017913339333405446,-0.012984850008979214,0.030898189342384662,0.0021876200131171067,10281,24853,0.018841109951568458,-0.01028467324864161,0.029125783200210066,0.0009944527332841542,19932,50219,0.030040440010155996,48,0.00673518806148409,4.460222897404385,8.187445615725107e-06,10159,24879,0.03463797199350481,48,0.008984057135987272,3.855493288745474,0.00011549649935673814,5090,12286,0.037289085172267436,-0.010791265879327211,0.048080351051594646,6.103538398013362e-05,5069,12593,0.010187319321246974,-0.010950288376910115,0.02113760769815709,0.10459938666242997
BTCUSDT_spot_5m_2017_2025.csv,M15,lwick,gt,0.8,0.43055950626575784,1,-1,,,signal_after_bar_close_entry_next_open_exit_open_after_h_bars,R7-6A4521D11958,5,0.041112083453246066,"[{'quantile': 0.7, 'cutpoint': 0.3392132398488859, 'confirm_2023_2024': {'n_selected': 18736, 'n_baseline': 51415, 'selected_mean_atr': 0.014614264713382336, 'baseline_mean_atr': -0.016861116231569676, 'edge_atr': 0.03147538094495201, 'p_fast': 5.19000595939806e-06}}, {'quantile': 0.9, 'cutpoint': 0.5811108531081532, 'confirm_2023_2024': {'n_selected': 6694, 'n_baseline': 63457, 'selected_mean_atr': 0.019229509700143588, 'baseline_mean_atr': -0.011375006150763266, 'edge_atr': 0.030604515850906854, 'p_fast': 0.010984186813897874}}]","[{'n_selected': 1460, 'n_baseline': 7180, 'selected_mean_atr': 0.04067392351625943, 'baseline_mean_atr': 0.0010729941158454637, 'edge_atr': 0.039600929400413966, 'p_fast': 0.0900620397817699}, {'n_selected': 1366, 'n_baseline': 7370, 'selected_mean_atr': 0.04602720874963211, 'baseline_mean_atr': -0.019723356853706953, 'edge_atr': 0.06575056560333907, 'p_fast': 0.008409785803078561}, {'n_selected': 1452, 'n_baseline': 7380, 'selected_mean_atr': 0.027014188309790313, 'baseline_mean_atr': -0.012237882110714611, 'edge_atr': 0.03925207042050492, 'p_fast': 0.11535284404147908}, {'n_selected': 1468, 'n_baseline': 7362, 'selected_mean_atr': 0.024960097944086823, 'baseline_mean_atr': 0.0008671380260112272, 'edge_atr': 0.024092959918075595, 'p_fast': 0.3151804331059638}]",0.009673314416085014,4,37477,149887,0.022133655760921883,-0.00791436429192937,0.030048020052851253,7.100648783918677e-12,7138,27498,0.023049691215754443,0.00088998106109809,0.022159710154656353,0.027299327564227434,7354,27476,0.02077540538484713,-0.009296639473832653,0.030072044858679783,0.0049123073868260776,7183,27746,0.006827189733589136,-0.015550496705867837,0.02237768643945697,0.019428050703478753,6694,28188,0.012080795823148253,-0.005593030055127987,0.01767382587827624,0.07092858673950173,6340,28698,0.05352725993751135,-0.0059453286645646695,0.059472588602076014,5.34643830301173e-08,6327,28690,0.007158912882989894,-0.012991932734389944,0.02015084561737984,0.10402452222815345,6215,28919,0.026410217117690885,-0.014862091304115,0.04127230842180588,0.0002410162278931272,12542,57609,0.030629337000968655,48,0.008255135844018264,3.710337125846683,0.0002069834283360406,5746,29292,0.042045002299066936,48,0.012857113921370854,3.270174205206389,0.0010748127128983348,2826,14550,0.04326153414215719,-0.009460965103783492,0.052722499245940684,0.0020012724036599177,2920,14742,0.02598151548210103,-0.00569337266514579,0.03167488814724682,0.06698286726984307
BTCUSDT_spot_5m_2017_2025.csv,M15,ret1,lt,0.3,-0.27394771948259344,3,1,5.0,8.0,signal_after_bar_close_entry_next_open_exit_open_after_h_bars,R7-7C8A7AB9AB0A,5,0.0002616099223434596,"[{'quantile': 0.2, 'cutpoint': -0.4412711214062345, 'confirm_2023_2024': {'n_selected': 5343, 'n_baseline': 18043, 'selected_mean_atr': 0.09059614372043581, 'baseline_mean_atr': 0.021585691913273985, 'edge_atr': 0.06901045180716182, 'p_fast': 0.0005054838850722291}}]","[{'n_selected': 948, 'n_baseline': 1932, 'selected_mean_atr': -0.019291684654583623, 'baseline_mean_atr': -0.038736412841858796, 'edge_atr': 0.019444728187275172, 'p_fast': 0.6935355222399282}, {'n_selected': 959, 'n_baseline': 1953, 'selected_mean_atr': 0.06401429590428145, 'baseline_mean_atr': 0.008527600934308502, 'edge_atr': 0.05548669496997295, 'p_fast': 0.2898429266945957}, {'n_selected': 1034, 'n_baseline': 1910, 'selected_mean_atr': 0.11223671776496802, 'baseline_mean_atr': -0.020487384046670973, 'edge_atr': 0.132724101811639, 'p_fast': 0.006835692148325935}, {'n_selected': 931, 'n_baseline': 2013, 'selected_mean_atr': 0.055122861894274136, 'baseline_mean_atr': -0.015276111268337568, 'edge_atr': 0.0703989731626117, 'p_fast': 0.17184173192464583}]",0.018240060357913482,4,19081,43183,0.05316739261644255,-0.009477095460258112,0.06264448807670066,4.148727281517041e-08,3424,8027,0.014021036927839176,-0.0031903428958338243,0.017211379823673,0.5276441859613739,3542,8029,0.037109553222076236,-0.030682861323033824,0.06779241454511006,0.017229147889275178,3624,8002,0.11045237313912795,7.664517610639129e-05,0.11037572796302156,2.7756584018074474e-05,3714,7863,0.07031091922329268,0.007107904804103923,0.06320301441918875,0.011024202513867404,3548,8132,0.046721513407260926,-0.040796409382372764,0.08751792278963369,0.0005774566267632889,3797,7877,0.10208530067253992,-0.004585595156932743,0.10667089582947266,2.646225018592077e-05,3848,7864,0.09201197774282782,0.02135892562723991,0.07065305211558791,0.004631342617143304,7645,15741,0.08863908765332043,48,0.01717813616082892,5.159994473407598,2.469571324828127e-07,3872,7808,0.07075968818635384,48,0.023935311548941515,2.9562885798109875,0.00311365615425383,1907,3885,0.022601569333854543,-0.014976665376001723,0.037578234709856266,0.2967671831668769,1965,3923,0.08517666696821687,-0.017813335588148127,0.10299000255636499,0.0036030900968291317
ETHUSDT_spot_5m_2017_2025.csv,M15,lwick,gt,0.8,0.41797518252197924,1,-1,,,signal_after_bar_close_entry_next_open_exit_open_after_h_bars,R7-F25D15B771C6,5,0.017049334191286323,"[{'quantile': 0.7, 'cutpoint': 0.3276639980857878, 'confirm_2023_2024': {'n_selected': 19932, 'n_baseline': 50219, 'selected_mean_atr': 0.018391886881335102, 'baseline_mean_atr': -0.011648553128820896, 'edge_atr': 0.030040440010155996, 'p_fast': 7.087241226484091e-06}}, {'quantile': 0.9, 'cutpoint': 0.5709056484434238, 'confirm_2023_2024': {'n_selected': 7035, 'n_baseline': 63116, 'selected_mean_atr': 0.018706456368191505, 'baseline_mean_atr': -0.00554521073591027, 'edge_atr': 0.024251667104101773, 'p_fast': 0.024677385697238853}}]","[{'n_selected': 1654, 'n_baseline': 6986, 'selected_mean_atr': 0.043524819503677224, 'baseline_mean_atr': 0.004601167979726483, 'edge_atr': 0.03892365152395074, 'p_fast': 0.05441914864316928}, {'n_selected': 1585, 'n_baseline': 7151, 'selected_mean_atr': 0.04686267993087635, 'baseline_mean_atr': -0.016947448989297047, 'edge_atr': 0.0638101289201734, 'p_fast': 0.0018892088583314277}, {'n_selected': 1657, 'n_baseline': 7175, 'selected_mean_atr': -0.006145504789726218, 'baseline_mean_atr': -0.015278695695532571, 'edge_atr': 0.009133190905806353, 'p_fast': 0.6714673816579354}, {'n_selected': 1594, 'n_baseline': 7236, 'selected_mean_atr': 0.00981480100548215, 'baseline_mean_atr': 0.0024745011550934004, 'edge_atr': 0.007340299850388749, 'p_fast': 0.7455839449065398}]",0.018240060357913482,4,37477,149887,0.01698616812490946,-0.005313676690811375,0.022299844815720837,3.984043084196283e-07,7188,27448,0.013195692559818189,0.006969355626670185,0.006226336933148003,0.5240196676319895,6984,27846,0.0098271157519663,-0.0007576663050299966,0.010584782056996297,0.3513172838465653,6891,28038,0.0011376683642142606,-0.014817507606182037,0.015955175970396297,0.11915302518997625,7111,27771,0.007805141884109954,-0.008849516846394427,0.016654658730504382,0.07198265861969443,6444,28594,0.05652636611877007,-0.0071423836626666615,0.06366874978143673,3.169694254861131e-09,6656,28361,0.02045862804968445,-0.010319265742384629,0.030777893792069078,0.009096824451146176,6853,28281,0.023887721532318225,-0.007977160938346996,0.03186488247066522,0.0024240140017390195,13509,56642,0.03134804511518204,48,0.007844537472992831,3.996162326090872,6.437759921190556e-05,6490,28548,0.029710927788493338,48,0.010337903586075375,2.8739799651945326,0.004053346746202996,3239,14137,0.04515819671180028,-0.006298892849691873,0.051457089561492156,0.00035617288940995105,3251,14411,0.001680003496204916,-0.0063645237150225745,0.00804452721122749,0.6061810700755939
BTCUSDT_spot_5m_2017_2025.csv,M15,lwick,gt,0.7,0.3392132398488859,1,-1,,,signal_after_bar_close_entry_next_open_exit_open_after_h_bars,R7-9F3538BA0EEB,5,0.0025163867684388475,"[{'quantile': 0.8, 'cutpoint': 0.43055950626575784, 'confirm_2023_2024': {'n_selected': 12542, 'n_baseline': 57609, 'selected_mean_atr': 0.016698607972980853, 'baseline_mean_atr': -0.013930729027987804, 'edge_atr': 0.030629337000968655, 'p_fast': 0.0002542474757062314}}]","[{'n_selected': 2264, 'n_baseline': 6376, 'selected_mean_atr': 0.030030103779982935, 'baseline_mean_atr': -0.0001411745408362912, 'edge_atr': 0.030171278320819225, 'p_fast': 0.1097474887840509}, {'n_selected': 2122, 'n_baseline': 6614, 'selected_mean_atr': 0.018819160038827915, 'baseline_mean_atr': -0.018509560094075544, 'edge_atr': 0.03732872013290346, 'p_fast': 0.06240676059389418}, {'n_selected': 2156, 'n_baseline': 6676, 'selected_mean_atr': 0.024702282890082063, 'baseline_mean_atr': -0.015630480896086766, 'edge_atr': 0.04033276378616883, 'p_fast': 0.04755802406388797}, {'n_selected': 2198, 'n_baseline': 6632, 'selected_mean_atr': 0.0016906344588936853, 'baseline_mean_atr': 0.00592721341808893, 'edge_atr': -0.004236578959195245, 'p_fast': 0.8296320976680693}]",0.03452066365286104,3,56218,131146,0.01904690248591011,-0.01088509041545486,0.029931992901364973,3.5884321534071577e-16,10727,23909,0.019095685026666236,-0.000662429134004694,0.01975811416067093,0.02111690565597247,10771,24059,0.012255564210600308,-0.009753390294494204,0.022008954505094512,0.012911438668497949,10786,24143,0.009358773757524646,-0.02002104591365195,0.029379819671176595,0.00039640870941234056,10365,24517,0.012192938945921392,-0.008286792679702592,0.020479731625623984,0.011523655576409867,9788,25250,0.04673970286726455,-0.011435422799074871,0.05817512566633942,3.269181036103275e-11,9273,25744,0.010801158395560263,-0.016609821711505626,0.02741098010706589,0.007384671445132477,9463,25671,0.018350810722593383,-0.01711312535176479,0.035463936074358174,0.0001363865922574524,18736,51415,0.03147538094495201,48,0.006928138299268943,4.543122493422698,5.5427021331252155e-06,8740,26298,0.02602948643405879,48,0.010300889290612488,2.5269164340772257,0.011506887884287016,4386,12990,0.0246061132148368,-0.009493638131992905,0.0340997513468297,0.01307765533308942,4354,13308,0.013085470016459634,-0.00488727164664183,0.017972741663101463,0.20425044878737594
BTCUSDT_spot_5m_2017_2025.csv,M15,lwick,lt,0.3,0.11255134215030824,1,1,,,signal_after_bar_close_entry_next_open_exit_open_after_h_bars,R7-4EFF78CA350F,5,0.0002616099223434596,"[{'quantile': 0.2, 'cutpoint': 0.06494128616351158, 'confirm_2023_2024': {'n_selected': 17735, 'n_baseline': 52416, 'selected_mean_atr': 0.03319705832998572, 'baseline_mean_atr': 8.302041159047855e-05, 'edge_atr': 0.03311403791839524, 'p_fast': 5.085014645688148e-07}}]","[{'n_selected': 2955, 'n_baseline': 5685, 'selected_mean_atr': -0.00022581305312165524, 'baseline_mean_atr': -0.011683508973357022, 'edge_atr': 0.011457695920235367, 'p_fast': 0.47918459483604847}, {'n_selected': 3415, 'n_baseline': 5321, 'selected_mean_atr': 0.017090392689774372, 'baseline_mean_atr': 0.004533787225003443, 'edge_atr': 0.012556605464770929, 'p_fast': 0.43261720399569714}, {'n_selected': 3577, 'n_baseline': 5255, 'selected_mean_atr': 0.03060255906836371, 'baseline_mean_atr': -0.011108351139158642, 'edge_atr': 0.04171091020752235, 'p_fast': 0.011072849874663048}, {'n_selected': 3192, 'n_baseline': 5638, 'selected_mean_atr': 0.0036680280098226226, 'baseline_mean_atr': -0.009707988530820841, 'edge_atr': 0.013376016540643463, 'p_fast': 0.41348356071822606}]",0.03452066365286104,4,56204,131160,0.01920192035376436,-0.005508290850035255,0.024710211203799612,4.3003130216761375e-12,9697,24939,-0.0035258071739190885,-0.0062076122920180065,0.002681805118098918,0.7602487537302068,10138,24692,0.026005554475122074,-0.006520013619225963,0.032525568094348034,0.00016435782718028093,10397,24532,0.0229543117862886,0.005860443425020206,0.017093868361268392,0.04240403348580077,10244,24638,0.019046322769104156,-0.004802461502269245,0.0238487842713734,0.002466198188321555,9786,25252,0.031799979314414736,-0.019005955312807216,0.05080593462722195,5.000910335522785e-10,12685,22332,0.023132592199374847,0.0015228002995656732,0.021609791899809175,0.012513037869311778,12104,23030,0.03421320665589151,-0.006446345389737647,0.040659552045629155,5.044566283667947e-07,24789,45362,0.031066131207669316,48,0.005962927161456336,5.209879370735426,1.889634496683139e-07,13139,21899,0.020710097332223683,48,0.008097730153195246,2.5575188281683827,0.01054218508318106,6370,11006,0.009057521736829667,-0.0038430371333174054,0.012900558870147072,0.2555429481823073,6769,10893,0.017901270378917238,-0.010383551324065599,0.028284821702982837,0.014543988666884217
ETHUSDT_spot_5m_2017_2025.csv,H1,lwick,lt,0.2,0.08284703120869244,1,1,,,signal_after_bar_close_entry_next_open_exit_open_after_h_bars,R7-060FF7D440C5,5,0.0495800018009584,"[{'quantile': 0.1, 'cutpoint': 0.0351228319697884, 'confirm_2023_2024': {'n_selected': 1924, 'n_baseline': 15599, 'selected_mean_atr': 0.034331441897799596, 'baseline_mean_atr': 0.002764904873919954, 'edge_atr': 0.03156653702387964, 'p_fast': 0.053451721816130164}}, {'quantile': 0.3, 'cutpoint': 0.12665883832491417, 'confirm_2023_2024': {'n_selected': 5704, 'n_baseline': 11819, 'selected_mean_atr': 0.039573984285942956, 'baseline_mean_atr': -0.009860949405819004, 'edge_atr': 0.04943493369176196, 'p_fast': 1.5334287488730476e-05}}]","[{'n_selected': 460, 'n_baseline': 1700, 'selected_mean_atr': 0.027425525768159986, 'baseline_mean_atr': -0.03731306352727244, 'edge_atr': 0.06473858929543243, 'p_fast': 0.09986139001909303}, {'n_selected': 452, 'n_baseline': 1732, 'selected_mean_atr': 0.044503988179914356, 'baseline_mean_atr': 0.0019487031012766717, 'edge_atr': 0.042555285078637685, 'p_fast': 0.23873338536128821}, {'n_selected': 420, 'n_baseline': 1788, 'selected_mean_atr': 0.09058311475058228, 'baseline_mean_atr': 0.011469435248114734, 'edge_atr': 0.07911367950246755, 'p_fast': 0.031344903138392784}, {'n_selected': 453, 'n_baseline': 1753, 'selected_mean_atr': -0.00854256113521339, 'baseline_mean_atr': -0.008594470750198993, 'edge_atr': 5.19096149856034e-05, 'p_fast': 0.9989649699916839}]",0.04541711392907884,4,9296,37167,0.025527873214813472,-0.0033753665182860767,0.02890323973309955,0.00039310957616532996,1696,6857,-0.009743557544169293,-0.016507177845970004,0.006763620301800711,0.7194803681296653,1818,6819,0.019657813423766303,-0.005665980503411456,0.02532379392717776,0.2061733595478837,1621,7017,0.042877741033152575,0.020117529162932156,0.02276021187022042,0.2324056586281272,1534,7115,0.03427497438039222,0.006584683329218615,0.027690291051173602,0.13950747722637435,1609,7149,0.031582058376541336,-0.01949958201367734,0.051081640390218674,0.0058194757784989625,1995,6746,0.05774306642509198,-0.004878419383582293,0.06262148580867427,0.0003154619408670336,1850,6932,0.024791754638224785,-0.002736425432412639,0.027528180070637422,0.1218406284893405,3845,13678,0.04568158763221174,48,0.012576210526985484,3.632380957219997,0.00028081813480719043,1785,6973,0.04531519939960673,48,0.019099187400266206,2.372624470870165,0.01766221097241955,912,3432,0.03588985143714351,-0.01749914167393705,0.05338899311108056,0.04570615121227114,873,3541,0.039146767469636766,0.0015366402142135845,0.03761012725542318,0.16824907567979058
BTCUSDT_spot_5m_2017_2025.csv,M15,lwick,gt,0.7,0.3392132398488859,1,-1,3.0,8.0,signal_after_bar_close_entry_next_open_exit_open_after_h_bars,R7-51FEF58DBADF,5,0.03681791218475393,"[{'quantile': 0.8, 'cutpoint': 0.43055950626575784, 'confirm_2023_2024': {'n_selected': 3408, 'n_baseline': 19984, 'selected_mean_atr': 0.021142524278512806, 'baseline_mean_atr': -0.01281672072973341, 'edge_atr': 0.033959245008246215, 'p_fast': 0.008915948697833064}}]","[{'n_selected': 670, 'n_baseline': 2210, 'selected_mean_atr': 0.04920476561441777, 'baseline_mean_atr': -0.009050341045474874, 'edge_atr': 0.05825510665989264, 'p_fast': 0.03928315239382967}, {'n_selected': 588, 'n_baseline': 2324, 'selected_mean_atr': 0.01892477419141357, 'baseline_mean_atr': -0.02496191211266868, 'edge_atr': 0.043886686304082254, 'p_fast': 0.19555805398736684}, {'n_selected': 610, 'n_baseline': 2334, 'selected_mean_atr': 0.022307908997652445, 'baseline_mean_atr': -0.02430365891633393, 'edge_atr': 0.04661156791398638, 'p_fast': 0.13497758250609443}, {'n_selected': 661, 'n_baseline': 2283, 'selected_mean_atr': -0.013066793298987045, 'baseline_mean_atr': -0.005067032032337827, 'edge_atr': -0.007999761266649218, 'p_fast': 0.7877521524267053}]",0.0469232414986616,3,17770,44428,0.026364463683490182,-0.00833287079735273,0.03469733448084291,2.7153360871032647e-08,3365,8077,0.03157686684767703,-0.007391207831886749,0.03896807467956378,0.010358104743498306,3481,8067,0.017923148354846735,0.005024821710596077,0.012898326644250658,0.345799831488478,3457,8159,0.02721026024714966,-0.010871700685672225,0.03808196093282189,0.010659918155848895,3308,8243,0.01504403986281308,-0.007538069064144157,0.022582108926957237,0.10567217952041148,2926,8754,0.04087734715272551,-0.013092294084216803,0.05396964123694231,0.00016505063809788754,2636,9044,0.025943781925828604,-0.01454074788254954,0.04048452980837815,0.009004386354586995,2769,8943,0.021925858869089834,-0.020314168940739875,0.04224002780982971,0.0047962968716922395,5405,17987,0.04129663524284838,48,0.010999620735762673,3.754369012795333,0.00017377869187265856,2529,9151,0.03538912587768446,48,0.015315967522002694,2.3106033508392443,0.020854773999405156,1258,4534,0.035051637667894334,-0.017206161768932835,0.052257799436827165,0.016767906685221094,1271,4617,0.003910837228904447,-0.014791590652057748,0.018702427880962196,0.38454359895708695
