state,outcome,btcusdt_2024_all_n,btcusdt_2024_all_effect,btcusdt_2024_h1_n,btcusdt_2024_h1_effect,btcusdt_2024_h2_n,btcusdt_2024_h2_effect,ethusdt_2024_all_n,ethusdt_2024_all_effect,ethusdt_2024_h1_n,ethusdt_2024_h1_effect,ethusdt_2024_h2_n,ethusdt_2024_h2_effect,discovery_counts_ok,discovery_same_sign_all_blocks,discovery_sign,discovery_worst_abs_effect,discovery_eligible,discovery_rank
atr_slope_3bar_pct=Q2 & price_change_5m_pct=Q2 & oi_change_5m_pct=Q3,direction_1h_atr,1207,0.15638809678996116,608,0.1622548768630277,599,0.1500653125734264,1241,0.22581296408676965,626,0.19546736588862249,615,0.2558975640850851,True,True,1,0.1500653125734264,True,21
atr_slope_1bar_pct=Q1 & oi_change_5m_pct=Q1 & oi_accel_5m_pctpt=Q2,direction_1h_atr,816,0.26701897646379136,425,0.34339322694579744,391,0.18262628630217306,773,0.16401702385678807,405,0.14974141100677033,368,0.17663929006145873,True,True,1,0.14974141100677033,True,22
oi_change_5m_pct=Q1 & oi_accel_5m_pctpt=Q2 & range_atr=Q1,direction_1h_atr,816,0.26701897646379136,425,0.34339322694579744,391,0.18262628630217306,773,0.16401702385678807,405,0.14974141100677033,368,0.17663929006145873,True,True,1,0.14974141100677033,True,23
atr_slope_3bar_pct=Q4 & price_change_1h_pct=Q1 & oi_change_1h_pct=Q1,direction_1h_atr,1453,0.1908819431976307,698,0.15100152329993305,755,0.22865387192699466,1712,0.1618651337734744,819,0.1479824687312286,893,0.1765787425159873,True,True,1,0.1479824687312286,True,24
atr_slope_3bar_pct=Q3 & price_change_15m_pct=Q5 & oi_accel_15m_pctpt=Q1,direction_1h_atr,930,-0.18828397161044563,471,-0.1980336369191189,459,-0.17880328728565234,757,-0.16166869805239897,389,-0.14790604062928098,368,-0.17810351836989513,True,True,-1,0.14790604062928098,True,25
rsi14=Q3 & price_change_15m_pct=Q3 & body_atr=Q4,direction_1h_atr,1210,0.3229105096799405,666,0.31093711873018204,544,0.3342651960020246,1187,0.1763183857018782,640,0.19800070693924052,547,0.1459405102817761,True,True,1,0.1459405102817761,True,26
rsi14=Q1 & oi_change_15m_pct=Q1 & oi_accel_5m_pctpt=Q4,direction_1h_atr,552,0.2152181289003649,268,0.1454254782984441,284,0.2817123126880597,799,0.1955553063343376,398,0.23937783474933114,401,0.15195809713749428,True,True,1,0.1454254782984441,True,27
rsi14=Q4 & oi_change_15m_pct=Q4 & oi_accel_5m_pctpt=Q2,direction_1h_atr,1180,0.21489784317314653,550,0.21975933530891764,630,0.21227850534006298,1234,0.14568006755950053,609,0.14520940819310388,625,0.14653700448579793,True,True,1,0.14520940819310388,True,28
atr_slope_3bar_pct=Q5 & oi_change_5m_pct=Q5 & oi_change_1h_pct=Q2,direction_1h_atr,762,-0.23838890313417938,367,-0.33834648353054464,395,-0.14467927116979334,665,-0.27337704630489396,339,-0.320243520502091,326,-0.2260533307171097,True,True,-1,0.14467927116979334,True,29
rsi14=Q5 & atr_slope_1bar_pct=Q1 & price_change_15m_pct=Q3,direction_1h_atr,615,-0.3458998473707145,293,-0.26006933761660417,322,-0.42289354916697347,664,-0.14859336191658956,335,-0.15363382982827936,329,-0.14427443561626954,True,True,-1,0.14427443561626954,True,30
rsi14=Q5 & price_change_15m_pct=Q3 & range_atr=Q1,direction_1h_atr,615,-0.3458998473707145,293,-0.26006933761660417,322,-0.42289354916697347,664,-0.14859336191658956,335,-0.15363382982827936,329,-0.14427443561626954,True,True,-1,0.14427443561626954,True,31
atr_slope_3bar_pct=Q4 & oi_change_1h_pct=Q5 & oi_accel_5m_pctpt=Q3,direction_1h_atr,528,-0.2673424824587424,269,-0.29562635450108576,259,-0.23866537003286406,506,-0.25185562804216594,244,-0.1432092791022947,262,-0.3514479179893328,True,True,-1,0.1432092791022947,True,32
atr_slope_3bar_pct=Q4 & oi_accel_5m_pctpt=Q2 & oi_accel_15m_pctpt=Q4,direction_1h_atr,901,0.23847498347756652,452,0.24380389476446915,449,0.23285968812364877,925,0.1781405555035812,467,0.21264597295072737,458,0.1421045434689397,True,True,1,0.1421045434689397,True,33
price_change_1h_pct=Q4 & oi_accel_15m_pctpt=Q1 & body_atr=Q2,direction_1h_atr,713,-0.1554013330200917,370,-0.14149967421120296,343,-0.17165887758212214,688,-0.14594621367156246,365,-0.1408567007935873,323,-0.15560131169057712,True,True,-1,0.1408567007935873,True,34
atr_slope_3bar_pct=Q3 & oi_change_15m_pct=Q1 & oi_accel_5m_pctpt=Q2,direction_1h_atr,517,-0.1666351473722801,237,-0.18290332604684134,280,-0.15086740024691433,543,-0.19819589391535458,262,-0.25884093641292477,281,-0.14009163771587965,True,True,-1,0.14009163771587965,True,35
rsi14=Q3 & price_change_1h_pct=Q2 & oi_change_15m_pct=Q4,direction_1h_atr,1045,0.18386804490078285,527,0.21590055142669776,518,0.15087816558343195,1069,0.18474499699503905,499,0.24169838172124694,570,0.138019729135841,True,True,1,0.138019729135841,True,36
rsi14=Q2 & oi_change_15m_pct=Q4 & oi_accel_5m_pctpt=Q1,direction_1h_atr,541,-0.207157861723747,285,-0.2710495434804331,256,-0.13777504038458394,569,-0.16087079939819754,262,-0.16331816539054633,307,-0.15503958832739592,True,True,-1,0.13777504038458394,True,37
rsi14=Q1 & oi_change_1h_pct=Q1 & oi_accel_15m_pctpt=Q2,direction_1h_atr,731,0.1488368607274468,331,0.1494220568960719,400,0.1506161131475055,895,0.1900417317798243,450,0.24254003452748554,445,0.1363336280596586,True,True,1,0.1363336280596586,True,38
rsi14=Q4 & price_change_1h_pct=Q3 & oi_change_1h_pct=Q3,direction_1h_atr,1633,0.21069565642670812,867,0.22370268459846385,766,0.19396640189884373,1497,0.17316030772606922,769,0.13491370173556338,728,0.2116947548222889,True,True,1,0.13491370173556338,True,39
atr_slope_1bar_pct=Q5 & oi_change_15m_pct=Q4 & oi_accel_5m_pctpt=Q1,direction_1h_atr,575,-0.14904974366399218,280,-0.163806188023792,295,-0.13448715735512412,581,-0.27055273863814255,306,-0.3250594870542352,275,-0.21332705701282392,True,True,-1,0.13448715735512412,True,40
oi_change_15m_pct=Q4 & oi_accel_5m_pctpt=Q1 & range_atr=Q5,direction_1h_atr,575,-0.14904974366399218,280,-0.163806188023792,295,-0.13448715735512412,581,-0.27055273863814255,306,-0.3250594870542352,275,-0.21332705701282392,True,True,-1,0.13448715735512412,True,41
rsi14=Q4 & price_change_5m_pct=Q2 & oi_accel_5m_pctpt=Q5,direction_1h_atr,745,0.15773813611098056,360,0.1839331851415629,385,0.1339982117044905,727,0.1907752490697806,359,0.1340030310234699,368,0.24652573332264285,True,True,1,0.1339982117044905,True,42
price_change_5m_pct=Q2 & oi_accel_5m_pctpt=Q2 & oi_accel_15m_pctpt=Q4,direction_1h_atr,1031,0.18494416282178094,512,0.19371482848132335,519,0.17632402439563086,1052,0.14909927583450416,550,0.13390705056069535,502,0.1627916460770486,True,True,1,0.13390705056069535,True,43
atr_slope_3bar_pct=Q2 & oi_change_5m_pct=Q3 & body_atr=Q1,direction_1h_atr,807,0.18092958521366095,429,0.2042633298756044,378,0.15239740232852345,808,0.1515510896894799,419,0.13371281800613288,389,0.1683238712262176,True,True,1,0.13371281800613288,True,44
atr_slope_3bar_pct=Q1 & price_change_1h_pct=Q4 & oi_change_1h_pct=Q1,direction_1h_atr,729,-0.17180251661098572,383,-0.13348560633005324,346,-0.21587445902380248,593,-0.14174197132155195,296,-0.13712886921216835,297,-0.146555802917717,True,True,-1,0.13348560633005324,True,45
atr_slope_1bar_pct=Q3 & price_change_5m_pct=Q4 & oi_accel_15m_pctpt=Q3,direction_1h_atr,1069,0.3294313889782886,515,0.3769071804643638,554,0.28612854714232644,1093,0.14299082521195666,572,0.1333387383419279,521,0.1505724625592006,True,True,1,0.1333387383419279,True,46
price_change_5m_pct=Q4 & oi_accel_15m_pctpt=Q3 & range_atr=Q3,direction_1h_atr,1069,0.3294313889782886,515,0.3769071804643638,554,0.28612854714232644,1093,0.14299082521195666,572,0.1333387383419279,521,0.1505724625592006,True,True,1,0.1333387383419279,True,47
atr_slope_1bar_pct=Q3 & atr_slope_3bar_pct=Q1 & price_change_5m_pct=Q4,direction_1h_atr,643,0.2625255368282418,325,0.19404836708567405,318,0.3320441607695028,651,0.16113893178317967,361,0.17958319791158753,290,0.13110187855285582,True,True,1,0.13110187855285582,True,48
