state,outcome,btcusdt_2024_all_n,btcusdt_2024_all_effect,btcusdt_2024_h1_n,btcusdt_2024_h1_effect,btcusdt_2024_h2_n,btcusdt_2024_h2_effect,ethusdt_2024_all_n,ethusdt_2024_all_effect,ethusdt_2024_h1_n,ethusdt_2024_h1_effect,ethusdt_2024_h2_n,ethusdt_2024_h2_effect,discovery_counts_ok,discovery_same_sign_all_blocks,discovery_sign,discovery_worst_abs_effect,discovery_eligible
rsi14=Q2 & atr_slope_1bar_pct=Q1 & atr_slope_3bar_pct=Q5,direction_1h_atr,84,-0.2435357733460185,48,-0.9521346997406404,36,0.6964284268546093,86,0.362702632422189,46,0.04713854680383502,40,0.7211455344319005,False,False,0,0.04713854680383502,False
rsi14=Q2 & atr_slope_1bar_pct=Q1 & atr_slope_3bar_pct=Q5,up_first_1atr_1h,82,-0.00956675115100497,47,-0.09190705841029673,35,0.1014343309040161,82,0.0046453526954756685,45,0.015968719401429243,37,-0.009078084431851097,False,False,0,0.0046453526954756685,False
rsi14=Q2 & atr_slope_1bar_pct=Q2 & atr_slope_3bar_pct=Q1,direction_1h_atr,1363,-0.03473835277514721,698,0.02585308866980214,665,-0.09918993768869702,1406,-0.1650776063716673,733,-0.11504458314914387,673,-0.22234502593222305,True,False,0,0.02585308866980214,False
rsi14=Q2 & atr_slope_1bar_pct=Q2 & atr_slope_3bar_pct=Q1,up_first_1atr_1h,1319,-0.015188156872264602,680,-0.0005741422651152073,639,-0.030647046247783583,1365,-0.028687980637857657,711,-0.019755612525434285,654,-0.03837802657582995,True,True,-1,0.0005741422651152073,True
rsi14=Q2 & atr_slope_1bar_pct=Q2 & atr_slope_3bar_pct=Q2,direction_1h_atr,1363,0.030338854744886214,684,-0.09832771111479827,679,0.15969253932908484,1427,0.08114063668939832,703,0.21975412915749917,724,-0.05295983307879999,True,False,0,0.030338854744886214,False
rsi14=Q2 & atr_slope_1bar_pct=Q2 & atr_slope_3bar_pct=Q2,up_first_1atr_1h,1329,-0.009786979086918612,670,-0.04243103427565076,659,0.023437365805381805,1386,0.0046453526954756685,685,0.002667827268420353,701,0.006575229366969082,True,False,0,0.002667827268420353,False
rsi14=Q2 & atr_slope_1bar_pct=Q2 & atr_slope_3bar_pct=Q3,direction_1h_atr,1009,-0.16148747120186865,490,-0.1984796290505037,519,-0.12593527260796553,1053,-0.11351737076714458,504,0.03231713876395483,549,-0.24544174278300201,True,False,0,0.03231713876395483,False
rsi14=Q2 & atr_slope_1bar_pct=Q2 & atr_slope_3bar_pct=Q3,up_first_1atr_1h,988,-0.006480940940676139,481,-0.003438884835740119,507,-0.009413795328725494,1033,-0.005519216520400438,497,0.01592400668066024,536,-0.025415317186994302,True,False,0,0.003438884835740119,False
rsi14=Q2 & atr_slope_1bar_pct=Q2 & atr_slope_3bar_pct=Q4,direction_1h_atr,669,-0.22420878982424036,348,-0.15947462476371993,321,-0.2957251728357165,629,-0.06600774566972743,325,-0.18479270141292894,304,0.05876385955780099,True,False,0,0.05876385955780099,False
rsi14=Q2 & atr_slope_1bar_pct=Q2 & atr_slope_3bar_pct=Q4,up_first_1atr_1h,656,-0.00956675115100497,342,-0.013706237208355676,314,-0.004935095847576232,612,-0.01169451658557008,314,-0.07157551272879009,298,0.051415294853474514,True,False,0,0.004935095847576232,False
